player_id,name,team,date,season,g,pa,ab,r,h,2b,3b,hr,rbi,bb,so,hbp,sf,sb,cs
albeh001,Hanser Alberto,BAL,,2019,1,8,8,0,4,0,0,0,1,0,2,0,0,0,0
manct001,Trey Mancini,BAL,,2019,1,8,8,1,1,0,0,1,1,0,2,0,0,0,0
nuner001,Renato Nunez,BAL,,2019,1,8,6,1,2,0,0,0,1,2,2,0,0,0,0
santa003,Anthony Santander,BAL,,2019,1,8,8,0,1,0,0,0,1,0,1,0,0,0,0
sevep001,Pedro Severino,BAL,,2019,1,8,8,2,4,1,0,0,0,0,1,0,0,0,0
villj001,Jonathan Villar,BAL,,2019,1,8,8,3,2,0,0,1,2,0,3,0,0,3,0
smitd007,Dwight Smith,BAL,,2019,1,8,5,1,1,0,0,0,1,2,2,0,1,1,0
wilks001,Steve Wilkerson,BAL,,2019,1,7,7,0,1,1,0,0,1,0,3,0,0,0,0
martr006,Richie Martin,BAL,,2019,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0
petej002,Jace Peterson,BAL,,2019,1,4,4,1,1,0,0,0,2,0,1,0,0,1,0
villj001,Jonathan Villar,BAL,,2019,1,5,3,3,2,0,0,0,0,1,0,1,0,1,0
manct001,Trey Mancini,BAL,,2019,1,5,5,2,2,0,0,1,2,0,0,0,0,0,0
santa003,Anthony Santander,BAL,,2019,1,5,4,1,3,1,0,0,3,0,0,0,1,0,0
nuner001,Renato Nunez,BAL,,2019,1,5,4,1,2,0,0,1,3,1,0,0,0,0,0
siscc001,Chance Sisco,BAL,,2019,1,5,5,0,0,0,0,0,0,0,1,0,0,0,0
smitd007,Dwight Smith,BAL,,2019,1,4,4,0,0,0,0,0,0,0,1,0,0,0,0
petej002,Jace Peterson,BAL,,2019,1,4,4,1,2,0,0,0,0,0,0,0,0,2,0
davic003,Chris Davis,BAL,,2019,1,4,3,1,0,0,0,0,0,1,2,0,0,0,0
wilks001,Steve Wilkerson,BAL,,2019,1,4,4,0,0,0,0,0,1,0,3,0,0,0,0
albeh001,Hanser Alberto,BAL,,2019,1,5,5,1,2,0,0,0,2,0,1,0,0,0,0
manct001,Trey Mancini,BAL,,2019,1,5,5,0,0,0,0,0,0,0,2,0,0,0,0
nuner001,Renato Nunez,BAL,,2019,1,5,4,2,1,0,0,0,0,1,2,0,0,0,0
santa003,Anthony Santander,BAL,,2019,1,5,5,1,2,1,0,0,1,0,1,0,0,0,0
sevep001,Pedro Severino,BAL,,2019,1,5,5,1,4,0,0,1,4,0,1,0,0,1,0
petej002,Jace Peterson,BAL,,2019,1,5,4,0,0,0,0,0,0,1,2,0,0,0,0
villj001,Jonathan Villar,BAL,,2019,1,4,3,2,3,0,0,1,1,1,0,0,0,0,0
smitd007,Dwight Smith,BAL,,2019,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
wilks001,Steve Wilkerson,BAL,,2019,1,2,1,1,1,1,0,0,0,0,0,1,0,0,0
martr006,Richie Martin,BAL,,2019,1,4,4,0,1,0,0,0,0,0,0,0,0,0,1
villj001,Jonathan Villar,BAL,,2019,1,4,4,1,3,2,0,0,2,0,1,0,0,1,0
manct001,Trey Mancini,BAL,,2019,1,4,4,0,1,0,0,0,2,0,1,0,0,0,0
santa003,Anthony Santander,BAL,,2019,1,4,3,0,0,0,0,0,0,1,0,0,0,0,0
nuner001,Renato Nunez,BAL,,2019,1,4,4,0,0,0,0,0,0,0,2,0,0,0,0
siscc001,Chance Sisco,BAL,,2019,1,4,4,0,0,0,0,0,0,0,2,0,0,0,0
petej002,Jace Peterson,BAL,,2019,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0
sevep001,Pedro Severino,BAL,,2019,1,4,2,1,0,0,0,0,0,2,0,0,0,0,1
wilks001,Steve Wilkerson,BAL,,2019,1,4,3,1,0,0,0,0,0,1,0,0,0,0,0
albeh001,Hanser Alberto,BAL,,2019,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0
villj001,Jonathan Villar,BAL,,2019,1,5,5,0,0,0,0,0,0,0,3,0,0,0,0
albeh001,Hanser Alberto,BAL,,2019,1,4,4,1,3,0,0,1,1,0,0,0,0,0,0
manct001,Trey Mancini,BAL,,2019,1,4,4,0,0,0,0,0,0,0,2,0,0,0,0
nuner001,Renato Nunez,BAL,,2019,1,4,4,1,2,0,0,1,1,0,0,0,0,0,0
santa003,Anthony Santander,BAL,,2019,1,4,4,1,1,0,0,0,0,0,1,0,0,0,0
sevep001,Pedro Severino,BAL,,2019,1,4,3,0,0,0,0,0,0,1,1,0,0,0,0
wilks001,Steve Wilkerson,BAL,,2019,1,4,4,0,0,0,0,0,0,0,2,0,0,0,0
martr006,Richie Martin,BAL,,2019,1,3,3,0,2,0,0,0,1,0,0,0,0,0,0
smitd007,Dwight Smith,BAL,,2019,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
brooa001,Aaron Brooks,BAL,,2019,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0
ruizr002,Rio Ruiz,BAL,,2019,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
davic003,Chris Davis,BAL,,2019,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
villj001,Jonathan Villar,BAL,,2019,1,5,5,0,0,0,0,0,0,0,3,0,0,0,0
manct001,Trey Mancini,BAL,,2019,1,4,3,1,1,0,0,0,0,1,2,0,0,0,0
siscc001,Chance Sisco,BAL,,2019,1,4,4,1,1,0,0,0,0,0,1,0,0,0,0
nuner001,Renato Nunez,BAL,,2019,1,4,3,2,2,0,0,1,2,1,0,0,0,0,0
smitd007,Dwight Smith,BAL,,2019,1,4,4,2,2,0,0,1,3,0,1,0,0,0,0
santa003,Anthony Santander,BAL,,2019,1,4,4,1,2,0,0,1,2,0,1,0,0,0,0
davic003,Chris Davis,BAL,,2019,1,4,4,0,0,0,0,0,0,0,4,0,0,0,0
albeh001,Hanser Alberto,BAL,,2019,1,4,4,0,1,0,0,0,0,0,0,0,0,0,0
bundd001,Dylan Bundy,BAL,,2019,1,2,2,0,0,0,0,0,0,0,2,0,0,0,0
ruizr002,Rio Ruiz,BAL,,2019,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
wilks001,Steve Wilkerson,BAL,,2019,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
villj001,Jonathan Villar,BAL,,2019,1,5,5,0,0,0,0,0,0,0,1,0,0,0,0
manct001,Trey Mancini,BAL,,2019,1,5,5,1,1,0,0,1,1,0,2,0,0,0,0
santa003,Anthony Santander,BAL,,2019,1,5,5,1,2,1,0,1,1,0,1,0,0,0,0
nuner001,Renato Nunez,BAL,,2019,1,4,3,0,0,0,0,0,0,1,2,0,0,0,0
smitd007,Dwight Smith,BAL,,2019,1,4,4,0,2,0,0,0,0,0,0,0,0,0,0
sevep001,Pedro Severino,BAL,,2019,1,4,2,0,0,0,0,0,0,1,0,1,0,0,0
davic003,Chris Davis,BAL,,2019,1,4,4,0,0,0,0,0,0,0,3,0,0,0,0
martr006,Richie Martin,BAL,,2019,1,3,3,0,0,0,0,0,0,0,2,0,0,0,0
siscc001,Chance Sisco,BAL,,2019,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
meanj001,John Means,BAL,,2019,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
ruizr002,Rio Ruiz,BAL,,2019,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
wilks001,Steve Wilkerson,BAL,,2019,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
albeh001,Hanser Alberto,BAL,,2019,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
villj001,Jonathan Villar,BAL,,2019,1,5,5,1,2,0,0,1,1,0,2,0,0,0,0
smitd007,Dwight Smith,BAL,,2019,1,5,5,1,1,1,0,0,0,0,1,0,0,0,0
manct001,Trey Mancini,BAL,,2019,1,5,4,1,0,0,0,0,0,1,1,0,0,0,0
nuner001,Renato Nunez,BAL,,2019,1,4,4,1,2,0,0,0,1,0,2,0,0,0,0
ruizr002,Rio Ruiz,BAL,,2019,1,3,2,0,1,0,0,0,0,1,1,0,0,0,0
jackd004,Drew Jackson,BAL,,2019,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
rickj001,Joey Rickard,BAL,,2019,1,4,4,0,2,0,0,0,0,0,1,0,0,0,0
davic003,Chris Davis,BAL,,2019,1,3,3,0,0,0,0,0,0,0,3,0,0,0,0
albeh001,Hanser Alberto,BAL,,2019,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
sucrj001,Jesus Sucre,BAL,,2019,1,4,3,0,0,0,0,0,0,1,0,0,0,0,0
martr006,Richie Martin,BAL,,2019,1,4,4,0,1,0,0,0,0,0,1,0,0,0,0
villj001,Jonathan Villar,BAL,,2019,1,5,5,1,1,0,0,0,0,0,0,0,0,1,0
rickj001,Joey Rickard,BAL,,2019,1,3,2,0,0,0,0,0,0,1,1,0,0,0,0
davic003,Chris Davis,BAL,,2019,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0
manct001,Trey Mancini,BAL,,2019,1,5,5,1,2,1,0,1,1,0,1,0,0,0,0
nuner001,Renato Nunez,BAL,,2019,1,3,2,0,1,0,0,0,1,1,0,0,0,0,0
ruizr002,Rio Ruiz,BAL,,2019,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
sucrj001,Jesus Sucre,BAL,,2019,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
smitd007,Dwight Smith,BAL,,2019,1,5,5,0,1,0,0,0,0,0,2,0,0,0,0
albeh001,Hanser Alberto,BAL,,2019,1,5,4,0,1,1,0,0,0,1,1,0,0,0,0
sevep001,Pedro Severino,BAL,,2019,1,4,4,0,0,0,0,0,0,0,1,0,0,0,0
martr006,Richie Martin,BAL,,2019,1,4,4,0,0,0,0,0,0,0,3,0,0,0,0
mullc002,Cedric Mullins,BAL,,2019,1,4,2,2,1,0,0,0,0,0,0,2,0,0,0
mullc002,Cedric Mullins,BAL,,2019,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0
rickj001,Joey Rickard,BAL,,2019,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
smitd007,Dwight Smith,BAL,,2019,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0
villj001,Jonathan Villar,BAL,,2019,1,4,4,1,2,1,0,0,0,0,1,0,0,0,0
manct001,Trey Mancini,BAL,,2019,1,4,3,1,0,0,0,0,0,1,0,0,0,0,0
ruizr002,Rio Ruiz,BAL,,2019,1,4,3,0,0,0,0,0,0,1,1,0,0,0,0
nuner001,Renato Nunez,BAL,,2019,1,3,3,1,1,0,0,0,0,0,1,0,0,0,0
martr006,Richie Martin,BAL,,2019,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
davic003,Chris Davis,BAL,,2019,1,4,4,0,0,0,0,0,0,0,2,0,0,0,0
sucrj001,Jesus Sucre,BAL,,2019,1,4,3,0,0,0,0,0,0,1,0,0,0,0,0
albeh001,Hanser Alberto,BAL,,2019,1,4,4,0,2,0,0,0,1,0,0,0,0,0,0
villj001,Jonathan Villar,BAL,,2019,1,5,5,2,2,0,0,1,4,0,1,0,0,0,0
rickj001,Joey Rickard,BAL,,2019,1,5,4,1,0,0,0,0,0,1,1,0,0,0,0
manct001,Trey Mancini,BAL,,2019,1,5,3,2,3,0,0,1,2,2,0,0,0,0,0
nuner001,Renato Nunez,BAL,,2019,1,5,5,0,2,1,0,0,0,0,0,0,0,0,0
albeh001,Hanser Alberto,BAL,,2019,1,5,5,0,1,0,0,0,2,0,0,0,0,0,0
davic003,Chris Davis,BAL,,2019,1,5,5,0,0,0,0,0,0,0,2,0,0,0,0
sucrj001,Jesus Sucre,BAL,,2019,1,4,4,2,2,0,0,0,0,0,0,0,0,0,0
martr006,Richie Martin,BAL,,2019,1,4,4,3,3,0,1,0,0,0,1,0,0,0,0
mullc002,Cedric Mullins,BAL,,2019,1,4,2,2,2,0,2,0,3,0,0,0,1,0,0
villj001,Jonathan Villar,BAL,,2019,1,4,4,0,1,0,0,0,0,0,1,0,0,0,0
rickj001,Joey Rickard,BAL,,2019,1,4,4,0,1,0,0,0,0,0,1,0,0,0,1
manct001,Trey Mancini,BAL,,2019,1,4,4,0,1,0,0,0,0,0,0,0,0,0,0
nuner001,Renato Nunez,BAL,,2019,1,4,4,0,0,0,0,0,0,0,1,0,0,0,0
smitd007,Dwight Smith,BAL,,2019,1,4,4,1,2,0,0,0,0,0,0,0,0,1,0
albeh001,Hanser Alberto,BAL,,2019,1,4,4,1,1,0,0,0,0,0,1,0,0,0,0
ruizr002,Rio Ruiz,BAL,,2019,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0
sevep001,Pedro Severino,BAL,,2019,1,3,3,0,1,1,0,0,2,0,0,0,0,0,0
martr006,Richie Martin,BAL,,2019,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0
mullc002,Cedric Mullins,BAL,,2019,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
