player_id,name,team,date,season,g,pa,ab,r,h,2b,3b,hr,rbi,bb,so,hbp,sf,sb,cs
machm001,Manny Machado,BAL,,2015,1,5,5,0,3,1,0,0,0,0,0,0,0,0,0
parrg001,Gerardo Parra,BAL,,2015,1,5,5,1,2,0,0,0,0,0,0,0,0,0,0
jonea003,Adam Jones,BAL,,2015,1,4,4,0,1,0,0,0,1,0,1,0,0,0,0
davic003,Chris Davis,BAL,,2015,1,4,4,0,1,0,0,0,0,0,2,0,0,0,0
wietm001,Matt Wieters,BAL,,2015,1,4,4,2,1,0,0,1,1,0,0,0,0,0,0
hardj003,J.J. Hardy,BAL,,2015,1,4,3,0,0,0,0,0,0,1,0,0,0,0,0
schoj001,Jonathan Schoop,BAL,,2015,1,4,4,1,2,0,0,1,2,0,0,0,0,0,0
lakej001,Junior Lake,BAL,,2015,1,4,4,0,1,1,0,0,0,0,0,0,0,0,0
reimn001,Nolan Reimold,BAL,,2015,1,3,3,0,1,0,0,0,0,0,1,0,0,0,0
parej002,Jimmy Paredes,BAL,,2015,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
machm001,Manny Machado,BAL,,2015,1,5,5,2,4,0,0,1,1,0,0,0,0,0,1
parrg001,Gerardo Parra,BAL,,2015,1,5,5,0,0,0,0,0,0,0,2,0,0,0,0
jonea003,Adam Jones,BAL,,2015,1,4,4,0,1,1,0,0,1,0,0,0,0,0,0
davic003,Chris Davis,BAL,,2015,1,4,2,2,1,1,0,0,0,2,1,0,0,1,0
wietm001,Matt Wieters,BAL,,2015,1,4,4,0,1,0,0,0,0,0,1,0,0,0,0
schoj001,Jonathan Schoop,BAL,,2015,1,4,2,0,1,0,0,0,2,0,0,0,2,0,0
hardj003,J.J. Hardy,BAL,,2015,1,4,4,0,1,1,0,0,0,0,2,0,0,0,0
flahr001,Ryan Flaherty,BAL,,2015,1,4,4,0,0,0,0,0,0,0,3,0,0,0,0
