player_id,name,team,g,pa,ab,r,h,doubles,triples,hr,rbi,bb,so,hbp,sf,sb,cs,season,avg,obp,slg,ops,woba
banud001,David Banuelos,BAL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2024,0.0,0.0,0.0,0.0,0.0
cowsc001,Colton Cowser,BAL,149,561,499,77,121,24,3,24,69,52,172,7,3,9,4,2024,0.242,0.321,0.447,0.768,0.33
haysa001,Austin Hays,BAL,56,175,157,18,40,13,0,3,14,9,40,6,2,0,1,2024,0.255,0.316,0.395,0.711,0.309
hendg002,Gunnar Henderson,BAL,159,719,630,118,177,31,7,37,92,78,159,7,4,21,4,2024,0.281,0.364,0.529,0.893,0.379
hollj003,Jackson Holliday,BAL,60,208,190,28,36,4,2,5,23,15,69,2,1,4,0,2024,0.189,0.255,0.311,0.566,0.249
jimee001,Eloy Jimenez,BAL,33,100,95,7,22,5,0,1,7,4,23,1,0,0,0,2024,0.232,0.27,0.316,0.586,0.257
johnd006,Daniel Johnson,BAL,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2024,0.0,0.0,0.0,0.0,0.0
kempt001,Tony Kemp,BAL,5,10,9,1,0,0,0,0,0,1,1,0,0,0,0,2024,0.0,0.1,0.0,0.1,0.069
kjerh001,Heston Kjerstad,BAL,39,114,99,8,25,2,0,4,14,10,33,5,0,1,0,2024,0.253,0.351,0.394,0.745,0.331
matej003,Jorge Mateo,BAL,62,208,192,28,44,14,2,5,18,10,48,1,3,12,2,2024,0.229,0.267,0.401,0.668,0.283
maton001,Nick Maton,BAL,3,5,5,0,0,0,0,0,0,0,2,0,0,0,0,2024,0.0,0.0,0.0,0.0,0.0
mayoc001,Coby Mayo,BAL,17,46,41,4,4,0,0,0,0,4,22,1,0,0,0,2024,0.098,0.196,0.098,0.294,0.152
mccaj001,James McCann,BAL,64,233,214,27,50,9,0,8,31,13,56,2,4,1,0,2024,0.234,0.279,0.388,0.667,0.286
mcker001,Ryan McKenna,BAL,4,9,8,3,3,0,0,2,2,1,1,0,0,0,0,2024,0.375,0.444,1.125,1.569,0.62
mounr001,Ryan Mountcastle,BAL,124,507,473,54,128,30,2,13,63,27,114,1,6,3,0,2024,0.271,0.308,0.425,0.733,0.313
mullc002,Cedric Mullins,BAL,138,499,444,67,104,16,3,18,54,41,98,5,2,30,6,2024,0.234,0.305,0.405,0.71,0.308
norbc001,Connor Norby,BAL,9,32,32,3,6,1,0,2,3,0,12,0,0,0,0,2024,0.188,0.188,0.406,0.594,0.247
ohear001,Ryan O'Hearn,BAL,141,494,443,60,117,21,3,15,59,46,69,2,3,3,1,2024,0.264,0.334,0.427,0.761,0.329
pachc001,Cristian Pache,BAL,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2024,1.0,1.0,1.0,2.0,0.878
rivee001,Emmanuel Rivera,BAL,25,73,64,9,20,3,1,4,14,6,18,1,2,0,0,2024,0.312,0.37,0.578,0.948,0.393
rutsa001,Adley Rutschman,BAL,148,638,571,68,143,21,1,19,79,58,103,2,7,1,0,2024,0.25,0.318,0.391,0.709,0.308
santa003,Anthony Santander,BAL,155,665,595,91,140,25,2,44,102,58,129,7,5,2,0,2024,0.235,0.308,0.506,0.814,0.343
slata001,Austin Slater,BAL,31,79,69,10,17,3,0,1,6,8,23,2,0,1,1,2024,0.246,0.342,0.333,0.675,0.305
sotol001,Livan Soto,BAL,6,13,10,1,3,1,0,0,0,3,2,0,0,0,0,2024,0.3,0.462,0.4,0.862,0.39
stowk001,Kyle Stowers,BAL,15,37,36,3,11,4,0,1,9,0,13,0,1,0,1,2024,0.306,0.297,0.5,0.797,0.331
uriar001,Ramon Urias,BAL,93,301,272,39,69,9,2,11,37,23,55,5,1,1,1,2024,0.254,0.322,0.423,0.745,0.323
westj002,Jordan Westburg,BAL,107,447,416,57,110,26,5,18,63,22,97,7,1,6,3,2024,0.264,0.312,0.481,0.793,0.336
