player_id,name,team,g,gs,ip_outs,h,r,er,bb,so,hr,bf,hbp,w,l,sv,season,ip,era,whip,k_per_9,bb_per_9,fip
akink001,Keegan Akin,BAL,66,0,236,55,31,29,19,97,9,313,2,3,1,1,2024,78.2,3.32,0.94,11.1,2.17,2.92
bakeb001,Bryan Baker,BAL,19,0,70,20,14,13,7,23,3,93,0,1,1,0,2024,23.1,5.01,1.16,8.87,2.7,3.7
baumm001,Mike Baumann,BAL,16,0,55,17,8,7,7,16,2,79,1,1,0,0,2024,18.1,3.44,1.31,7.85,3.44,4.08
bowmm001,Matthew Bowman,BAL,15,1,47,15,6,6,6,14,2,66,0,1,0,0,2024,15.2,3.45,1.34,8.04,3.45,4.12
bradk001,Kyle Bradish,BAL,8,8,118,27,12,12,15,53,2,163,3,2,0,0,2024,39.1,2.75,1.07,12.13,3.43,2.44
burnc002,Corbin Burnes,BAL,32,32,583,165,76,63,48,181,22,784,2,15,9,0,2024,194.1,2.92,1.1,8.38,2.22,3.48
canoy001,Yennier Cano,BAL,70,0,180,54,24,21,24,65,6,249,1,4,3,5,2024,60.0,3.15,1.3,9.75,3.6,3.48
could001,Danny Coulombe,BAL,33,0,89,15,7,7,5,32,3,107,0,1,0,1,2024,29.2,2.12,0.67,9.71,1.52,2.76
davit005,Tucker Davidson,BAL,1,0,14,4,0,0,2,1,0,19,0,1,0,0,2024,4.2,0.0,1.29,1.93,3.86,3.96
domis001,Seranthony Dominguez,BAL,25,0,68,20,10,10,9,28,6,98,0,0,2,10,2024,22.2,3.97,1.28,11.12,3.57,5.26
efliz001,Zach Eflin,BAL,9,9,166,51,16,16,11,47,8,224,0,5,2,0,2024,55.1,2.6,1.12,7.64,1.79,3.88
heasj001,Jonathan Heasley,BAL,4,0,16,10,11,10,3,4,2,29,1,0,1,0,2024,5.1,16.88,2.44,6.75,5.06,8.72
irvic001,Cole Irvin,BAL,25,16,322,126,66,58,25,76,17,470,5,6,5,1,2024,107.1,4.86,1.41,6.37,2.1,4.58
kimbc001,Craig Kimbrel,BAL,56,0,157,39,33,29,30,73,6,230,5,7,4,23,2024,52.1,4.99,1.32,12.55,5.16,3.81
kremd001,Dean Kremer,BAL,24,24,389,110,72,59,51,123,18,553,3,8,10,0,2024,129.2,4.1,1.24,8.54,3.54,4.26
kroom002,Matt Krook,BAL,1,0,3,1,3,2,1,2,1,6,0,0,0,0,2024,1.0,18.0,2.0,18.0,9.0,15.1
mccaj001,James McCann,BAL,1,0,3,2,2,2,0,0,1,5,0,0,0,0,2024,1.0,18.0,2.0,0.0,0.0,16.1
mcdec001,Chayce McDermott,BAL,1,1,12,5,3,3,2,3,1,18,0,0,0,0,2024,4.0,6.75,1.75,6.75,4.5,6.35
meanj001,John Means,BAL,4,4,62,16,6,6,2,16,2,80,1,2,0,0,2024,20.2,2.61,0.87,6.97,0.87,3.25
nittv001,Vinny Nittoli,BAL,2,0,12,2,0,0,0,3,0,14,0,0,0,0,2024,4.0,0.0,0.5,6.75,0.0,1.6
perec004,Cionel Perez,BAL,60,0,161,42,25,23,28,46,0,233,5,2,0,2,2024,53.2,3.86,1.3,7.71,4.7,3.23
povic001,Cade Povich,BAL,16,16,239,80,49,46,34,69,12,352,3,3,9,0,2024,79.2,5.2,1.43,7.79,3.84,4.72
ramiy002,Yohan Ramirez,BAL,5,0,18,3,4,4,2,6,0,24,3,0,0,0,2024,6.0,6.0,0.83,9.0,3.0,3.6
rodrg003,Grayson Rodriguez,BAL,20,20,350,109,52,50,36,130,15,491,5,13,4,0,2024,116.2,3.86,1.24,10.03,2.78,3.6
roget003,Trevor Rogers,BAL,4,4,57,25,16,15,10,12,2,90,1,0,2,0,2024,19.0,7.11,1.84,5.68,4.74,4.94
selbc001,Colin Selby,BAL,3,0,12,1,0,0,2,5,0,15,1,0,0,0,2024,4.0,0.0,0.75,11.25,4.5,2.85
smitb005,Burch Smith,BAL,25,0,80,25,19,17,3,23,5,106,1,2,1,0,2024,26.2,5.74,1.05,7.76,1.01,4.26
sotog003,Gregory Soto,BAL,23,0,53,20,11,10,7,21,2,79,2,1,1,0,2024,17.2,5.09,1.53,10.7,3.57,3.72
suara001,Albert Suarez,BAL,32,24,401,130,56,55,43,108,17,565,3,9,7,0,2024,133.2,3.7,1.29,7.27,2.9,4.17
tated001,Dillon Tate,BAL,29,0,100,38,19,17,9,23,2,148,4,2,1,1,2024,33.1,4.59,1.41,6.21,2.43,3.67
vespn001,Nick Vespi,BAL,11,0,37,10,4,4,3,9,1,49,0,0,0,0,2024,12.1,2.92,1.05,6.57,2.19,3.42
webbj002,Jacob Webb,BAL,58,0,170,37,17,13,23,58,4,230,1,2,5,2,2024,56.2,2.06,1.06,9.21,3.65,3.24
wellt003,Tyler Wells,BAL,3,3,46,18,11,10,3,13,3,67,0,0,2,0,2024,15.1,5.87,1.37,7.63,1.76,4.53
