player_id,name,team,g,pa,ab,r,h,doubles,triples,hr,rbi,bb,so,hbp,sf,sb,cs,season,avg,obp,slg,ops,woba
albeh001,Hanser Alberto,BAL,54,231,219,35,62,15,0,3,22,5,30,3,2,3,0,2020,0.283,0.306,0.393,0.699,0.301
davic003,Chris Davis,BAL,15,55,52,3,6,3,0,0,1,3,17,0,0,0,0,2020,0.115,0.164,0.173,0.337,0.153
haysa001,Austin Hays,BAL,33,134,122,20,34,2,0,4,9,8,25,2,2,2,3,2020,0.279,0.328,0.393,0.721,0.314
herrd002,Dilson Herrera,BAL,3,6,5,0,0,0,0,0,0,0,4,1,0,0,0,2020,0.0,0.167,0.0,0.167,0.12
holab001,Bryan Holaday,BAL,16,33,31,2,5,1,0,0,4,2,9,0,0,0,0,2020,0.161,0.212,0.194,0.406,0.186
iglej001,Jose Iglesias,BAL,39,150,142,16,53,17,0,3,24,3,17,4,1,0,0,2020,0.373,0.4,0.556,0.956,0.407
mounr001,Ryan Mountcastle,BAL,35,140,126,12,42,5,0,5,23,11,30,1,2,0,1,2020,0.333,0.386,0.492,0.878,0.376
mullc002,Cedric Mullins,BAL,40,153,140,16,38,4,3,3,12,8,37,1,0,7,2,2020,0.271,0.315,0.407,0.722,0.312
nuner001,Renato Nunez,BAL,52,216,195,29,50,10,0,12,31,17,64,3,1,0,0,2020,0.256,0.324,0.492,0.816,0.347
ruizr002,Rio Ruiz,BAL,53,204,185,25,41,11,0,9,32,17,46,0,1,1,2,2020,0.222,0.286,0.427,0.713,0.305
santa003,Anthony Santander,BAL,37,165,153,24,40,13,1,11,32,10,25,2,0,0,1,2020,0.261,0.315,0.575,0.89,0.372
sevep001,Pedro Severino,BAL,48,178,160,17,40,5,1,5,21,16,40,1,0,1,0,2020,0.25,0.322,0.388,0.71,0.311
siscc001,Chance Sisco,BAL,35,121,98,11,21,4,0,4,10,17,41,6,0,0,0,2020,0.214,0.364,0.378,0.742,0.334
smitd007,Dwight Smith,BAL,20,72,63,9,14,3,0,2,6,7,19,1,1,1,0,2020,0.222,0.306,0.365,0.671,0.294
stewd002,DJ Stewart,BAL,31,112,88,13,17,2,0,7,15,20,38,2,0,0,0,2020,0.193,0.355,0.455,0.81,0.353
uriar001,Ramon Urias,BAL,9,27,25,3,9,2,0,1,3,2,6,0,0,0,0,2020,0.36,0.407,0.56,0.967,0.413
valap001,Pat Valaika,BAL,51,150,141,24,39,4,0,8,16,8,34,0,0,0,2,2020,0.277,0.315,0.475,0.79,0.337
velaa001,Andrew Velazquez,BAL,29,77,63,11,10,1,1,0,3,10,23,0,0,3,2,2020,0.159,0.274,0.206,0.48,0.229
willm007,Mason Williams,BAL,6,18,18,0,2,0,1,0,0,0,9,0,0,0,1,2020,0.111,0.111,0.222,0.333,0.136
