player_id,name,team,g,gs,ip_outs,h,r,er,bb,so,hr,bf,hbp,w,l,sv,season,ip,era,whip,k_per_9,bb_per_9,fip
akink001,Keegan Akin,BAL,45,1,245,69,35,29,20,77,10,329,1,3,3,2,2022,81.2,3.2,1.09,8.49,2.2,3.58
allel002,Logan Allen,BAL,3,0,5,3,2,2,2,1,0,10,0,0,0,0,2022,1.2,10.8,3.0,5.4,10.8,5.5
bakeb001,Bryan Baker,BAL,65,2,209,58,27,25,25,76,3,288,3,4,3,1,2022,69.2,3.23,1.19,9.82,3.23,2.68
baumm001,Mike Baumann,BAL,13,4,103,43,19,18,9,23,3,149,2,1,3,0,2022,34.1,4.72,1.51,6.03,2.36,3.86
bautf001,Felix Bautista,BAL,64,0,197,37,17,16,23,88,7,252,1,4,3,15,2022,65.2,2.19,0.91,12.06,3.15,2.9
bradk001,Kyle Bradish,BAL,23,23,353,119,68,64,46,111,17,509,7,4,7,0,2022,117.2,4.9,1.4,8.49,3.52,4.44
canoy001,Yennier Cano,BAL,3,0,13,9,9,9,5,7,0,27,0,0,1,0,2022,4.1,18.69,3.23,14.54,10.38,3.33
diplm001,Marcos Diplan,BAL,5,0,17,4,2,1,5,8,0,27,0,0,0,0,2022,5.2,1.59,1.59,12.71,7.94,2.92
ellic001,Chris Ellis,BAL,1,1,13,4,0,0,3,2,0,20,0,0,0,0,2022,4.1,0.0,1.62,4.15,6.23,4.25
fry-p001,Paul Fry,BAL,12,0,36,9,9,8,7,12,1,54,2,0,0,0,2022,12.0,6.0,1.33,9.0,5.25,4.43
garcr006,Rico Garcia,BAL,6,0,24,8,4,4,3,2,2,35,0,0,0,0,2022,8.0,4.5,1.38,2.25,3.38,6.97
gilll001,Logan Gillaspie,BAL,17,0,52,20,8,6,3,10,1,74,2,1,0,0,2022,17.1,3.12,1.33,5.19,1.56,3.56
halld004,DL Hall,BAL,11,1,41,17,9,9,6,19,0,64,0,1,1,1,2022,13.2,5.93,1.68,12.51,3.95,1.64
headl001,Louis Head,BAL,5,0,15,6,1,1,4,3,0,27,1,0,0,0,2022,5.0,1.8,2.0,5.4,7.2,4.9
krehj001,Joey Krehbiel,BAL,55,0,173,52,28,25,17,45,9,242,3,5,5,1,2022,57.2,3.9,1.2,7.02,2.65,4.61
kremd001,Dean Kremer,BAL,22,21,376,123,48,45,34,87,11,512,5,8,7,0,2022,125.1,3.23,1.25,6.25,2.44,3.79
lakit001,Travis Lakins,BAL,6,0,31,14,11,11,6,8,3,50,1,0,1,0,2022,10.1,9.58,1.94,6.97,5.23,7.36
lopej004,Jorge Lopez,BAL,43,0,145,28,13,7,17,54,2,194,4,4,5,19,2022,48.1,1.3,0.93,10.06,3.17,2.71
lowtz001,Zac Lowther,BAL,1,0,16,8,6,5,2,1,0,28,1,0,0,0,2022,5.1,8.44,1.88,1.69,3.38,4.41
lylej001,Jordan Lyles,BAL,32,32,537,196,94,88,52,144,26,774,8,12,11,0,2022,179.0,4.42,1.39,7.24,2.61,4.38
mcker001,Ryan McKenna,BAL,2,0,4,5,2,2,1,0,0,10,0,0,0,0,2022,1.1,13.5,4.5,0.0,6.75,5.35
meanj001,John Means,BAL,2,2,24,8,3,3,2,7,0,34,0,0,0,0,2022,8.0,3.38,1.25,7.88,2.25,2.1
owinc001,Chris Owings,BAL,1,0,3,2,1,1,0,0,0,5,0,0,0,0,2022,1.0,9.0,2.0,0.0,0.0,3.1
perec004,Cionel Perez,BAL,65,0,173,44,8,6,20,55,2,231,1,7,1,1,2022,57.2,0.94,1.11,8.58,3.12,2.74
reedj005,Jake Reed,BAL,7,0,17,5,2,2,1,5,0,23,1,1,0,0,2022,5.2,3.18,1.06,7.94,1.59,2.39
reyed002,Denyi Reyes,BAL,3,1,23,8,2,2,1,3,0,31,0,0,0,0,2022,7.2,2.35,1.17,3.52,1.17,2.71
sedlc001,Cody Sedlock,BAL,1,0,9,6,5,5,1,3,0,16,0,0,0,0,2022,3.0,15.0,2.33,9.0,3.0,2.1
sulsb001,Beau Sulser,BAL,6,0,38,16,5,5,3,9,2,53,0,0,0,0,2022,12.2,3.55,1.5,6.39,2.13,4.44
tated001,Dillon Tate,BAL,67,0,221,57,29,25,16,60,6,292,7,4,4,5,2022,73.2,3.05,0.99,7.33,1.95,3.47
vespn001,Nick Vespi,BAL,25,0,79,29,12,12,8,28,5,112,1,5,0,1,2022,26.1,4.1,1.41,9.57,2.73,4.47
votha001,Austin Voth,BAL,22,17,249,77,30,28,25,72,10,348,3,5,4,0,2022,83.0,3.04,1.23,7.81,2.71,3.94
watks003,Spenser Watkins,BAL,22,19,316,116,56,52,30,63,11,456,4,5,6,0,2022,105.1,4.44,1.39,5.38,2.56,4.23
wella001,Alex Wells,BAL,2,0,11,5,2,2,0,6,2,16,0,0,0,0,2022,3.2,4.91,1.36,14.73,0.0,6.92
wellt003,Tyler Wells,BAL,23,23,311,90,49,49,28,76,16,423,2,7,7,0,2022,103.2,4.25,1.14,6.6,2.43,4.51
zimmb002,Bruce Zimmermann,BAL,15,13,221,97,52,49,12,49,21,320,2,2,5,0,2022,73.2,5.99,1.48,5.99,1.47,6.05
