player_id,name,team,g,gs,ip_outs,h,r,er,bb,so,hr,bf,hbp,w,l,sv,season,ip,era,whip,k_per_9,bb_per_9,fip
abadf001,Fernando Abad,BAL,16,0,53,23,12,11,7,10,1,82,0,0,0,0,2021,17.2,5.6,1.7,5.09,3.57,3.89
akink001,Keegan Akin,BAL,24,17,285,110,70,70,40,82,17,427,2,2,10,0,2021,95.0,6.63,1.58,7.77,3.79,5.03
andes002,Shaun Anderson,BAL,7,0,30,17,15,10,5,7,3,55,1,0,0,0,2021,10.0,9.0,2.2,6.3,4.5,7.4
armss001,Shawn Armstrong,BAL,19,0,60,27,18,17,8,22,5,97,1,0,0,0,2021,20.0,7.65,1.75,9.9,3.6,5.5
barrm004,Manny Barreda,BAL,3,0,8,4,4,4,2,2,2,14,0,1,0,0,2021,2.2,13.5,2.25,6.75,6.75,13.6
baumm001,Mike Baumann,BAL,4,0,30,13,12,11,6,5,2,50,1,1,1,0,2021,10.0,9.9,1.9,4.5,5.4,6.8
burdz001,Zack Burdi,BAL,1,0,3,0,0,0,1,1,0,4,0,0,0,0,2021,1.0,0.0,1.0,9.0,9.0,4.1
diplm001,Marcos Diplan,BAL,22,0,90,19,13,12,14,24,5,119,0,2,0,0,2021,30.0,3.6,1.1,7.2,4.2,5.07
ellic001,Chris Ellis,BAL,6,6,76,18,7,7,13,16,3,105,2,0,0,0,2021,25.1,2.49,1.22,5.68,4.62,5.15
eshet001,Tom Eshelman,BAL,9,6,83,34,22,22,10,11,6,126,1,0,3,0,2021,27.2,7.16,1.59,3.58,3.25,6.32
flaaj001,Jay Flaa,BAL,1,0,4,0,0,0,2,1,0,5,0,0,0,0,2021,1.1,0.0,1.5,6.75,13.5,6.1
fry-p001,Paul Fry,BAL,50,0,142,36,28,28,31,60,3,209,4,4,4,2,2021,47.1,5.32,1.42,11.41,5.89,3.61
greec004,Conner Greene,BAL,22,1,70,30,20,20,12,24,1,113,3,1,3,0,2021,23.1,7.71,1.8,9.26,4.63,3.53
hanhe001,Eric Hanhold,BAL,10,0,31,13,9,8,3,6,2,47,1,0,0,0,2021,10.1,6.97,1.55,5.23,2.61,5.62
