player_id,name,team,g,pa,ab,r,h,doubles,triples,hr,rbi,bb,so,hbp,sf,sb,cs,season,avg,obp,slg,ops,woba
bemba001,Anthony Bemboom,BAL,5,13,11,0,2,0,0,0,0,2,2,0,0,0,0,2023,0.182,0.308,0.182,0.49,0.241
cowsc001,Colton Cowser,BAL,22,77,61,15,7,2,0,0,4,13,22,2,1,1,0,2023,0.115,0.286,0.148,0.434,0.225
fraza001,Adam Frazier,BAL,138,455,412,58,99,21,2,13,60,32,68,4,2,11,4,2023,0.24,0.3,0.396,0.696,0.301
haysa001,Austin Hays,BAL,141,566,520,75,143,36,2,16,67,38,141,3,5,5,1,2023,0.275,0.325,0.444,0.769,0.329
hendg002,Gunnar Henderson,BAL,150,622,560,100,143,29,9,28,82,56,159,3,3,10,3,2023,0.255,0.325,0.489,0.814,0.345
hicka001,Aaron Hicks,BAL,65,236,200,35,55,7,1,7,31,35,49,0,1,6,0,2023,0.275,0.381,0.425,0.806,0.354
kjerh001,Heston Kjerstad,BAL,13,33,30,3,7,1,0,2,3,2,10,0,0,0,0,2023,0.233,0.281,0.467,0.748,0.317
lestj002,Josh Lester,BAL,10,23,22,0,4,0,0,0,4,1,7,0,0,0,0,2023,0.182,0.217,0.182,0.399,0.183
matej003,Jorge Mateo,BAL,105,350,318,55,69,14,2,7,34,22,82,1,3,30,5,2023,0.217,0.267,0.34,0.607,0.264
mccaj001,James McCann,BAL,66,226,207,25,46,14,0,6,26,9,57,5,2,3,1,2023,0.222,0.269,0.377,0.646,0.278
mcker001,Ryan McKenna,BAL,53,139,122,19,31,7,0,2,18,9,40,3,2,5,0,2023,0.254,0.316,0.361,0.677,0.297
mounr001,Ryan Mountcastle,BAL,115,470,423,64,114,21,1,18,68,37,107,3,7,3,1,2023,0.27,0.328,0.452,0.78,0.333
mullc002,Cedric Mullins,BAL,112,455,404,51,94,23,3,15,74,43,101,1,4,19,3,2023,0.233,0.305,0.416,0.721,0.31
ohear001,Ryan O'Hearn,BAL,111,368,346,48,100,22,1,14,60,15,82,3,3,5,1,2023,0.289,0.322,0.48,0.802,0.34
ortij005,Joey Ortiz,BAL,14,34,33,4,7,1,0,0,4,0,9,0,1,0,0,2023,0.212,0.206,0.242,0.448,0.191
rutsa001,Adley Rutschman,BAL,154,687,588,84,163,31,1,20,80,92,101,2,5,1,2,2023,0.277,0.374,0.435,0.809,0.353
santa003,Anthony Santander,BAL,153,656,591,81,152,41,1,28,95,55,152,6,4,5,1,2023,0.257,0.325,0.472,0.797,0.34
stowk001,Kyle Stowers,BAL,11,33,30,1,2,0,0,0,0,3,12,0,0,0,0,2023,0.067,0.152,0.067,0.219,0.116
uriar001,Ramon Urias,BAL,112,396,360,45,95,22,3,4,42,27,101,8,1,3,1,2023,0.264,0.328,0.375,0.703,0.309
vavrt001,Terrin Vavra,BAL,24,56,49,9,12,0,0,0,5,5,12,0,0,1,0,2023,0.245,0.315,0.245,0.56,0.259
westj002,Jordan Westburg,BAL,66,228,208,26,54,17,2,3,23,16,56,1,3,3,1,2023,0.26,0.311,0.404,0.715,0.308
