player_id,name,team,g,pa,ab,r,h,doubles,triples,hr,rbi,bb,so,hbp,sf,sb,cs,season,avg,obp,slg,ops,woba
adamj003,Jordyn Adams,BAL,4,5,5,0,0,0,0,0,0,0,2,0,0,0,0,2025,0.0,0.0,0.0,0.0,0.0
alleg002,Greg Allen,BAL,6,14,14,0,0,0,0,0,0,0,5,0,0,0,1,2025,0.0,0.0,0.0,0.0,0.0
banud001,David Banuelos,BAL,1,2,1,0,0,0,0,0,0,0,1,1,0,0,0,2025,0.0,0.5,0.0,0.5,0.361
basas001,Samuel Basallo,BAL,31,118,109,10,18,6,0,4,15,6,30,3,0,0,0,2025,0.165,0.229,0.33,0.559,0.244
beavd001,Dylan Beavers,BAL,35,137,110,16,25,5,1,4,14,26,36,0,0,2,2,2025,0.227,0.375,0.4,0.775,0.345
brujv001,Vidal Brujan,BAL,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2025,1.0,1.0,1.0,2.0,0.878
carld002,Dylan Carlson,BAL,74,241,217,17,44,9,1,6,20,21,54,2,1,3,3,2025,0.203,0.278,0.336,0.614,0.271
cowsc001,Colton Cowser,BAL,91,360,327,36,64,14,0,16,40,27,128,6,0,14,0,2025,0.196,0.269,0.385,0.654,0.284
handm001,Maverick Handley,BAL,16,47,41,2,3,0,0,0,3,2,18,1,1,0,0,2025,0.073,0.133,0.073,0.206,0.105
hendg002,Gunnar Henderson,BAL,154,651,577,85,158,34,5,17,68,62,137,7,5,30,5,2025,0.274,0.349,0.438,0.787,0.34
hollj003,Jackson Holliday,BAL,149,649,586,70,142,21,3,17,55,56,140,6,1,17,11,2025,0.242,0.314,0.375,0.689,0.303
hummc001,Cooper Hummel,BAL,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2025,0.0,0.0,0.0,0.0,0.0
jacka002,Alex Jackson,BAL,31,100,91,17,20,8,0,5,8,5,37,4,0,0,0,2025,0.22,0.29,0.473,0.763,0.325
jackj002,Jeremiah Jackson,BAL,48,183,170,20,47,10,2,5,21,11,50,2,0,0,2,2025,0.276,0.328,0.447,0.775,0.333
johnd006,Daniel Johnson,BAL,9,26,24,7,5,1,0,0,0,2,5,0,0,1,0,2025,0.208,0.269,0.25,0.519,0.236
kjerh001,Heston Kjerstad,BAL,52,167,156,16,30,5,2,4,19,6,45,4,1,1,0,2025,0.192,0.24,0.327,0.567,0.246
laurr001,Ramon Laureano,BAL,79,290,259,45,75,17,0,15,46,22,72,6,3,4,3,2025,0.29,0.355,0.529,0.884,0.374
machv001,Vimael Machin,BAL,4,12,11,1,1,0,0,1,1,1,2,0,0,0,0,2025,0.091,0.167,0.364,0.531,0.225
matej003,Jorge Mateo,BAL,28,83,79,5,14,4,0,1,3,4,30,0,0,12,0,2025,0.177,0.217,0.266,0.483,0.212
mayoc001,Coby Mayo,BAL,84,294,263,30,57,12,0,11,28,27,84,4,0,3,0,2025,0.217,0.299,0.388,0.687,0.301
mounr001,Ryan Mountcastle,BAL,88,357,332,34,83,18,0,7,35,15,98,4,6,3,0,2025,0.25,0.286,0.367,0.653,0.282
mullc002,Cedric Mullins,BAL,89,355,314,42,72,19,0,15,49,34,85,2,4,14,4,2025,0.229,0.305,0.433,0.738,0.316
nodar001,Ryan Noda,BAL,7,14,13,0,2,0,0,0,1,1,6,0,0,1,0,2025,0.154,0.214,0.154,0.368,0.175
ohear001,Ryan O'Hearn,BAL,94,361,311,45,88,15,1,13,43,42,63,5,3,3,1,2025,0.283,0.374,0.463,0.837,0.362
oneit001,Tyler O'Neill,BAL,54,209,181,22,36,6,1,9,26,22,51,3,3,4,0,2025,0.199,0.292,0.392,0.684,0.297
rivee001,Emmanuel Rivera,BAL,39,127,120,5,30,4,0,0,13,6,24,1,0,1,0,2025,0.25,0.291,0.283,0.574,0.257
roget003,Trevor Rogers,BAL,1,2,2,0,0,0,0,0,0,0,2,0,0,0,0,2025,0.0,0.0,0.0,0.0,0.0
rutsa001,Adley Rutschman,BAL,90,365,322,37,71,16,2,9,29,40,57,1,2,0,0,2025,0.22,0.307,0.366,0.673,0.296
sancg002,Gary Sanchez,BAL,28,101,91,13,21,2,0,5,24,4,27,5,1,0,0,2025,0.231,0.297,0.418,0.715,0.309
stalj001,Jacob Stallings,BAL,13,36,35,1,4,1,0,0,3,1,9,0,0,0,0,2025,0.114,0.139,0.143,0.282,0.127
tromc001,Chadwick Tromp,BAL,5,16,16,2,3,1,0,1,1,0,4,0,0,0,0,2025,0.188,0.188,0.438,0.626,0.258
uriar001,Ramon Urias,BAL,77,290,258,27,64,12,0,8,34,21,60,2,9,2,0,2025,0.248,0.3,0.388,0.688,0.295
vavrt001,Terrin Vavra,BAL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2025,0.0,0.0,0.0,0.0,0.0
vazql001,Luis Vazquez,BAL,19,53,50,6,8,1,0,1,3,3,14,0,0,2,0,2025,0.16,0.208,0.24,0.448,0.2
westj002,Jordan Westburg,BAL,85,352,328,59,87,10,1,17,41,17,80,6,1,1,2,2025,0.265,0.312,0.457,0.769,0.329
