player_id,name,team,g,gs,ip_outs,h,r,er,bb,so,hr,bf,hbp,w,l,sv,season,ip,era,whip,k_per_9,bb_per_9,fip
aquij001,Jayson Aquino,BAL,4,2,40,15,12,11,6,13,4,62,0,1,2,0,2017,13.1,7.42,1.57,8.78,4.05,6.4
ashea001,Alec Asher,BAL,23,6,180,58,35,34,23,47,9,262,7,2,5,0,2017,60.0,5.1,1.35,7.05,3.45,4.98
bleir001,Richard Bleier,BAL,53,0,190,61,22,13,10,26,6,261,4,2,1,0,2017,63.1,1.85,1.12,3.69,1.42,4.17
bracb001,Brad Brach,BAL,67,0,204,51,27,24,26,70,7,275,0,4,5,18,2017,68.0,3.18,1.13,9.26,3.44,3.53
britz001,Zach Britton,BAL,38,0,112,39,12,12,18,29,1,161,0,2,1,15,2017,37.1,2.89,1.53,6.99,4.34,3.34
bundd001,Dylan Bundy,BAL,28,28,509,152,82,80,51,152,26,698,7,13,9,0,2017,169.2,4.24,1.2,8.06,2.71,4.33
castm002,Miguel Castro,BAL,38,1,199,53,29,26,27,38,8,273,2,3,3,0,2017,66.1,3.53,1.21,5.16,3.66,4.83
crics001,Stefan Crichton,BAL,8,0,37,26,11,11,4,8,2,62,0,0,0,0,2017,12.1,8.03,2.43,5.84,2.92,4.88
drako001,Oliver Drake,BAL,3,0,10,6,3,3,3,3,0,18,0,0,0,0,2017,3.1,8.1,2.7,8.1,8.1,4.0
gausk001,Kevin Gausman,BAL,34,34,560,208,99,97,71,179,29,816,5,11,12,0,2017,186.2,4.68,1.49,8.63,3.42,4.42
givem001,Mychal Givens,BAL,68,0,236,56,23,23,24,88,10,313,5,8,1,0,2017,78.2,2.63,1.02,10.07,2.75,3.62
hartd002,Donnie Hart,BAL,49,0,131,47,18,17,12,29,5,186,2,2,0,0,2017,43.2,3.5,1.35,5.98,2.47,4.22
hellj001,Jeremy Hellickson,BAL,10,10,155,49,43,40,17,31,13,223,2,2,6,0,2017,51.2,6.97,1.28,5.4,2.96,6.27
jacke001,Edwin Jackson,BAL,3,0,15,11,7,4,4,2,2,29,0,0,0,0,2017,5.0,7.2,3.0,3.6,7.2,9.9
jimeu001,Ubaldo Jimenez,BAL,31,25,428,169,109,108,58,139,33,648,5,6,11,0,2017,142.2,6.81,1.59,8.77,3.66,5.48
milew001,Wade Miley,BAL,32,32,472,179,104,98,93,142,25,728,4,8,15,0,2017,157.1,5.61,1.73,8.12,5.32,5.21
nunov001,Vidal Nuno,BAL,11,0,44,22,15,15,9,13,6,75,0,0,1,0,2017,14.2,9.2,2.11,7.98,5.52,8.49
odayd001,Darren O'Day,BAL,64,0,181,41,24,23,24,76,8,240,3,2,3,2,2017,60.1,3.43,1.08,11.34,3.58,3.65
rodrr008,Richard Rodriguez,BAL,5,0,17,12,9,9,3,3,4,31,1,0,0,0,2017,5.2,14.29,2.65,4.76,4.76,13.34
scott003,Tanner Scott,BAL,2,0,5,2,2,2,2,2,0,9,0,0,0,0,2017,1.2,10.8,2.4,10.8,10.8,4.3
tillc001,Chris Tillman,BAL,24,19,279,125,86,81,51,63,24,444,4,1,7,0,2017,93.0,7.84,1.89,6.1,4.94,6.87
verrl001,Logan Verrett,BAL,4,0,32,11,6,5,3,9,3,47,2,2,0,0,2017,10.2,4.22,1.31,7.59,2.53,6.47
wilst004,Tyler Wilson,BAL,9,1,46,22,14,12,4,9,3,70,1,2,2,0,2017,15.1,7.04,1.7,5.28,2.35,5.45
wrigm001,Mike Wright,BAL,13,0,75,26,16,16,7,28,5,109,3,0,0,0,2017,25.0,5.76,1.32,10.08,2.52,4.66
yacaj001,Jimmy Yacabonis,BAL,14,0,62,18,10,10,14,8,2,90,0,2,0,0,2017,20.2,4.35,1.55,3.48,6.1,5.62
ynoag001,Gabriel Ynoa,BAL,9,4,104,39,17,16,8,26,5,147,1,2,3,0,2017,34.2,4.15,1.36,6.75,2.08,4.25
