player_id,name,team,g,gs,ip_outs,h,r,er,bb,so,hr,bf,hbp,w,l,sv,season,ip,era,whip,k_per_9,bb_per_9,fip
akink001,Keegan Akin,BAL,8,6,77,27,17,13,10,35,3,116,1,1,2,0,2020,25.2,4.56,1.44,12.27,3.51,3.18
armss001,Shawn Armstrong,BAL,14,0,45,9,6,3,3,14,1,57,1,2,0,0,2020,15.0,1.8,0.8,8.4,1.8,2.9
bleir001,Richard Bleier,BAL,2,0,9,1,0,0,0,4,0,11,1,0,0,0,2020,3.0,0.0,0.33,12.0,0.0,1.43
carrc004,Cody Carroll,BAL,2,0,6,8,8,8,2,3,0,17,1,0,0,0,2020,2.0,36.0,5.0,13.5,9.0,4.6
castm002,Miguel Castro,BAL,16,0,47,17,7,7,5,24,3,70,1,1,0,1,2020,15.2,4.02,1.4,13.79,2.87,3.67
cobba001,Alex Cobb,BAL,10,10,157,52,27,25,18,38,8,226,2,2,5,0,2020,52.1,4.3,1.34,6.54,3.1,4.78
eshet001,Thomas Eshelman,BAL,12,4,104,34,17,15,9,16,7,143,1,3,1,0,2020,34.2,3.89,1.24,4.15,2.34,5.67
fry-p001,Paul Fry,BAL,21,0,66,21,7,6,8,29,3,95,1,1,0,0,2020,22.0,2.45,1.32,11.86,3.27,3.46
fulmc001,Carson Fulmer,BAL,3,0,11,0,0,0,2,4,0,14,1,0,0,0,2020,3.2,0.0,0.55,9.82,4.91,3.37
givem001,Mychal Givens,BAL,12,0,39,7,2,2,6,19,1,51,0,0,1,0,2020,13.0,1.38,1.0,13.15,4.15,2.56
harvh001,Hunter Harvey,BAL,10,0,26,8,6,4,2,6,2,37,1,0,2,0,2020,8.2,4.15,1.15,6.23,2.08,5.75
hessd001,David Hess,BAL,3,0,21,10,5,5,2,1,1,32,0,0,0,0,2020,7.0,6.43,1.71,1.29,2.57,5.53
holab001,Bryan Holaday,BAL,1,0,1,2,0,0,0,0,0,3,0,0,0,0,2020,0.1,0.0,6.0,0.0,0.0,3.1
klinb001,Branden Kline,BAL,3,0,15,2,1,1,3,7,0,20,0,0,0,0,2020,5.0,1.8,1.0,12.6,5.4,2.1
kremd001,Dean Kremer,BAL,4,4,56,15,10,10,12,22,0,83,0,1,1,0,2020,18.2,4.82,1.45,10.61,5.79,2.67
lakit001,Travis Lakins,BAL,22,0,77,25,11,8,13,25,2,116,2,3,2,1,2020,25.2,2.81,1.48,8.77,4.56,3.92
leblw001,Wade LeBlanc,BAL,6,6,67,27,20,20,8,13,6,103,1,1,0,0,2020,22.1,8.06,1.57,5.24,3.22,6.64
lopej004,Jorge Lopez,BAL,9,6,115,43,30,27,12,28,7,169,3,2,2,0,2020,38.1,6.34,1.43,6.57,2.82,5.19
meanj001,John Means,BAL,10,10,131,36,22,22,7,42,12,176,4,2,4,0,2020,43.2,4.53,0.98,8.66,1.44,5.5
milot001,Tommy Milone,BAL,6,6,88,33,18,13,4,31,5,129,2,1,4,0,2020,29.1,3.99,1.26,9.51,1.23,3.82
phile001,Evan Phillips,BAL,13,0,43,12,5,5,8,20,0,65,3,1,1,0,2020,14.1,3.14,1.4,12.56,5.02,2.61
scott003,Tanner Scott,BAL,25,0,62,12,5,3,10,23,1,86,3,0,0,1,2020,20.2,1.31,1.06,10.02,4.35,3.39
sulsc001,Cole Sulser,BAL,19,0,68,17,18,14,17,19,2,100,0,1,5,5,2020,22.2,5.56,1.5,7.54,6.75,4.82
tated001,Dillon Tate,BAL,12,0,50,9,7,6,5,14,1,64,2,1,1,0,2020,16.2,3.24,0.84,7.56,2.7,3.46
valdc003,Cesar Valdez,BAL,9,0,43,7,3,2,3,12,0,53,0,1,1,3,2020,14.1,1.26,0.7,7.53,1.88,2.05
wojca001,Asher Wojciechowski,BAL,10,7,111,45,29,28,15,31,11,168,1,1,3,0,2020,37.0,6.81,1.62,7.54,3.65,6.59
zimmb002,Bruce Zimmermann,BAL,2,1,21,6,6,6,2,7,2,31,2,0,0,0,2020,7.0,7.71,1.14,9.0,2.57,6.53
