player_id,name,team,g,pa,ab,r,h,doubles,triples,hr,rbi,bb,so,hbp,sf,sb,cs,season,avg,obp,slg,ops,woba
akink001,Keegan Akin,BAL,1,2,2,0,0,0,0,0,0,0,2,0,0,0,0,2021,0.0,0.0,0.0,0.0,0.0
ciufn001,Nick Ciuffo,BAL,2,6,5,0,1,1,0,0,0,1,1,0,0,0,0,2021,0.2,0.333,0.4,0.733,0.322
eshet001,Tom Eshelman,BAL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2021,0.0,0.0,0.0,0.0,0.0
franm004,Maikel Franco,BAL,103,403,377,31,79,22,0,11,47,20,67,3,3,0,0,2021,0.21,0.253,0.355,0.608,0.262
galvf001,Freddy Galvis,BAL,72,274,249,36,62,12,1,9,26,18,58,3,1,1,0,2021,0.249,0.306,0.414,0.72,0.311
gutik001,Kelvin Gutierrez,BAL,43,153,137,13,34,4,1,2,12,13,45,3,0,0,0,2021,0.248,0.327,0.336,0.663,0.297
harvm001,Matt Harvey,BAL,3,6,5,0,0,0,0,0,0,0,3,0,0,0,0,2021,0.0,0.0,0.0,0.0,0.0
haysa001,Austin Hays,BAL,130,529,488,73,125,26,4,22,71,28,107,9,1,4,3,2021,0.256,0.308,0.461,0.769,0.328
jonej007,Jahmai Jones,BAL,24,72,67,4,10,3,0,0,3,4,26,1,0,1,0,2021,0.149,0.208,0.194,0.402,0.185
leybd001,Domingo Leyba,BAL,19,72,65,6,10,1,0,1,4,6,16,1,0,0,0,2021,0.154,0.236,0.215,0.451,0.21
lopej004,Jorge Lopez,BAL,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,2021,0.0,0.0,0.0,0.0,0.0
manct001,Trey Mancini,BAL,147,616,556,77,142,33,1,21,71,51,143,8,1,0,0,2021,0.255,0.326,0.432,0.758,0.328
martr006,Richie Martin,BAL,33,105,98,9,23,2,0,1,8,4,28,1,1,0,2,2021,0.235,0.269,0.286,0.555,0.246
matej003,Jorge Mateo,BAL,31,116,107,9,30,7,1,2,8,7,28,1,1,5,3,2021,0.28,0.328,0.421,0.749,0.322
mcker001,Ryan McKenna,BAL,65,197,169,17,31,6,1,2,14,24,74,2,0,1,0,2021,0.183,0.292,0.266,0.558,0.258
meanj001,John Means,BAL,2,5,5,0,1,1,0,0,0,0,2,0,0,0,0,2021,0.2,0.2,0.4,0.6,0.248
mounr001,Ryan Mountcastle,BAL,144,586,534,77,136,23,1,33,89,41,161,4,7,4,3,2021,0.255,0.309,0.487,0.796,0.336
mullc002,Cedric Mullins,BAL,157,675,602,91,175,37,5,30,59,59,125,8,4,30,8,2021,0.291,0.36,0.518,0.878,0.373
nevit001,Tyler Nevin,BAL,5,18,14,3,4,2,0,1,3,4,5,0,0,0,0,2021,0.286,0.444,0.643,1.087,0.452
ruizr002,Rio Ruiz,BAL,29,101,90,9,15,3,0,3,6,9,29,1,0,2,0,2021,0.167,0.25,0.3,0.55,0.246
santa003,Anthony Santander,BAL,110,438,406,54,98,24,0,18,50,23,101,4,4,1,1,2021,0.241,0.286,0.433,0.719,0.306
sevep001,Pedro Severino,BAL,110,419,379,32,94,18,0,11,46,34,109,1,5,0,0,2021,0.248,0.308,0.383,0.691,0.3
siscc001,Chance Sisco,BAL,22,73,65,4,10,2,0,0,3,6,18,2,0,0,0,2021,0.154,0.247,0.185,0.432,0.207
stewd002,DJ Stewart,BAL,98,318,270,39,55,10,0,12,33,44,89,4,0,0,0,2021,0.204,0.324,0.374,0.698,0.31
uriar001,Ramon Urias,BAL,83,296,262,33,73,14,0,7,38,28,76,6,0,1,2,2021,0.279,0.361,0.412,0.773,0.34
valap001,Pat Valaika,BAL,87,281,259,17,52,8,0,5,25,16,76,2,3,1,1,2021,0.201,0.25,0.29,0.54,0.238
wilks001,Steve Wilkerson,BAL,25,76,72,4,12,3,0,0,2,3,30,1,0,2,0,2021,0.167,0.211,0.208,0.419,0.19
wynna001,Austin Wynns,BAL,42,139,130,14,24,4,0,4,14,8,31,0,0,1,0,2021,0.185,0.232,0.308,0.54,0.236
zimmb002,Bruce Zimmermann,BAL,2,4,4,0,0,0,0,0,0,0,3,0,0,0,0,2021,0.0,0.0,0.0,0.0,0.0
