player_id,name,team,date,season,ip_outs,h,r,er,bb,so,hr,bf,hbp,w,l,sv,gs
rodrg003,Grayson Rodriguez,BAL,,2023,18,7,2,2,2,7,1,24,0,1,0,0,1
webbj002,Jacob Webb,BAL,,2023,3,0,0,0,0,1,0,3,0,0,0,0,0
halld004,DL Hall,BAL,,2023,3,1,1,1,0,1,1,4,0,0,0,0,0
canoy001,Yennier Cano,BAL,,2023,3,0,0,0,0,0,0,3,0,0,0,1,0
kremd001,Dean Kremer,BAL,,2023,14,4,0,0,3,5,0,21,0,0,0,0,1
perec004,Cionel Perez,BAL,,2023,3,0,0,0,0,0,0,3,0,0,0,0,0
lopej004,Jorge Lopez,BAL,,2023,2,3,2,2,0,2,0,5,0,0,0,0,0
could001,Danny Coulombe,BAL,,2023,3,1,0,0,0,1,0,4,0,0,0,0,0
webbj002,Jacob Webb,BAL,,2023,2,2,1,1,0,0,0,4,0,0,0,0,0
halld004,DL Hall,BAL,,2023,2,2,1,1,1,0,0,5,0,0,0,0,0
krehj001,Joey Krehbiel,BAL,,2023,1,0,0,0,0,0,0,1,0,1,0,0,0
fujis001,Shintaro Fujinami,BAL,,2023,3,0,0,0,0,2,0,3,0,0,0,1,0
gibsk002,Kyle Gibson,BAL,,2023,18,6,3,3,2,3,1,23,0,1,0,0,1
perec004,Cionel Perez,BAL,,2023,3,0,0,0,0,0,0,3,0,0,0,0,0
fujis001,Shintaro Fujinami,BAL,,2023,3,1,0,0,0,1,0,4,0,0,0,0,0
irvic001,Cole Irvin,BAL,,2023,3,0,0,0,0,1,0,3,0,0,0,0,0
irvic001,Cole Irvin,BAL,,2023,17,8,4,4,1,4,2,24,0,0,1,0,1
krehj001,Joey Krehbiel,BAL,,2023,3,1,0,0,1,2,0,5,0,0,0,0,0
fujis001,Shintaro Fujinami,BAL,,2023,3,1,0,0,0,2,0,5,0,0,0,0,0
perec004,Cionel Perez,BAL,,2023,1,0,0,0,0,0,0,1,0,0,0,0,0
bradk001,Kyle Bradish,BAL,,2023,18,4,2,2,3,6,0,25,1,1,0,0,1
halld004,DL Hall,BAL,,2023,4,0,0,0,1,3,0,5,0,0,0,0,0
webbj002,Jacob Webb,BAL,,2023,2,0,0,0,0,1,0,2,0,0,0,0,0
krehj001,Joey Krehbiel,BAL,,2023,3,1,1,1,0,1,1,4,0,0,0,0,0
flahj002,Jack Flaherty,BAL,,2023,14,6,4,4,1,7,2,22,0,0,0,0,1
could001,Danny Coulombe,BAL,,2023,4,0,0,0,0,1,0,4,0,1,0,0,0
perec004,Cionel Perez,BAL,,2023,3,1,0,0,0,1,0,3,0,0,0,0,0
lopej004,Jorge Lopez,BAL,,2023,3,1,0,0,0,1,0,4,0,0,0,0,0
canoy001,Yennier Cano,BAL,,2023,3,1,1,1,0,0,1,4,0,0,0,0,0
kremd001,Dean Kremer,BAL,,2023,18,6,1,1,2,3,0,24,0,1,0,0,1
baumm001,Mike Baumann,BAL,,2023,4,2,3,3,1,1,1,7,0,0,0,0,0
akink001,Keegan Akin,BAL,,2023,2,2,0,0,0,0,0,3,0,0,0,0,0
votha001,Austin Voth,BAL,,2023,3,1,0,0,0,1,0,4,0,0,0,0,0
bradk001,Kyle Bradish,BAL,,2023,15,5,3,3,2,4,1,22,1,0,0,0,1
perec004,Cionel Perez,BAL,,2023,4,0,0,0,0,1,0,4,0,0,0,0,0
bakeb001,Bryan Baker,BAL,,2023,3,2,1,1,1,0,0,5,0,0,0,0,0
could001,Danny Coulombe,BAL,,2023,2,2,1,1,0,0,1,4,0,0,1,0,0
perec004,Cionel Perez,BAL,,2023,1,1,1,0,1,1,0,3,0,0,1,0,0
wellt003,Tyler Wells,BAL,,2023,15,3,1,1,1,4,1,20,0,0,0,0,1
votha001,Austin Voth,BAL,,2023,6,0,0,0,0,2,0,6,0,0,0,0,0
canoy001,Yennier Cano,BAL,,2023,6,0,0,0,0,3,0,6,0,0,0,0,0
bautf001,Felix Bautista,BAL,,2023,3,0,1,0,1,1,0,4,0,0,0,0,0
baumm001,Mike Baumann,BAL,,2023,3,0,0,0,1,2,0,4,0,0,0,0,0
kremd001,Dean Kremer,BAL,,2023,15,5,4,4,3,4,1,22,0,0,0,0,1
gilll001,Logan Gillaspie,BAL,,2023,1,1,1,1,1,0,0,3,0,0,0,0,0
could001,Danny Coulombe,BAL,,2023,2,0,0,0,0,1,0,2,0,0,0,0,0
perec004,Cionel Perez,BAL,,2023,3,3,1,1,0,1,0,6,0,1,0,0,0
bakeb001,Bryan Baker,BAL,,2023,3,0,0,0,0,1,0,2,0,0,0,0,0
bautf001,Felix Bautista,BAL,,2023,3,0,0,0,1,2,0,4,0,0,0,1,0
irvic001,Cole Irvin,BAL,,2023,14,4,3,3,4,5,0,21,0,0,1,0,1
votha001,Austin Voth,BAL,,2023,6,2,1,1,0,1,1,8,0,0,0,0,0
akink001,Keegan Akin,BAL,,2023,4,1,0,0,0,0,0,4,0,0,0,0,0
baumm001,Mike Baumann,BAL,,2023,3,0,0,0,1,1,0,4,0,0,0,0,0
wellt003,Tyler Wells,BAL,,2023,18,6,4,4,0,6,2,23,0,0,1,0,1
could001,Danny Coulombe,BAL,,2023,2,1,0,0,0,1,0,3,0,0,0,0,0
