player_id,name,team,date,season,ip_outs,h,r,er,bb,so,hr,bf,hbp,w,l,sv,gs
suara001,Albert Suarez,BAL,,2024,17,4,0,0,2,5,0,22,0,1,0,0,1
baumm001,Mike Baumann,BAL,,2024,1,2,2,2,1,1,1,4,0,0,0,0,0
canoy001,Yennier Cano,BAL,,2024,5,1,0,0,0,0,0,5,0,0,0,0,0
webbj002,Jacob Webb,BAL,,2024,1,0,0,0,0,0,0,1,0,0,0,0,0
kimbc001,Craig Kimbrel,BAL,,2024,3,1,0,0,1,2,0,6,1,0,0,1,0
rodrg003,Grayson Rodriguez,BAL,,2024,13,11,7,7,1,7,1,24,0,0,1,0,1
tated001,Dillon Tate,BAL,,2024,5,0,0,0,0,1,0,4,0,0,0,0,0
akink001,Keegan Akin,BAL,,2024,2,0,0,0,1,2,0,3,0,0,0,0,0
ramiy002,Yohan Ramirez,BAL,,2024,4,0,0,0,0,2,0,4,1,0,0,0,0
kremd001,Dean Kremer,BAL,,2024,16,3,2,2,1,10,1,20,0,1,0,0,1
webbj002,Jacob Webb,BAL,,2024,3,1,1,1,0,2,1,4,0,0,0,0,0
canoy001,Yennier Cano,BAL,,2024,3,1,1,1,0,2,1,4,0,0,0,0,0
could001,Danny Coulombe,BAL,,2024,2,0,0,0,0,1,0,2,0,0,0,0,0
kimbc001,Craig Kimbrel,BAL,,2024,3,1,1,0,1,1,0,4,0,0,0,1,0
burnc002,Corbin Burnes,BAL,,2024,18,1,1,1,0,11,1,19,0,1,0,0,1
baumm001,Mike Baumann,BAL,,2024,3,0,0,0,1,0,0,3,0,0,0,0,0
tated001,Dillon Tate,BAL,,2024,3,1,2,1,2,1,0,6,0,0,0,0,0
akink001,Keegan Akin,BAL,,2024,3,0,0,0,0,2,0,3,0,0,0,0,0
rodrg003,Grayson Rodriguez,BAL,,2024,18,4,1,1,1,9,1,22,0,1,0,0,1
could001,Danny Coulombe,BAL,,2024,3,1,0,0,0,1,0,4,0,0,0,0,0
webbj002,Jacob Webb,BAL,,2024,3,0,0,0,0,1,0,3,0,0,0,0,0
baumm001,Mike Baumann,BAL,,2024,3,2,1,1,0,2,0,6,0,0,0,0,0
wellt003,Tyler Wells,BAL,,2024,18,5,4,3,0,7,1,23,0,0,1,0,1
