player_id,name,team,date,season,ip_outs,h,r,er,bb,so,hr,bf,hbp,w,l,sv,gs
wojca001,Asher Wojciechowski,BAL,,2020,15,4,5,4,2,7,3,23,0,0,1,0,1
phile001,Evan Phillips,BAL,,2020,3,2,2,2,2,2,0,6,0,0,0,0,0
armss001,Shawn Armstrong,BAL,,2020,6,0,0,0,0,1,0,6,0,0,0,0,0
carrc004,Cody Carroll,BAL,,2020,1,2,2,2,1,1,0,5,1,0,0,0,0
fry-p001,Paul Fry,BAL,,2020,2,0,0,0,0,1,0,2,0,0,0,0,0
meanj001,John Means,BAL,,2020,7,2,5,5,1,2,1,12,2,0,0,0,1
lakit001,Travis Lakins,BAL,,2020,8,3,0,0,0,3,0,11,1,0,0,0,0
castm002,Miguel Castro,BAL,,2020,3,1,0,0,0,1,0,3,0,0,0,0,0
bleir001,Richard Bleier,BAL,,2020,4,0,0,0,0,2,0,4,0,0,0,0,0
givem001,Mychal Givens,BAL,,2020,2,1,0,0,1,2,0,4,0,0,0,0,0
sulsc001,Cole Sulser,BAL,,2020,3,2,3,3,1,0,1,6,0,0,1,0,0
cobba001,Alex Cobb,BAL,,2020,12,4,2,2,3,2,0,19,0,0,0,0,1
fry-p001,Paul Fry,BAL,,2020,5,1,1,1,1,2,1,6,0,1,0,0,0
armss001,Shawn Armstrong,BAL,,2020,2,1,0,0,0,2,0,3,0,0,0,0,0
scott003,Tanner Scott,BAL,,2020,2,0,0,0,0,2,0,3,1,0,0,0,0
givem001,Mychal Givens,BAL,,2020,3,0,0,0,1,1,0,4,0,0,0,0,0
sulsc001,Cole Sulser,BAL,,2020,3,0,0,0,0,2,0,3,0,0,0,1,0
leblw001,Wade LeBlanc,BAL,,2020,16,4,1,1,1,3,1,21,0,0,0,0,1
phile001,Evan Phillips,BAL,,2020,5,1,1,1,0,2,0,6,0,0,0,0,0
armss001,Shawn Armstrong,BAL,,2020,1,1,2,0,1,1,0,4,0,0,0,0,0
castm002,Miguel Castro,BAL,,2020,4,2,0,0,0,1,0,6,0,0,0,0,0
scott003,Tanner Scott,BAL,,2020,4,0,0,0,2,2,0,5,0,0,0,0,0
lakit001,Travis Lakins,BAL,,2020,3,0,0,0,0,1,0,2,0,1,0,0,0
milot001,Tommy Milone,BAL,,2020,15,6,1,1,0,8,1,21,0,0,0,0,1
castm002,Miguel Castro,BAL,,2020,3,0,0,0,0,1,0,3,0,0,0,0,0
phile001,Evan Phillips,BAL,,2020,3,0,0,0,0,1,0,3,0,1,0,0,0
sulsc001,Cole Sulser,BAL,,2020,6,0,0,0,0,0,0,6,0,0,0,1,0
meanj001,John Means,BAL,,2020,14,2,1,1,0,4,1,16,0,0,1,0,1
lakit001,Travis Lakins,BAL,,2020,3,2,2,1,0,1,0,5,0,0,0,0,0
eshet001,Thomas Eshelman,BAL,,2020,10,1,1,1,1,1,1,11,0,0,0,0,0
cobba001,Alex Cobb,BAL,,2020,15,2,1,1,3,7,1,21,0,0,1,0,1
castm002,Miguel Castro,BAL,,2020,6,0,0,0,1,4,0,8,0,0,0,0,0
wojca001,Asher Wojciechowski,BAL,,2020,15,4,2,2,1,4,0,20,0,0,1,0,1
scott003,Tanner Scott,BAL,,2020,3,0,0,0,0,0,0,3,0,0,0,0,0
leblw001,Wade LeBlanc,BAL,,2020,10,7,6,6,1,1,1,19,1,0,0,0,1
armss001,Shawn Armstrong,BAL,,2020,5,0,0,0,0,2,0,5,0,0,0,0,0
phile001,Evan Phillips,BAL,,2020,3,2,2,2,0,0,0,6,1,0,1,0,0
givem001,Mychal Givens,BAL,,2020,3,1,0,0,0,1,0,4,0,0,0,0,0
fry-p001,Paul Fry,BAL,,2020,3,1,0,0,0,2,0,4,0,0,0,0,0
milot001,Tommy Milone,BAL,,2020,12,9,6,3,0,2,0,22,0,0,1,0,1
akink001,Keegan Akin,BAL,,2020,9,2,3,3,1,1,1,13,1,0,0,0,0
carrc004,Cody Carroll,BAL,,2020,5,6,6,6,1,2,0,12,0,0,0,0,0
holab001,Bryan Holaday,BAL,,2020,1,2,0,0,0,0,0,3,0,0,0,0,0
wojca001,Asher Wojciechowski,BAL,,2020,15,5,3,3,1,2,2,19,0,1,0,0,1
scott003,Tanner Scott,BAL,,2020,5,0,0,0,0,2,0,5,0,0,0,0,0
givem001,Mychal Givens,BAL,,2020,3,1,0,0,0,1,0,4,0,0,0,0,0
sulsc001,Cole Sulser,BAL,,2020,4,0,0,0,0,1,0,4,0,0,0,1,0
