team,elo_end_of_season,mean_reverted_elo,base_war,net_txn_war,adjusted_war,war_vs_avg,war_elo,preseason_elo
ATL,1619.92,1571.95,57.6,2.6,60.2,29.3,1646.32,1584.84
LAD,1652.19,1591.31,45.5,2.2,47.7,16.8,1583.82,1568.67
TB,1633.82,1580.29,49.3,-1.9,47.4,16.5,1582.32,1563.97
PHI,1650.23,1590.14,45.7,-2.6,43.1,12.2,1560.82,1559.61
HOU,1606.96,1564.18,41.2,1.4,42.6,11.7,1558.32,1548.93
BAL,1623.09,1573.85,41.0,-4.8,36.2,5.3,1526.32,1540.56
MIN,1624.17,1574.5,44.1,-10.0,34.1,3.2,1515.82,1536.87
SEA,1566.42,1539.85,46.1,-5.6,40.5,9.6,1547.82,1535.87
TOR,1577.01,1546.21,42.9,-6.2,36.7,5.8,1528.82,1531.13
AZ,1528.92,1517.35,32.2,10.2,42.4,11.5,1557.32,1530.99
SD,1647.21,1588.33,42.4,-14.6,27.8,-3.1,1484.32,1530.24
MIL,1661.49,1596.89,34.4,-8.4,26.0,-4.9,1475.32,1530.08
TEX,1560.33,1536.2,45.7,-9.3,36.4,5.5,1527.32,1526.82
CHC,1554.79,1532.87,41.3,-5.8,35.5,4.6,1522.82,1523.88
NYY,1528.67,1517.2,27.3,7.8,35.1,4.2,1520.82,1517.25
DET,1560.81,1536.49,25.0,4.0,29.0,-1.9,1490.32,1513.05
NYM,1580.9,1548.54,23.1,3.3,26.4,-4.5,1477.32,1512.69
CIN,1505.01,1503.01,29.0,4.9,33.9,3.0,1514.82,1509.68
STL,1482.85,1489.71,25.5,9.7,35.2,4.3,1521.32,1507.13
MIA,1586.18,1551.71,25.8,-7.1,18.7,-12.2,1438.82,1499.44
PIT,1524.04,1514.42,22.5,1.5,24.0,-6.9,1465.32,1495.4
SF,1431.65,1458.99,29.5,5.2,34.7,3.8,1518.82,1494.67
CLE,1475.62,1485.37,27.2,-1.2,26.0,-4.9,1475.32,1488.25
BOS,1479.27,1487.56,28.9,-5.1,23.8,-7.1,1464.32,1484.95
KC,1479.98,1487.99,14.9,8.0,22.9,-8.0,1459.82,1483.42
LAA,1422.85,1453.71,27.6,-0.5,27.1,-3.8,1480.82,1478.44
WSH,1446.9,1468.14,12.0,3.6,15.6,-15.3,1423.32,1462.29
COL,1418.94,1451.36,8.8,1.9,10.7,-20.2,1398.82,1446.81
ATH,1414.11,1448.47,6.5,0.3,6.8,-24.1,1379.32,1438.41
CWS,1354.06,1412.44,9.1,-7.5,1.6,-29.3,1353.32,1415.16
