fip_weight,fip_prior_ip,prob_shrinkage,season,games,accuracy,log_loss,brier
50,0,0.16,2025,2430,0.5720164609053497,0.6752206464979824,0.241313277107004
45,0,0.16,2025,2430,0.5695473251028806,0.6754152580008002,0.24140960040211823
40,0,0.16,2025,2430,0.5683127572016461,0.6757283606376535,0.24156018603311147
35,0,0.16,2025,2430,0.5674897119341564,0.6761654434664812,0.24176822786803703
50,0,0.14,2025,2430,0.5720164609053497,0.6764839995604139,0.2418890371033435
45,0,0.14,2025,2430,0.5695473251028806,0.6765948195308531,0.24195123994044776
30,0,0.16,2025,2430,0.5625514403292181,0.6767316628436217,0.24203679313088797
40,0,0.14,2025,2430,0.5683127572016461,0.6768372649222824,0.24207263294671091
35,0,0.14,2025,2430,0.5674897119341564,0.6772174016160873,0.2422567959873033
50,25,0.16,2025,2430,0.5662551440329218,0.6773847476573255,0.24233641684717636
25,0,0.16,2025,2430,0.5588477366255145,0.6774317039917003,0.24236870708067856
45,25,0.16,2025,2430,0.565843621399177,0.6776476067031726,0.24246528723161517
30,0,0.14,2025,2430,0.5625514403292181,0.6777409533350894,0.24250718519527603
40,25,0.16,2025,2430,0.5641975308641975,0.6779750017448457,0.24262399578476235
50,0,0.12,2025,2430,0.5720164609053497,0.6780637158917804,0.2425855463992307
45,0,0.12,2025,2430,0.5695473251028806,0.6780750565785727,0.24260920805230438
50,50,0.16,2025,2430,0.5666666666666667,0.6781581956514167,0.24271047623431405
40,0,0.12,2025,2430,0.5683127572016461,0.6782324320820207,0.24269718058905557
35,25,0.16,2025,2430,0.5617283950617284,0.678368239563696,0.24281328097310498
25,0,0.14,2025,2430,0.5588477366255145,0.6784131597861608,0.24282700742558633
45,50,0.16,2025,2430,0.5650205761316872,0.6784346466229859,0.24284409995530545
35,0,0.12,2025,2430,0.5674897119341564,0.6785424850848556,0.24285345188539056
50,25,0.14,2025,2430,0.5662551440329218,0.6785537252568664,0.2428726350910567
50,75,0.16,2025,2430,0.5641975308641975,0.6786650541193039,0.24295390497562408
40,50,0.16,2025,2430,0.5613168724279836,0.6787568647300185,0.2429989977641889
45,25,0.14,2025,2430,0.565843621399177,0.6787719139891593,0.24298331528909142
