fip_weight,fip_prior_ip,prob_shrinkage,season,games,accuracy,log_loss,brier
25,25,0.14,2025,2430,0.5625514403292181,0.6803804054313367,0.24376247247849744
45,100,0.14,2025,2430,0.5625514403292181,0.6803828018589568,0.24376074556873775
25,75,0.16,2025,2430,0.562962962962963,0.6804047190550319,0.24378525365750625
40,25,0.12,2025,2430,0.5641975308641975,0.6804119898954746,0.24373374743149187
30,0,0.1,2025,2430,0.5625514403292181,0.6805571884900156,0.24376090799000863
30,50,0.14,2025,2430,0.5613168724279836,0.6805774461562327,0.24385589916753814
35,75,0.14,2025,2430,0.5621399176954732,0.6806451375803421,0.24388742150750367
50,50,0.12,2025,2430,0.5666666666666667,0.6806625172089196,0.24384848868966338
40,100,0.14,2025,2430,0.562962962962963,0.6806718738880104,0.24389948043857332
25,100,0.16,2025,2430,0.5621399176954732,0.6806935260439549,0.2439224539838311
35,25,0.12,2025,2430,0.5617283950617284,0.6807386094900598,0.24389626501137646
45,50,0.12,2025,2430,0.5650205761316872,0.6808739540257617,0.2439559466651784
35,100,0.14,2025,2430,0.565843621399177,0.6809923136996677,0.24405272324840793
30,75,0.14,2025,2430,0.5641975308641975,0.681020979095915,0.2440669787168663
25,50,0.14,2025,2430,0.562962962962963,0.681033970454124,0.24407378567884097
50,75,0.12,2025,2430,0.5641975308641975,0.6811026991921795,0.24406546027139311
25,0,0.1,2025,2430,0.5588477366255145,0.6811408954783118,0.2440460080915348
40,50,0.12,2025,2430,0.5613168724279836,0.6811425032569205,0.24408911745846423
30,25,0.12,2025,2430,0.5613168724279836,0.681148853348772,0.244096580445556
45,75,0.12,2025,2430,0.5625514403292181,0.681334423380921,0.24418017144247606
30,100,0.14,2025,2430,0.5633744855967078,0.6813443937276903,0.2442206299630889
25,75,0.14,2025,2430,0.562962962962963,0.6814371457324974,0.24426522974809298
50,100,0.12,2025,2430,0.5617283950617284,0.6814478874952223,0.24423372292738568
35,50,0.12,2025,2430,0.5604938271604938,0.6814689966839302,0.2442484927961283
40,75,0.12,2025,2430,0.5613168724279836,0.6816097344491747,0.2443146116466439
25,25,0.12,2025,2430,0.5625514403292181,0.6816440973499686,0.24433549735372664
45,100,0.12,2025,2430,0.5625514403292181,0.6816870556764946,0.2443505892417128
25,100,0.14,2025,2430,0.5621399176954732,0.6817283641387855,0.24440334259653207
50,25,0.1,2025,2430,0.5662551440329218,0.6817500859237696,0.24427407732977477
45,25,0.1,2025,2430,0.565843621399177,0.6818492834139191,0.24433978688925198
30,50,0.12,2025,2430,0.5613168724279836,0.6818542082303999,0.24443452910067842
35,75,0.12,2025,2430,0.5621399176954732,0.6819291330996403,0.24446907683393257
40,0,0.08,2025,2430,0.5683127572016461,0.6819515202234282,0.24428257805998133
40,100,0.12,2025,2430,0.562962962962963,0.6819608865448915,0.2444832030161474
45,0,0.08,2025,2430,0.5695473251028806,0.6820147765199802,0.2442741299965943
40,25,0.1,2025,2430,0.5641975308641975,0.6820381584272343,0.2444447430060545
35,0,0.08,2025,2430,0.5674897119341564,0.682075686650004,0.24437102701802546
50,0,0.08,2025,2430,0.5720164609053497,0.6822577322942981,0.2443408128896482
35,100,0.12,2025,2430,0.565843621399177,0.6822697076250309,0.24463175719110225
30,75,0.12,2025,2430,0.5641975308641975,0.6822930853544017,0.24464384122718344
25,50,0.12,2025,2430,0.562962962962963,0.6822988503852312,0.24464764426616412
35,25,0.1,2025,2430,0.5617283950617284,0.6823184682013483,0.24459000548269966
50,50,0.1,2025,2430,0.5666666666666667,0.6823276240387108,0.244575042561018
30,0,0.08,2025,2430,0.5625514403292181,0.6823946368869577,0.2445442387203531
45,50,0.1,2025,2430,0.5650205761316872,0.68249526772388,0.24466611085985532
30,100,0.12,2025,2430,0.5633744855967078,0.6826138239056334,0.2447964303335266
30,25,0.1,2025,2430,0.5613168724279836,0.6826918508795284,0.2447765617250387
25,75,0.12,2025,2430,0.562962962962963,0.6827020208459748,0.24483915577255208
50,75,0.1,2025,2430,0.5641975308641975,0.6827198345170002,0.24477443589177075
40,50,0.1,2025,2430,0.5613168724279836,0.6827265020645924,0.24478526417529656
25,0,0.08,2025,2430,0.5588477366255145,0.6829152277619999,0.244806708412575
45,75,0.1,2025,2430,0.5625514403292181,0.6829198500149428,0.24487718390444635
25,100,0.12,2025,2430,0.5621399176954732,0.682993516915679,0.24497738580029182
35,50,0.1,2025,2430,0.5604938271604938,0.6830222353863799,0.24493305505100035
50,100,0.1,2025,2430,0.5617283950617284,0.683034095028228,0.24493119213055453
25,25,0.1,2025,2430,0.5625514403292181,0.6831598158317249,0.24500531740600598
40,75,0.1,2025,2430,0.5613168724279836,0.683168382616371,0.2450014957490247
45,100,0.1,2025,2430,0.5625514403292181,0.6832493920283023,0.24503900859038885
30,50,0.1,2025,2430,0.5613168724279836,0.6833833154887708,0.24510999786205942
35,75,0.1,2025,2430,0.5621399176954732,0.6834659807529642,0.24514770510988212
40,100,0.1,2025,2430,0.562962962962963,0.6835032658998924,0.2451640456285617
35,100,0.1,2025,2430,0.565843621399177,0.6837960765151969,0.24530652147134208
25,50,0.1,2025,2430,0.562962962962963,0.6838105260454322,0.24531656524467368
50,25,0.08,2025,2430,0.5662551440329218,0.6838127197691647,0.24513930132461204
30,75,0.1,2025,2430,0.5641975308641975,0.6838131566615412,0.24531612213790255
45,25,0.08,2025,2430,0.565843621399177,0.6838352444740222,0.24517823043193435
40,25,0.08,2025,2430,0.5641975308641975,0.6839575678995742,0.2452598184147503
30,100,0.1,2025,2430,0.5633744855967078,0.6841281602628801,0.24546663875486888
35,25,0.08,2025,2430,0.5617283950617284,0.684181576751299,0.24538524492214883
25,75,0.1,2025,2430,0.562962962962963,0.6842103846644151,0.2455070317308828
50,50,0.08,2025,2430,0.5666666666666667,0.6842899847882331,0.24540662819482567
45,50,0.08,2025,2430,0.5650205761316872,0.6844051554794401,0.24547910228102438
25,100,0.1,2025,2430,0.5621399176954732,0.6844998291178714,0.24564458359511157
30,25,0.08,2025,2430,0.5613168724279836,0.6845090343881022,0.24555561176170315
40,50,0.08,2025,2430,0.5613168724279836,0.684591040427181,0.24558213547192484
50,75,0.08,2025,2430,0.5641975308641975,0.6846229466553265,0.24558554349381054
45,75,0.08,2025,2430,0.5625514403292181,0.6847844273569407,0.245674528289232
35,50,0.08,2025,2430,0.5604938271604938,0.6848486165071265,0.2457163446219054
50,100,0.08,2025,2430,0.5617283950617284,0.6848986140698898,0.24572875708073624
25,25,0.08,2025,2430,0.5625514403292181,0.6849415713121301,0.24577193263533598
40,75,0.08,2025,2430,0.5613168724279836,0.6849998322814771,0.24578699135823975
45,100,0.08,2025,2430,0.5625514403292181,0.6850844406320545,0.24582600361476561
30,50,0.08,2025,2430,0.5613168724279836,0.6851787981952638,0.24588230545168002
35,75,0.08,2025,2430,0.5621399176954732,0.685269752874088,0.24592330633535317
40,100,0.08,2025,2430,0.562962962962963,0.6853131291525175,0.24594200827581697
25,50,0.08,2025,2430,0.562962962962963,0.6855824340401308,0.2460805486143705
35,100,0.08,2025,2430,0.565843621399177,0.6855850688537736,0.24607701608912594
30,75,0.08,2025,2430,0.5641975308641975,0.6855947433757291,0.24608382144902383
30,100,0.08,2025,2430,0.5633744855967078,0.6859006248670161,0.24623125522711686
25,75,0.08,2025,2430,0.562962962962963,0.6859753191376321,0.2462688576230873
25,100,0.08,2025,2430,0.5621399176954732,0.6862601373196632,0.2464049359809905
