team_a,team_b,distance_miles,tz_shift_hours,direction
SD,TEX,1165.0,2,east
DET,MIA,1155.5,0,same
COL,DET,1154.1,2,east
HOU,PIT,1136.4,1,east
MIA,TEX,1123.0,-1,west
BOS,MIN,1119.8,-1,west
AZ,SEA,1114.0,-1,west
CLE,HOU,1114.0,-1,west
TB,TOR,1111.7,0,same
DET,HOU,1105.8,-1,west
MIA,NYY,1100.8,0,same
MIA,NYM,1097.7,0,same
KC,NYM,1097.5,1,east
MIL,TB,1095.5,1,east
KC,NYY,1093.2,1,east
CIN,COL,1091.9,-2,west
CLE,MIA,1089.2,0,same
PIT,TEX,1083.6,-1,west
SD,SEA,1063.5,0,same
MIA,STL,1060.3,-1,west
HOU,MIN,1058.0,0,same
AZ,KC,1051.5,1,east
CLE,TEX,1038.9,-1,west
KC,TB,1034.0,1,east
BOS,STL,1033.5,-1,west
KC,PHI,1029.7,1,east
NYY,TB,1029.5,0,same
NYM,TB,1027.4,0,same
MIN,NYM,1023.5,1,east
CHC,TB,1019.5,1,east
MIA,PHI,1018.8,0,same
COL,SEA,1018.2,-1,west
MIN,NYY,1017.7,1,east
AZ,HOU,1014.6,1,east
MIA,PIT,1013.6,0,same
DET,TEX,1012.5,-1,west
CWS,TB,1011.3,1,east
DET,TB,1007.0,0,same
HOU,MIL,1003.7,0,same
MIN,PHI,985.1,1,east
LAA,SEA,980.5,0,same
HOU,MIA,964.5,1,east
LAD,SEA,957.8,0,same
BAL,MIA,956.2,0,same
BAL,KC,955.2,-1,west
CIN,MIA,953.3,0,same
CLE,TB,950.1,0,same
COL,SF,945.5,-1,west
CHC,HOU,945.3,0,same
PHI,TB,941.4,0,same
CWS,HOU,938.7,0,same
BAL,MIN,937.5,-1,west
KC,WSH,937.4,1,east
MIN,WSH,934.5,1,east
ATL,BOS,930.6,0,same
TB,TEX,926.4,-1,west
MIA,WSH,923.8,0,same
COL,CWS,917.7,1,east
CHC,COL,917.1,-1,west
COL,MIL,909.1,1,east
ATL,MIN,897.8,-1,west
CIN,HOU,892.3,-1,west
PIT,TB,888.9,0,same
ATH,COL,887.2,1,east
NYM,STL,880.2,-1,west
COL,HOU,880.1,1,east
NYY,STL,876.4,-1,west
MIN,TEX,869.2,0,same
AZ,TEX,867.9,1,east
BAL,TB,867.6,0,same
STL,TB,866.7,1,east
MIL,TEX,865.5,0,same
BOS,MIL,856.9,-1,west
BOS,CHC,847.3,-1,west
BOS,CWS,847.3,-1,west
KC,TOR,843.0,1,east
COL,SD,833.4,-1,west
TB,WSH,833.2,0,same
COL,LAD,829.2,-1,west
CIN,TEX,827.8,-1,west
COL,LAA,822.2,-1,west
CHC,TEX,818.6,0,same
CWS,TEX,813.3,0,same
PHI,STL,807.7,-1,west
COL,STL,795.6,1,east
CIN,TB,790.0,0,same
HOU,TB,781.1,1,east
KC,PIT,774.1,1,east
ATL,NYM,751.1,0,same
ATL,NYY,750.7,0,same
MIL,NYM,742.3,1,east
MIN,PIT,741.9,1,east
MIL,NYY,736.8,1,east
BOS,CIN,736.3,0,same
ATL,TEX,732.1,-1,west
BAL,STL,729.9,-1,west
ATL,TOR,726.8,0,same
CHC,NYM,720.2,1,east
CWS,NYM,718.8,1,east
CHC,NYY,715.1,1,east
CWS,NYY,713.8,1,east
STL,WSH,710.1,1,east
ATL,HOU,699.6,-1,west
COL,MIN,697.6,1,east
MIL,PHI,696.3,1,east
CLE,KC,694.6,-1,west
MIN,TOR,692.0,1,east
HOU,STL,679.6,0,same
SEA,SF,678.0,0,same
CHC,PHI,666.4,1,east
CWS,PHI,664.2,1,east
ATL,PHI,660.3,0,same
ATL,KC,660.2,-1,west
STL,TOR,659.8,1,east
ATL,MIL,659.0,-1,west
COL,TEX,654.1,1,east
AZ,SF,652.0,-1,west
HOU,KC,644.1,0,same
BAL,MIL,643.9,-1,west
DET,KC,639.9,-1,west
MIL,WSH,639.4,1,east
ATH,AZ,635.4,1,east
CLE,MIN,630.5,-1,west
ATH,SEA,624.0,0,same
ATL,MIA,615.5,0,same
BOS,DET,609.8,0,same
BAL,CHC,606.8,-1,west
CIN,MIN,605.8,-1,west
BAL,CWS,603.8,-1,west
CHC,WSH,598.6,1,east
CWS,WSH,595.2,1,east
ATL,DET,588.8,0,same
AZ,COL,586.1,0,same
ATL,CHC,583.1,-1,west
CIN,NYM,576.1,0,same
ATL,CWS,575.0,-1,west
ATL,BAL,572.6,0,same
CIN,NYY,572.6,0,same
COL,KC,563.1,1,east
STL,TEX,560.1,0,same
PIT,STL,556.9,-1,west
BOS,CLE,547.1,0,same
ATL,CLE,547.0,0,same
DET,MIN,542.5,-1,west
ATL,WSH,538.8,0,same
CIN,KC,534.6,-1,west
ATL,PIT,515.1,0,same
CIN,PHI,500.9,0,same
CLE,STL,491.5,-1,west
DET,NYM,488.0,0,same
DET,NYY,482.6,0,same
BOS,PIT,479.8,0,same
ATH,SD,473.6,0,same
MIN,STL,467.1,0,same
KC,TEX,459.0,0,same
SD,SF,458.0,0,same
ATL,STL,456.6,-1,west
DET,STL,454.6,-1,west
MIL,PIT,447.5,1,east
DET,PHI,443.1,0,same
ATL,TB,436.5,0,same
CWS,TOR,436.5,1,east
KC,MIL,436.3,0,same
CHC,TOR,434.9,1,east
MIL,TOR,433.2,1,east
BOS,TOR,428.3,0,same
BAL,CIN,422.4,0,same
KC,MIN,414.3,0,same
CLE,NYM,411.0,0,same
CIN,TOR,410.9,0,same
CHC,PIT,410.8,1,east
CHC,KC,410.5,0,same
CWS,PIT,408.1,1,east
CWS,KC,407.8,0,same
CLE,NYY,406.1,0,same
CIN,WSH,403.0,0,same
DET,WSH,397.0,0,same
BAL,DET,396.7,0,same
BOS,WSH,391.9,0,same
ATH,LAA,387.2,0,same
LAA,SF,373.2,0,same
ATH,LAD,360.6,0,same
ATL,CIN,359.8,0,same
CLE,PHI,358.6,0,same
BAL,BOS,358.0,0,same
AZ,LAD,357.2,-1,west
CWS,MIN,357.2,0,same
TOR,WSH,351.9,0,same
CHC,MIN,351.2,0,same
NYM,TOR,346.6,0,same
LAD,SF,345.5,0,same
NYY,TOR,340.3,0,same
CLE,MIL,338.3,-1,west
PHI,TOR,337.5,0,same
AZ,LAA,335.5,-1,west
BAL,TOR,333.4,0,same
CIN,MIL,326.0,-1,west
MIL,STL,325.8,0,same
NYM,PIT,323.8,0,same
NYY,PIT,319.8,0,same
CHC,CLE,309.4,1,east
CLE,CWS,307.9,-1,west
CIN,STL,307.5,-1,west
BAL,CLE,307.1,0,same
CLE,WSH,306.2,0,same
AZ,SD,299.1,-1,west
MIL,MIN,296.2,0,same
BOS,PHI,270.7,0,same
CHC,STL,265.8,0,same
CWS,STL,259.5,0,same
PHI,PIT,258.2,0,same
CHC,CIN,257.1,1,east
CIN,PIT,256.6,0,same
DET,MIL,254.5,-1,west
CIN,CWS,250.2,-1,west
CWS,DET,237.7,1,east
CHC,DET,237.5,1,east
CIN,DET,236.6,0,same
KC,STL,232.6,0,same
HOU,TEX,230.7,0,same
PIT,TOR,223.0,0,same
CIN,CLE,222.7,0,same
NYM,WSH,212.3,0,same
NYY,WSH,212.1,0,same
DET,TOR,205.6,0,same
DET,PIT,204.8,0,same
MIA,TB,203.6,0,same
BAL,PIT,196.6,0,same
PIT,WSH,193.0,0,same
CLE,TOR,188.7,0,same
BOS,NYY,179.9,0,same
BOS,NYM,179.6,0,same
BAL,NYM,178.7,0,same
BAL,NYY,178.1,0,same
PHI,WSH,121.5,0,same
CLE,PIT,113.7,0,same
LAD,SD,113.2,0,same
NYY,PHI,91.3,0,same
CLE,DET,91.1,0,same
NYM,PHI,91.1,0,same
BAL,PHI,88.6,0,same
LAA,SD,86.4,0,same
CWS,MIL,84.6,0,same
CHC,MIL,76.3,0,same
ATH,SF,73.1,0,same
BAL,WSH,35.1,0,same
LAA,LAD,27.9,0,same
CHC,CWS,8.3,0,same
NYM,NYY,6.5,0,same
