pitcher_id,name,team,ip,era,fip,k,bb,hbp,hr,games_started
669721,Davis Daniel,Louisville Bats,10.0,5.4,5.0,9,7,1,1,2
642232,Ryan Yarbrough,New York Yankees,64.0,4.36,5.01,55,19,2,13,8
685299,Tanner Gordon,Colorado Rockies,75.3,6.33,5.01,62,17,3,16,15
688138,Logan Evans,Seattle Mariners,81.3,4.32,5.02,59,31,4,13,15
665625,Elvis Peguero,Charlotte Knights,9.3,6.75,5.03,8,6,1,1,1
592836,Taijuan Walker,Philadelphia Phillies,123.7,4.08,5.04,86,42,4,21,21
676106,Emerson Hancock,Seattle Mariners,90.0,4.9,5.05,64,31,5,15,16
607625,Seth Lugo,Kansas City Royals,145.3,4.15,5.06,125,55,6,27,26
687765,Mitch Spence,Athletics,84.7,5.1,5.06,66,26,4,16,8
669920,Jason Alexander,Houston Astros,77.3,4.77,5.07,65,26,3,15,13
690953,Mick Abel,Minnesota Twins,39.0,6.23,5.08,39,16,1,8,8
680951,Doug Nikhazy,Cleveland Guardians,4.0,13.5,5.1,5,6,0,0,1
686563,Jonathan Cannon,Chicago White Sox,103.7,5.82,5.1,86,38,6,19,17
615698,Cal Quantrill,Round Rock Express,117.7,6.04,5.11,85,35,5,22,26
669422,Matt Sauer,Oklahoma City Comets,29.7,6.37,5.13,24,8,2,6,1
681867,Cooper Criswell,Seattle Mariners,17.7,3.57,5.14,9,5,0,3,1
682243,Bryce Miller,Seattle Mariners,90.3,5.68,5.14,74,34,3,17,18
695549,Jackson Jobe,Detroit Tigers,49.0,4.22,5.14,39,27,2,7,10
573186,Marcus Stroman,New York Yankees,39.0,6.23,5.15,26,16,2,6,9
606996,Kyle Hart,San Diego Padres,43.0,5.86,5.15,37,13,2,9,6
607200,Erick Fedde,Nashville Sounds,141.0,5.49,5.17,83,67,3,19,24
663546,Sean Hjelle,Sacramento River Cats,15.0,7.8,5.17,11,9,0,2,1
678368,Valente Bellozo,Colorado Rockies,81.3,4.65,5.17,54,23,4,15,6
570632,José Ureña,Toros del Este,55.0,4.58,5.18,34,23,3,8,6
676664,JP Sears,San Diego Padres,135.7,5.04,5.18,117,36,6,30,27
672782,Yoendrys Gómez,Tampa Bay Rays,62.7,5.17,5.23,58,27,4,12,9
593423,Frankie Montas,New York Mets,38.7,6.28,5.3,32,14,1,8,7
687064,Brandon Young,Baltimore Orioles,57.7,6.24,5.32,47,22,0,12,12
608372,Tomoyuki Sugano,Baltimore Orioles,157.0,4.64,5.33,106,36,8,33,30
666171,Ryan Zeferjahn,Los Angeles Angels,57.0,4.74,5.33,73,35,4,12,1
676467,Colton Gordon,Houston Astros,86.0,5.34,5.34,72,19,2,21,14
687922,Easton Lucas,Toronto Blue Jays,24.3,6.66,5.36,23,12,0,5,5
701519,Travis Adams,Minnesota Twins,33.7,7.49,5.36,31,17,3,6,2
669308,Sean Reynolds,San Diego Padres,27.0,5.33,5.4,25,17,3,4,1
608566,Germán Márquez,Colorado Rockies,126.3,6.7,5.44,83,48,6,23,26
622608,Antonio Senzatela,Colorado Rockies,130.0,6.65,5.45,73,47,8,22,23
656240,Scott Blewett,Memphis Redbirds,44.3,5.48,5.45,35,18,1,9,2
677651,Luis Garcia,Houston Astros,7.7,3.52,5.45,7,1,1,2,2
801403,Chase Dollander,Colorado Rockies,98.0,6.52,5.5,82,49,6,18,21
681293,Spencer Arrighetti,Houston Astros,35.3,5.35,5.51,31,20,3,6,7
687830,Sawyer Gipson-Long,Detroit Tigers,31.3,7.18,5.53,26,6,2,8,3
571760,Andrew Heaney,Los Angeles Dodgers,122.3,5.52,5.56,86,40,9,25,23
542881,Tyler Anderson,Los Angeles Angels,136.3,4.56,5.57,104,57,3,28,26
471911,Carlos Carrasco,Atlanta Braves,45.7,7.09,5.58,34,17,0,10,9
663623,Jake Irvin,Washington Nationals,180.0,5.7,5.6,124,62,6,38,33
621107,Zach Eflin,Baltimore Orioles,71.3,5.93,5.61,50,13,2,18,14
621111,Walker Buehler,Philadelphia Phillies,126.0,4.93,5.63,92,61,11,22,24
689017,Landon Knack,Los Angeles Dodgers,42.3,4.89,5.68,42,19,2,10,7
687362,Connor Gillispie,St. Paul Saints,26.0,8.65,5.72,23,11,1,6,6
621121,Lance McCullers,Houston Astros,55.3,6.51,5.74,61,39,7,10,13
690916,Richard Fitts,St. Louis Cardinals,45.0,5.0,5.77,40,16,3,11,10
808963,Roki Sasaki,Los Angeles Dodgers,36.3,4.46,5.77,28,22,3,6,8
605513,Spencer Turnbull,Omaha Storm Chasers,6.3,7.11,5.79,4,4,0,1,1
641672,Thomas Hatch,Arizona Diamondbacks,34.0,5.82,5.99,22,17,0,7,1
664062,Tony Gonsolin,Oklahoma City Comets,36.0,5.0,5.99,38,18,3,9,7
686799,Jack Kochanowicz,Los Angeles Angels,111.0,6.81,6.02,72,58,7,21,23
674370,Osvaldo Bido,New York Yankees,79.7,5.87,6.04,68,35,6,19,10
693313,Carson Seymour,San Francisco Giants,36.0,4.75,6.08,26,13,1,9,3
656557,Tanner Houck,Boston Red Sox,43.7,8.04,6.13,32,17,5,10,9
829272,Shinnosuke Ogasawara,Washington Nationals,38.7,6.98,6.13,30,17,3,9,2
686730,Carson Spiers,Louisville Bats,13.3,6.08,6.18,11,7,1,3,2
642216,Allan Winans,New York Yankees,9.3,8.68,6.21,6,3,2,2,1
801139,Payton Tolle,Boston Red Sox,16.3,6.06,6.23,19,8,0,5,3
689225,Beau Brieske,Detroit Tigers,22.0,6.55,6.24,16,12,0,5,1
543101,Anthony DeSclafani,Arizona Diamondbacks,38.7,5.12,6.26,36,12,5,11,4
669060,Bryse Wilson,Philadelphia Phillies,47.3,6.65,6.27,28,19,2,11,5
702674,Caden Dana,Los Angeles Angels,32.3,6.4,6.44,33,18,1,9,5
596295,Austin Gomber,Round Rock Express,57.7,7.49,6.47,34,17,1,16,12
625643,Reynaldo López,Atlanta Braves,5.0,5.4,6.5,1,2,0,1,1
669020,Ryan Rolison,Chicago Cubs,42.3,7.02,6.72,25,20,0,11,1
680684,Gunnar Hoglund,Athletics,32.3,6.4,6.72,23,11,0,10,6
688107,Robert Gasser,Milwaukee Brewers,5.7,3.18,6.81,5,4,2,1,2
670102,Bowden Francis,Toronto Blue Jays,64.0,6.05,6.82,54,27,6,19,14
687931,Carson Whisenhunt,San Francisco Giants,23.3,5.01,6.87,16,12,2,6,5
683627,Anthony Molina,Gwinnett Stripers,34.7,7.27,6.91,24,6,2,12,1
685326,McCade Brown,Colorado Rockies,25.7,7.36,6.92,23,17,5,6,7
