date,home,away,home_score,away_score,home_elo,away_elo,home_fip_adj,away_fip_adj,travel_penalty,home_win_prob,home_won,log_loss,brier
2024-03-31,HOU,NYY,3,4,1559.9,1575.8,-59.7,18.7,0,0.4549,0,0.6069,0.207
2024-03-31,TEX,CHC,5,9,1584.2,1530.9,13.5,-50.9,0,0.684,0,1.1519,0.4678
2024-03-31,ATH,CLE,4,3,1366.4,1523.3,-22.1,-35.7,0,0.4005,1,0.9152,0.3595
2024-03-31,AZ,COL,5,1,1525.3,1422.5,17.5,-4.5,0,0.6903,1,0.3706,0.0959
2024-03-31,SEA,BOS,1,5,1560.8,1484.8,18.3,28.7,0,0.6335,0,1.0038,0.4014
2024-03-31,SD,SF,13,4,1607.4,1475.6,28.3,-170.5,0,0.8216,1,0.1965,0.0318
2024-03-31,LAD,STL,5,4,1651.0,1479.9,1.1,-33.7,0,0.7543,1,0.282,0.0604
2024-04-01,CHC,COL,5,0,1551.3,1413.7,12.7,-59.3,0,0.7568,1,0.2786,0.0591
2024-04-01,WSH,PIT,4,8,1438.6,1589.0,20.3,-26.9,0,0.445,0,0.5887,0.198
2024-04-01,BAL,KC,6,4,1616.9,1490.9,-11.3,15.5,0,0.6667,1,0.4054,0.1111
2024-04-01,PHI,CIN,3,6,1609.2,1513.3,41.9,-40.1,0,0.7341,0,1.3246,0.5389
2024-04-01,MIA,LAA,4,7,1521.3,1429.0,-74.5,-100.1,0,0.684,0,1.1522,0.4679
2024-04-01,TB,TEX,3,9,1609.8,1563.8,3.5,-44.9,0,0.6621,0,1.085,0.4384
2024-04-01,NYM,DET,0,5,1554.3,1571.6,8.3,35.1,0,0.5124,0,0.7183,0.2626
2024-04-01,HOU,TOR,10,0,1552.2,1601.1,-4.1,-12.9,0,0.5172,1,0.6594,0.2331
2024-04-01,ATH,BOS,0,9,1374.7,1506.0,-25.3,29.1,0,0.3563,0,0.4405,0.1269
2024-04-01,SEA,CLE,5,4,1539.7,1515.0,-65.7,-96.5,0,0.6231,1,0.4731,0.1421
2024-04-01,SD,STL,2,6,1618.4,1477.2,-8.5,-15.3,0,0.7103,0,1.239,0.5046
2024-04-01,AZ,NYY,2,5,1534.2,1583.4,12.3,-3.7,0,0.525,0,0.7445,0.2756
2024-04-01,LAD,SF,8,3,1653.8,1464.6,-37.3,-32.1,0,0.7387,1,0.3029,0.0683
2024-04-02,MIL,MIN,3,2,1688.1,1613.3,-14.1,-60.1,0,0.6868,1,0.3757,0.0981
2024-04-02,BAL,KC,1,4,1622.3,1485.5,-24.1,-11.7,0,0.69,0,1.1712,0.4761
2024-04-02,PHI,CIN,9,4,1590.5,1532.0,7.9,-31.3,0,0.6653,1,0.4075,0.112
2024-04-02,MIA,LAA,1,3,1502.6,1447.7,-8.9,-24.9,0,0.639,0,1.0189,0.4083
2024-04-02,TB,TEX,5,2,1585.3,1588.2,14.7,-0.1,0,0.5761,1,0.5515,0.1797
2024-04-02,CHC,COL,12,2,1559.7,1405.3,-23.7,-34.5,0,0.7243,1,0.3226,0.076
2024-04-02,CWS,ATL,3,2,1343.2,1661.0,54.3,45.1,0,0.2508,1,1.3829,0.5612
2024-04-02,HOU,TOR,1,2,1575.3,1578.0,31.9,-26.9,0,0.6236,0,0.9772,0.3889
2024-04-02,ATH,BOS,4,5,1357.7,1523.0,-50.5,-5.7,0,0.3324,0,0.404,0.1105
2024-04-02,SEA,CLE,2,5,1545.0,1509.7,5.1,158.3,0,0.4284,0,0.5592,0.1835
2024-04-02,SD,STL,2,5,1595.6,1500.0,-1.7,-7.7,0,0.6689,0,1.1054,0.4474
2024-04-02,AZ,NYY,7,0,1520.4,1597.2,26.7,8.3,0,0.4961,1,0.701,0.2539
2024-04-02,LAD,SF,5,4,1660.3,1458.1,29.5,43.9,0,0.7415,1,0.2991,0.0668
2024-04-03,BAL,KC,4,3,1602.7,1505.1,19.9,41.9,0,0.6437,1,0.4405,0.127
2024-04-03,TB,TEX,1,4,1597.1,1576.4,-26.1,8.3,0,0.5473,0,0.7925,0.2995
2024-04-03,MIA,LAA,2,10,1488.6,1461.7,15.9,7.1,0,0.6022,0,0.9218,0.3626
