Date,Team,Name,Pos,Age,Service Time,Transaction Details,2023 WAR,2024 WAR
26-Mar,NYM,Phil Bickford,RP,28,2.134,Cleared waivers; released,0.2,0
11-Mar,SFG,J.D. Davis,3B/1B,31,5.137,Released,2.2,-0.4
8-Feb,LAA,Austin Warren,RP,28,1.171,Cleared waivers; released,-0.1,0
5-Feb,PHI,Diego Castillo,OF/INF,26,0.14,Claimed off waivers from Yankees,0,0.1
18-Jan,STL,James Naile,RP,31,0.096,Released,0,
22-Dec,PIT,Andre Jackson,SP/RP,28,0.127,Cleared waivers; released,0.3,
6-Dec,COL,Connor Seabold,SP/RP,28,1.013,Released,-0.1,
30-Nov,CHW,Adam Haseley,OF,28,2.04,Cleared waivers; elected free agency,-0.1,
30-Nov,PIT,Thomas Hatch,RP,29,2.032,Released,0.3,
17-Nov,ARI,Kyle Lewis,OF,28,3.067,Non-tendered,-0.5,
17-Nov,ATL,Michael Tonkin,RP,34,3.074,Non-tendered,0.1,0.6
17-Nov,ATL,Yonny Chirinos,SP/RP,30,5.114,Non-tendered,-0.3,-0.2
17-Nov,ATL,Kolby Allard,SP/RP,26,3.162,Non-tendered,0.2,0.1
17-Nov,CHC,Codi Heuer,RP,27,4,Non-tendered,,
17-Nov,CHC,Brandon Hughes,RP,28,1.141,Non-tendered,0,-0.5
17-Nov,CIN,Derek Law,RP,33,4.081,Non-tendered,0.3,1.1
17-Nov,CIN,Nick Senzel,INF/OF,29,4.15,Non-tendered,-0.4,-0.5
17-Nov,COL,Tommy Doyle,RP,28,0.057,Non-tendered,-0.3,
17-Nov,DET,Spencer Turnbull,SP,31,5.02,Non-tendered,0,0.7
17-Nov,DET,Austin Meadows,OF,29,5.074,Non-tendered,-0.1,
17-Nov,KCR,Josh Staumont,RP,30,4.072,Non-tendered,0.2,0.2
17-Nov,MIA,Jacob Stallings,C,34,5.149,Non-tendered,-0.4,0.9
17-Nov,MIA,Garrett Hampson,INF/OF,29,5.01,Non-tendered,0.6,0.5
17-Nov,MIL,Rowdy Tellez,1B,29,5.004,Non-tendered,-0.7,-0.5
17-Nov,MIL,J.C. Mejía,RP,27,1.013,Non-tendered,0,
17-Nov,NYM,Daniel Vogelbach,DH,31,5.138,Non-tendered,0.2,-0.3
17-Nov,NYM,Trevor Gott,RP,31,5.057,Non-tendered,1,
17-Nov,NYM,Luis Guillorme,INF,29,4.159,Non-tendered,-0.3,0
17-Nov,NYM,Jeff Brigham,RP,32,3.142,Non-tendered,-0.6,
17-Nov,NYM,Sam Coonrod,RP,31,4.078,Non-tendered,-0.1,
17-Nov,NYY,Albert Abreu,RP,28,2.118,Non-tendered,-0.4,
17-Nov,OAK,Kevin Smith,INF,27,1.063,Non-tendered,-0.5,0
17-Nov,PHI,Josh Fleming,SP,28,2.144,Non-tendered,-0.5,0
17-Nov,PIT,Osvaldo Bido,SP/RP,28,0.079,Non-tendered,0.7,1.4
17-Nov,SDP,Austin Nola,C,34,4.045,Non-tendered,-0.9,
17-Nov,SDP,Tim Hill,RP,34,5.112,Non-tendered,-0.4,0.5
17-Nov,SDP,Jose Espada,RP,27,0.01,Non-tendered,0,
17-Nov,SDP,Taylor Kohlwey,OF/1B,29,0.012,Non-tendered,-0.2,
17-Nov,SEA,Mike Ford,1B,31,3.008,Non-tendered,0.6,-0.6
17-Nov,STL,Dakota Hudson,SP/RP,29,4.156,Non-tendered,0.3,0
17-Nov,STL,Juan Yepez,1B/OF,26,1.018,Non-tendered,-0.5,0.4
17-Nov,STL,Jake Woodford,SP/RP,27,3.048,Non-tendered,-0.6,0.1
17-Nov,STL,Andrew Knizner,C,29,4.021,Non-tendered,0,-0.6
17-Nov,TBR,Cooper Criswell,SP/RP,27,0.142,Non-tendered,-0.3,1.1
17-Nov,TEX,Matt Bush,RP,38,5.058,Non-tendered,-0.7,
17-Nov,TEX,Brett Martin,RP,29,4.151,Non-tendered,,
17-Nov,TOR,Adam Cimber,RP,33,5.156,Non-tendered,-0.6,-0.1
17-Nov,WSN,Dominic Smith,RP,29,5.081,Non-tendered,-0.1,0.2
17-Nov,WSN,Cory Abbott,SP/RP,28,1.004,Non-tendered,-0.4,
14-Nov,WSN,Andrés Machado,RP,31,2.024,Released,-0.5,
