pitcher_id,name,team,ip,era,fip,k,bb,hbp,hr,games_started
670871,Guillo Zuñiga,Seattle Mariners,2.0,4.5,-0.73,4,0,0,0,0
592473,Adam Kolarek,Salt Lake Bees,1.3,0.0,0.27,2,0,0,0,0
660730,Elvin Rodríguez,Arizona Diamondbacks,3.3,0.0,0.27,5,0,0,0,0
669165,Kyle Hurt,Los Angeles Dodgers,2.0,0.0,0.27,3,0,0,0,0
681808,Chris Vallimont,Toros del Este,0.7,0.0,0.27,1,0,0,0,0
672782,Yoendrys Gómez,Tampa Bay Rays,2.0,0.0,0.77,4,0,1,0,0
664202,Tyler Cyr,Oklahoma City Dodgers,1.7,0.0,0.87,2,0,0,0,0
689690,Alek Jacob,San Diego Padres,3.0,0.0,0.94,5,1,0,0,0
689147,Orion Kerkering,Philadelphia Phillies,3.0,3.0,1.27,6,2,0,0,0
623381,Thomas Pannone,Nashville Sounds,2.7,6.75,1.39,4,1,0,0,0
656887,Sean Reid-Foley,Gwinnett Stripers,7.7,3.52,1.44,16,6,0,0,0
680767,Victor Vodnik,Colorado Rockies,8.7,8.31,1.54,12,3,0,0,0
594798,Jacob deGrom,Texas Rangers,30.3,2.67,1.55,45,4,0,2,6
668754,Braden Bristo,Toledo Mud Hens,3.0,0.0,1.6,4,1,0,0,0
547973,Aroldis Chapman,Boston Red Sox,29.3,2.45,1.7,53,20,0,0,0
605488,Jeffrey Springs,Athletics,16.0,0.56,1.83,24,4,0,1,3
622088,Tejay Antone,Louisville Bats,5.7,1.59,1.86,7,2,0,0,1
676050,Packy Naughton,St. Louis Cardinals,5.0,0.0,1.87,5,1,0,0,0
642585,Félix Bautista,Baltimore Orioles,61.0,1.48,1.89,110,26,2,4,0
681432,Luke Little,Chicago Cubs,6.7,0.0,1.92,12,4,1,0,0
663423,Trent Thornton,Iowa Cubs,5.3,1.69,1.96,5,1,0,0,0
669373,Tarik Skubal,Detroit Tigers,80.3,2.8,2.01,102,14,3,4,15
622766,Miguel Díaz,Tigres del Licey,14.0,0.64,2.05,16,5,0,0,3
656730,Trevor Megill,Milwaukee Brewers,34.7,3.63,2.14,52,12,1,2,2
656945,Tanner Scott,Los Angeles Dodgers,78.0,2.31,2.18,104,24,4,3,0
592779,Brock Stewart,Los Angeles Dodgers,27.7,0.65,2.22,39,11,1,1,0
668941,JoJo Romero,St. Louis Cardinals,36.7,3.68,2.23,42,10,1,1,0
664854,Ryan Helsley,Baltimore Orioles,36.7,2.45,2.26,52,17,1,1,0
641420,Zack Burdi,Oklahoma City Dodgers,4.0,11.25,2.27,5,2,0,0,0
641427,Alan Busenitz,Louisville Bats,7.0,2.57,2.27,5,1,0,0,0
656924,Ryder Ryan,Oklahoma City Comets,1.0,0.0,2.27,2,1,0,0,0
666374,Matt Brash,Seattle Mariners,70.7,3.06,2.28,107,29,6,3,0
660825,Eduard Bazardo,Seattle Mariners,2.3,15.43,2.41,1,0,0,0,0
621237,José Alvarado,Philadelphia Phillies,41.3,1.74,2.42,64,18,0,3,0
664849,Danny Young,Atlanta Braves,8.3,1.08,2.43,11,2,3,0,0
455119,Chris Martin,Texas Rangers,51.3,1.05,2.45,46,8,0,2,0
657697,Vinny Nittoli,Worcester Red Sox,3.7,2.45,2.45,3,0,1,0,0
641672,Thomas Hatch,Arizona Diamondbacks,6.3,4.26,2.48,10,5,0,0,0
592390,Heath Hembree,Tigres del Licey,1.3,0.0,2.52,2,1,0,0,0
669111,John McMillon,Reading Fightin Phils,4.0,2.25,2.52,8,0,0,1,0
670280,David Bednar,New York Yankees,67.3,2.0,2.54,80,21,3,3,0
656876,Drew Rasmussen,Tampa Bay Rays,44.7,2.62,2.55,47,11,1,2,8
542888,Shawn Armstrong,Cleveland Guardians,52.0,1.38,2.56,54,11,4,2,6
676684,Will Vest,Detroit Tigers,48.3,2.98,2.57,56,13,0,3,4
656546,Jeff Hoffman,Toronto Blue Jays,52.3,2.41,2.58,69,19,2,3,0
