fip_weight,travel_penalty,prob_shrinkage,accuracy,log_loss,brier,games,season
40,0,0.1,0.5683127572016461,0.679807868861247,0.24337978921267342,2430,2025
40,10,0.1,0.5683127572016461,0.6799304730427248,0.24343382896014545,2430,2025
40,15,0.1,0.5679012345679012,0.679996554507459,0.2434629258432822,2430,2025
35,0,0.1,0.5674897119341564,0.6800338975455159,0.2435041901072445,2430,2025
40,20,0.1,0.5683127572016461,0.6800657742763473,0.2434933782247275,2430,2025
40,25,0.1,0.568724279835391,0.6801380938988724,0.24352516256240733,2430,2025
35,10,0.1,0.5674897119341564,0.680155829104895,0.2435581955622977,2430,2025
35,15,0.1,0.5674897119341564,0.6802216121792446,0.24358728826200318,2430,2025
35,20,0.1,0.5679012345679012,0.6802905584022649,0.24361774440089537,2430,2025
35,25,0.1,0.5674897119341564,0.6803626289494074,0.2436495398916063,2430,2025
30,0,0.1,0.5625514403292181,0.6804360677036528,0.24370700202604573,2430,2025
30,10,0.1,0.5625514403292181,0.6805571884900156,0.24376090799000863,2430,2025
30,15,0.1,0.562962962962963,0.6806226011412124,0.24378996206574813,2430,2025
30,20,0.1,0.5625514403292181,0.6806911999244485,0.24382038635229397,2430,2025
30,25,0.1,0.562962962962963,0.6807629457259418,0.24385215626415538,2430,2025
25,0,0.1,0.5588477366255145,0.6810207181891671,0.24399226434531637,2430,2025
25,10,0.1,0.5588477366255145,0.6811408954783118,0.2440460080915348,2430,2025
25,15,0.1,0.5592592592592592,0.681205868052144,0.24407499033705812,2430,2025
25,20,0.1,0.5592592592592592,0.6812740476551675,0.24410534838822867,2430,2025
25,25,0.1,0.5592592592592592,0.6813453949683415,0.24413705720376694,2430,2025
20,0,0.1,0.5641975308641975,0.6817935250964207,0.2443635747169907,2430,2025
40,0,0.08,0.5683127572016461,0.6818161954189823,0.24422395462455027,2430,2025
20,10,0.1,0.5637860082304527,0.6819126329667431,0.24441709579648216,2430,2025
35,0,0.08,0.5674897119341564,0.681941180347514,0.2443124241697567,2430,2025
40,10,0.08,0.5683127572016461,0.6819515202234282,0.24428257805998133,2430,2025
20,15,0.1,0.5641975308641975,0.6819770989109385,0.24444597420682682,2430,2025
40,15,0.08,0.5679012345679012,0.6820245302343078,0.24431416380615423,2430,2025
20,20,0.1,0.5646090534979424,0.6820447904918134,0.2444762328769524,2430,2025
35,10,0.08,0.5674897119341564,0.6820756866500041,0.24437102701802546,2430,2025
40,20,0.08,0.5683127572016461,0.6821010561949858,0.24434723372060385,2430,2025
20,25,0.1,0.5650205761316872,0.6821156682666368,0.24450784634749326,2430,2025
35,15,0.08,0.5674897119341564,0.6821483299686925,0.2444026176602185,2430,2025
40,25,0.08,0.568724279835391,0.6821810586722069,0.2443817620955095,2430,2025
35,20,0.08,0.5679012345679012,0.6822245172531443,0.2444357018195767,2430,2025
30,0,0.08,0.5625514403292181,0.6822610959611554,0.24448572887392037,2430,2025
35,25,0.08,0.5674897119341564,0.6823042087555309,0.24447025318264,2430,2025
30,10,0.08,0.5625514403292181,0.6823946368869577,0.2445442387203531,2430,2025
30,15,0.08,0.562962962962963,0.6824668368841378,0.24457579605049626,2430,2025
30,20,0.08,0.5625514403292181,0.6825426068414177,0.2446088549779527,2430,2025
30,25,0.08,0.562962962962963,0.6826219067783506,0.24464338863623078,2430,2025
15,0,0.1,0.5621399176954732,0.6827593329310032,0.24482388869377553,2430,2025
25,0,0.08,0.5588477366255145,0.6827827927911186,0.2447483613041244,2430,2025
15,10,0.1,0.562962962962963,0.6828772534146796,0.24487712836650055,2430,2025
25,10,0.08,0.5588477366255145,0.6829152277619999,0.244806708412575,2430,2025
15,15,0.1,0.562962962962963,0.6829411498976494,0.24490587190717847,2430,2025
25,15,0.08,0.5592592592592592,0.682986910621976,0.24483819554643738,2430,2025
15,20,0.1,0.562962962962963,0.6830082881588243,0.24493599909554406,2430,2025
25,20,0.08,0.5592592592592592,0.6830621871887838,0.24487119107193459,2430,2025
15,25,0.1,0.5633744855967078,0.6830786287096426,0.24496748408888472,2430,2025
25,25,0.08,0.5592592592592592,0.6831410173296332,0.24490566761702112,2430,2025
20,0,0.08,0.5641975308641975,0.6835124577320032,0.2451043518880628,2430,2025
20,10,0.08,0.5637860082304527,0.683643653822051,0.24516246905411004,2430,2025
20,15,0.08,0.5641975308641975,0.6837147492572454,0.2451938504281119,2430,2025
20,20,0.08,0.5646090534979424,0.6837894596951969,0.2452267457326847,2430,2025
20,25,0.08,0.5650205761316872,0.6838677449280615,0.2452611271326822,2430,2025
10,0,0.1,0.5617283950617284,0.6839219864159923,0.24537532308080162,2430,2025
10,10,0.1,0.5625514403292181,0.6840386103936599,0.2454282234677084,2430,2025
10,15,0.1,0.562962962962963,0.6841018788003906,0.2454568016843464,2430,2025
10,20,0.1,0.5633744855967078,0.6841684025157831,0.2454867659714779,2430,2025
40,0,0.06,0.5683127572016461,0.6841711860148758,0.24518004155559267,2430,2025
35,0,0.06,0.5674897119341564,0.6841762321896312,0.24522856533294973,2430,2025
10,25,0.1,0.562962962962963,0.6842381420786146,0.24551809013775064,2430,2025
40,10,0.06,0.5683127572016461,0.6843202915724768,0.24524342788856232,2430,2025
35,10,0.06,0.5674897119341564,0.6843243301030401,0.24529194625257367,2430,2025
30,0,0.06,0.5625514403292181,0.6843971053875355,0.24536858684051518,2430,2025
40,15,0.06,0.5679012345679012,0.6844008187396836,0.24527760097575993,2430,2025
35,15,0.06,0.5674897119341564,0.6844043999423757,0.24532613419987315,2430,2025
15,0,0.08,0.5621399176954732,0.6844554462380276,0.24555704987987723,2430,2025
40,20,0.06,0.5683127572016461,0.6844852798577966,0.24531339270073113,2430,2025
35,20,0.06,0.5679012345679012,0.6844884344640247,0.2453619516381283,2430,2025
30,10,0.06,0.5625514403292181,0.6845440435581018,0.24543188233934848,2430,2025
40,25,0.06,0.568724279835391,0.6845736355659024,0.24535077509575226,2430,2025
35,25,0.06,0.5674897119341564,0.6845763940639277,0.24539936993047867,2430,2025
15,10,0.08,0.562962962962963,0.684585279306744,0.24561487187131473,2430,2025
30,15,0.06,0.562962962962963,0.6846235766522235,0.24546604297633481,2430,2025
15,15,0.08,0.562962962962963,0.6846557211669734,0.24564611302223094,2430,2025
30,20,0.06,0.5625514403292181,0.6847071030110545,0.24550184258532906,2430,2025
15,20,0.08,0.562962962962963,0.6847297966991237,0.2456788724601464,2430,2025
30,25,0.06,0.562962962962963,0.6847945828618635,0.24553925191867335,2430,2025
15,25,0.08,0.5633744855967078,0.6848074656935934,0.245713121925942,2430,2025
25,0,0.06,0.5588477366255145,0.6848410973106792,0.2456050757621274,2430,2025
25,10,0.06,0.5588477366255145,0.6849867307022076,0.24566820872565978,2430,2025
25,15,0.06,0.5592592592592592,0.6850656508527304,0.24570230129796236,2430,2025
25,20,0.06,0.5592592592592592,0.6851485904898071,0.24573804092366905,2430,2025
25,25,0.06,0.5592592592592592,0.6852355097443428,0.2457753977972344,2430,2025
20,0,0.06,0.5641975308641975,0.6855148460985597,0.24594251938629916,2430,2025
10,0,0.08,0.5617283950617284,0.6856161139449337,0.24610890659771975,2430,2025
20,10,0.06,0.5637860082304527,0.6856590379832765,0.24600541549914784,2430,2025
20,15,0.06,0.5641975308641975,0.6857372728691017,0.2460394006980584,2430,2025
10,10,0.08,0.5625514403292181,0.6857444695232441,0.24616636928163801,2430,2025
10,15,0.08,0.562962962962963,0.6858141962854433,0.2461974364485962,2430,2025
20,20,0.06,0.5646090534979424,0.6858195509136232,0.24607503965621566,2430,2025
