team,elo
ATH,1414.11
ATL,1619.92
AZ,1528.92
BAL,1623.09
BOS,1479.27
CHC,1554.79
CIN,1505.01
CLE,1475.62
COL,1418.94
CWS,1354.06
DET,1560.81
HOU,1606.96
KC,1479.98
LAA,1422.85
LAD,1652.19
MIA,1586.18
MIL,1661.49
MIN,1624.17
NYM,1580.9
NYY,1528.67
PHI,1650.23
PIT,1524.04
SD,1647.21
SEA,1566.42
SF,1431.65
STL,1482.85
TB,1633.82
TEX,1560.33
TOR,1577.01
WSH,1446.9
