date,home,away,home_score,away_score,home_elo,away_elo,home_fip_adj,away_fip_adj,travel_penalty,home_win_prob,home_won,log_loss,brier
2023-03-30,WSH,ATL,2,7,1396.0,1678.2,-39.7,45.9,0,0.2134,0,0.24,0.0455
2023-03-30,NYY,SF,5,0,1646.1,1575.6,44.7,44.7,0,0.6385,1,0.4487,0.1307
2023-03-30,BOS,BAL,9,10,1515.9,1524.6,-112.9,6.3,0,0.4173,0,0.5401,0.1741
2023-03-30,CHC,MIL,4,0,1540.2,1541.3,28.3,18.7,0,0.5724,1,0.558,0.1829
2023-03-30,TB,DET,4,0,1554.8,1499.0,14.7,25.1,0,0.6125,1,0.4902,0.1502
2023-03-30,TEX,PHI,11,7,1450.7,1551.3,109.9,10.3,0,0.5616,1,0.5769,0.1922
2023-03-30,CIN,PIT,4,5,1374.1,1460.5,1.5,19.5,0,0.4435,0,0.5862,0.1967
2023-03-30,STL,TOR,9,10,1574.7,1652.7,0.3,-69.3,0,0.5533,0,0.8059,0.3062
2023-03-30,KC,MIN,0,2,1478.2,1482.3,-18.5,37.9,0,0.4936,0,0.6804,0.2437
2023-03-30,MIA,NYM,3,5,1504.6,1594.4,10.3,-16.9,0,0.4912,0,0.6757,0.2413
2023-03-30,HOU,CWS,2,3,1681.1,1467.8,0,22.3,0,0.7439,0,1.3621,0.5533
2023-03-30,SD,COL,2,7,1571.4,1442.4,33.9,-12.9,0,0.7325,0,1.3186,0.5366
2023-03-30,ATH,LAA,2,1,1466.1,1537.3,-74.1,0,0,0.3982,1,0.9207,0.3621
2023-03-30,LAD,AZ,8,2,1667.4,1549.2,-16.1,40.7,0,0.6292,1,0.4633,0.1375
2023-03-30,SEA,CLE,3,0,1584.4,1635.9,19.1,16.3,0,0.5072,1,0.6788,0.2428
2023-03-31,MIA,NYM,2,1,1495.1,1603.9,29.1,-2.1,0,0.474,1,0.7466,0.2767
2023-03-31,HOU,CWS,6,3,1670.7,1478.2,-11.7,-36.5,0,0.762,1,0.2718,0.0567
2023-03-31,SD,COL,1,4,1546.3,1467.5,14.7,-40.5,0,0.6984,0,1.1985,0.4877
2023-03-31,LAD,AZ,1,2,1677.4,1539.3,41.9,17.5,0,0.7221,0,1.2805,0.5214
2023-03-31,SEA,CLE,4,9,1597.8,1622.5,-66.9,-38.9,0,0.5027,0,0.6985,0.2527
2023-04-01,HOU,CWS,6,4,1675.7,1473.2,-44.1,-5.7,0,0.7233,1,0.3239,0.0765
2023-04-01,STL,TOR,4,1,1568.5,1659.0,3.1,52.7,0,0.4039,1,0.9065,0.3553
2023-04-01,CHC,MIL,1,3,1553.8,1527.7,50.7,27.5,0,0.6167,0,0.9589,0.3803
2023-04-01,TEX,PHI,16,3,1468.1,1533.9,16.3,45.5,0,0.4541,1,0.7894,0.298
2023-04-01,WSH,ATL,1,7,1389.2,1685.0,-26.1,57.1,0,0.2073,0,0.2323,0.043
2023-04-01,NYY,SF,5,7,1657.5,1564.3,-5.3,11.1,0,0.6448,0,1.0352,0.4158
2023-04-01,ATH,LAA,1,13,1473.1,1530.3,-24.5,3.9,0,0.4649,0,0.6253,0.2161
2023-04-01,BOS,BAL,9,8,1508.1,1532.4,19.5,-9.3,0,0.5678,1,0.566,0.1868
2023-04-01,CIN,PIT,6,2,1368.0,1466.5,-60.1,-6.1,0,0.3906,1,0.9401,0.3714
2023-04-01,TB,DET,12,2,1565.7,1488.2,51.1,-50.5,0,0.735,1,0.3079,0.0702
2023-04-01,KC,MIN,0,2,1465.6,1494.9,-53.3,58.3,0,0.4031,0,0.516,0.1625
2023-04-01,MIA,NYM,2,6,1502.7,1596.3,-5.7,-27.3,0,0.4805,0,0.6548,0.2308
2023-04-01,SD,COL,8,4,1528.0,1485.8,15.9,-266.5,0,0.8191,1,0.1995,0.0327
2023-04-01,LAD,AZ,10,1,1667.5,1549.1,10.3,-150.9,0,0.7983,1,0.2253,0.0407
2023-04-01,SEA,CLE,0,2,1578.6,1641.8,17.5,30.3,0,0.4758,0,0.646,0.2264
2023-04-02,TB,DET,5,1,1580.4,1473.4,98.7,-60.9,0,0.7914,1,0.2339,0.0435
2023-04-02,BOS,BAL,9,5,1514.4,1526.2,-6.1,-6.1,0,0.5495,1,0.5988,0.203
2023-04-02,WSH,ATL,4,1,1382.3,1691.8,-24.1,-44.1,0,0.2647,1,1.329,0.5406
2023-04-02,NYY,SF,6,0,1642.7,1579.1,-18.1,-36.9,0,0.6504,1,0.4301,0.1222
2023-04-02,CIN,PIT,3,1,1385.4,1449.2,-30.9,16.7,0,0.4356,1,0.8311,0.3186
2023-04-02,MIA,NYM,1,5,1489.0,1610.0,7.9,25.9,0,0.4051,0,0.5193,0.1641
2023-04-02,KC,MIN,4,7,1454.0,1506.5,-65.7,5.9,0,0.4214,0,0.5472,0.1776
2023-04-02,HOU,CWS,3,6,1679.4,1469.5,-0.5,-0.1,0,0.7567,0,1.4136,0.5726
2023-04-02,STL,TOR,9,4,1583.1,1644.3,22.3,0.3,0,0.5182,1,0.6574,0.2321
2023-04-02,CHC,MIL,5,9,1540.5,1541.0,-12.9,-125.3,0,0.6786,0,1.1351,0.4605
2023-04-02,ATH,LAA,0,6,1448.3,1555.2,0,-25.7,0,0.47,0,0.6349,0.2209
2023-04-02,LAD,AZ,1,2,1679.3,1537.3,-49.3,-11.7,0,0.6716,0,1.1136,0.4511
