player_id,player_name,from_team,to_team,type,description,war_historical,war_projected,war_blended,war
455119,Chris Martin,TEX,,Declared Free Agency,RHP Chris Martin elected free agency.,1.0,0.09357046552563575,0.5467852327628179,0.5467852327628179
663656,Kyle Tucker,CHC,,Declared Free Agency,RF Kyle Tucker elected free agency.,4.533333333333334,1.3790637191157347,2.9561985262245343,2.9561985262245343
571946,Shelby Miller,MIL,,Declared Free Agency,RHP Shelby Miller elected free agency.,0.3666666666666667,0.04022838863264395,0.20344752764965532,0.20344752764965532
642708,Amed Rosario,NYY,,Declared Free Agency,3B Amed Rosario elected free agency.,0.3333333333333333,0.07209462646493232,0.2027139798991328,0.2027139798991328
600917,José Leclerc,ATH,,Declared Free Agency,RHP José Leclerc elected free agency.,0.5333333333333333,0.04248851184164016,0.28791092258748674,0.28791092258748674
502085,David Robertson,PHI,,Declared Free Agency,RHP David Robertson elected free agency.,1.0,0.0954258469446669,0.5477129234723335,0.5477129234723335
467793,Carlos Santana,CHC,,Declared Free Agency,1B Carlos Santana elected free agency.,1.5666666666666667,0.4610960338999191,1.0138813502832928,1.0138813502832928
572191,Michael A. Taylor,CWS,,Declared Free Agency,RF Michael A. Taylor elected free agency.,0.7333333333333333,0.12292312433157501,0.42812822883245416,0.42812822883245416
609280,Miguel Andujar,CIN,,Declared Free Agency,LF Miguel Andujar elected free agency.,0.6,0.12278813287254736,0.3613940664362737,0.3613940664362737
650333,Luis Arraez,SD,,Declared Free Agency,1B Luis Arraez elected free agency.,1.8,0.5645088285381376,1.1822544142690687,1.1822544142690687
596133,Luke Weaver,NYY,,Declared Free Agency,RHP Luke Weaver elected free agency.,0.6333333333333333,0.11305649950228264,0.373194916417808,0.373194916417808
642207,Devin Williams,NYY,,Declared Free Agency,RHP Devin Williams elected free agency.,1.3333333333333333,0.1378589786568332,0.7355961559950832,0.7355961559950832
596142,Gary Sánchez,BAL,,Declared Free Agency,C Gary Sánchez elected free agency.,0.6333333333333334,0.07088929830817385,0.3521113158207536,0.3521113158207536
489446,Kirby Yates,LAD,,Declared Free Agency,RHP Kirby Yates elected free agency.,0.6333333333333333,0.0735425183221007,0.353437925827717,0.353437925827717
578428,Jose Iglesias,SD,,Declared Free Agency,2B Jose Iglesias elected free agency.,1.15,0.21046860150595806,0.680234300752979,0.680234300752979
596001,Jakob Junis,CLE,,Declared Free Agency,RHP Jakob Junis elected free agency.,0.7333333333333334,0.10857050262212012,0.42095191797772674,0.42095191797772674
573262,Mike Yastrzemski,KC,,Declared Free Agency,RF Mike Yastrzemski elected free agency.,1.8999999999999997,0.5618938158089871,1.2309469079044935,1.2309469079044935
641816,Tyler Mahle,TEX,,Declared Free Agency,RHP Tyler Mahle elected free agency.,0.8333333333333334,0.09938722286539445,0.4663602780993639,0.4663602780993639
571948,Hoby Milner,TEX,,Declared Free Agency,LHP Hoby Milner elected free agency.,0.9666666666666667,0.13803605019406148,0.5523513584303641,0.5523513584303641
650489,Willi Castro,CHC,,Declared Free Agency,LF Willi Castro elected free agency.,2.0,0.5440202410660404,1.2720101205330203,1.2720101205330203
608566,Germán Márquez,COL,,Declared Free Agency,RHP Germán Márquez elected free agency.,0.16666666666666666,0.02245301007899755,0.0945598383728321,0.0945598383728321
650859,Luis Rengifo,LAA,,Declared Free Agency,3B Luis Rengifo elected free agency.,1.0666666666666667,0.24734432234432233,0.6570054945054945,0.6570054945054945
543056,Danny Coulombe,TEX,,Declared Free Agency,LHP Danny Coulombe elected free agency.,0.8666666666666666,0.0741939603791792,0.4704303135229229,0.4704303135229229
622554,Seranthony Domínguez,TOR,,Declared Free Agency,RHP Seranthony Domínguez elected free agency.,0.3333333333333333,0.05051512614219665,0.191924229737765,0.191924229737765
656288,Griffin Canning,NYM,,Declared Free Agency,RHP Griffin Canning elected free agency.,0.9333333333333335,0.1987428557706162,0.5660380945519748,0.5660380945519748
656222,Jalen Beeks,AZ,,Declared Free Agency,LHP Jalen Beeks elected free agency.,0.43333333333333335,0.05143759787319277,0.24238546560326307,0.24238546560326307
450203,Charlie Morton,ATL,,Declared Free Agency,RHP Charlie Morton elected free agency.,1.366666666666667,0.3257879484060844,0.8462273075363757,0.8462273075363757
457705,Andrew McCutchen,PIT,,Declared Free Agency,RF Andrew McCutchen elected free agency.,0.5666666666666667,0.1359552195405641,0.3513109431036154,0.3513109431036154
571578,Patrick Corbin,TEX,,Declared Free Agency,LHP Patrick Corbin elected free agency.,1.4666666666666668,0.46031944668711994,0.9634930566768933,0.9634930566768933
518886,Craig Kimbrel,HOU,,Declared Free Agency,RHP Craig Kimbrel elected free agency.,0.43333333333333335,0.030789766336833863,0.2320615498350836,0.2320615498350836
664854,Ryan Helsley,NYM,,Declared Free Agency,RHP Ryan Helsley elected free agency.,1.3333333333333333,0.14669448010269573,0.7400139067180145,0.7400139067180145
650633,Michael King,SD,,Declared Free Agency,RHP Michael King elected free agency.,2.3000000000000003,0.48503972948300356,1.392519864741502,1.392519864741502
641793,Zack Littell,CIN,,Declared Free Agency,RHP Zack Littell elected free agency.,1.6333333333333335,0.4591924009619545,1.046262867147644,1.046262867147644
519141,Drew Pomeranz,CHC,,Declared Free Agency,LHP Drew Pomeranz elected free agency.,0.7,0.07666963490650044,0.3883348174532502,0.3883348174532502
573204,Caleb Thielbar,CHC,,Declared Free Agency,LHP Caleb Thielbar elected free agency.,0.46666666666666673,0.05828832184764387,0.2624774942571553,0.2624774942571553
572191,Michael A. Taylor,CWS,,Declared Free Agency,RF Michael A. Taylor elected free agency.,0.7333333333333333,0.12292312433157501,0.42812822883245416,0.42812822883245416
472610,Luis García,LAA,,Declared Free Agency,RHP Luis García elected free agency.,0.36666666666666664,0.052308210817802556,0.2094874387422346,0.2094874387422346
660162,Yoán Moncada,LAA,,Declared Free Agency,3B Yoán Moncada elected free agency.,0.7333333333333333,0.10907424738730308,0.4212037903603182,0.4212037903603182
571760,Andrew Heaney,LAD,,Declared Free Agency,LHP Andrew Heaney elected free agency.,1.1333333333333335,0.2692925434137424,0.7013129383735379,0.7013129383735379
642232,Ryan Yarbrough,NYY,,Declared Free Agency,LHP Ryan Yarbrough elected free agency.,0.3333333333333333,0.045228703895924156,0.18928101861462873,0.18928101861462873
624424,Michael Conforto,LAD,,Declared Free Agency,LF Michael Conforto elected free agency.,0.5,0.10995773903856314,0.30497886951928155,0.30497886951928155
641745,Brad Keller,CHC,,Declared Free Agency,RHP Brad Keller elected free agency.,0.43333333333333335,0.06422574998010663,0.24877954165672,0.24877954165672
640448,Kyle Finnegan,DET,,Declared Free Agency,RHP Kyle Finnegan elected free agency.,0.5,0.07726325945429299,0.2886316297271465,0.2886316297271465
571912,Luke Maile,KC,,Declared Free Agency,C Luke Maile elected free agency.,0.26666666666666666,0.02334256752502676,0.14500461709584672,0.14500461709584672
657557,Paul DeJong,WSH,,Declared Free Agency,3B Paul DeJong elected free agency.,0.8333333333333334,0.18144836995547894,0.5073908516444061,0.5073908516444061
657041,Lane Thomas,CLE,,Declared Free Agency,CF Lane Thomas elected free agency.,1.2666666666666666,0.24843609438793163,0.7575513805272991,0.7575513805272991
542303,Marcell Ozuna,ATL,,Declared Free Agency,DH Marcell Ozuna elected free agency.,3.033333333333333,0.9807017543859651,2.007017543859649,2.007017543859649
608372,Tomoyuki Sugano,BAL,,Declared Free Agency,RHP Tomoyuki Sugano elected free agency.,0.5,0.5,0.5,0.5
571945,Miles Mikolas,STL,,Declared Free Agency,RHP Miles Mikolas elected free agency.,1.7333333333333334,0.4542611788913802,1.0937972561123568,1.0937972561123568
573124,Taylor Rogers,CHC,,Declared Free Agency,LHP Taylor Rogers elected free agency.,0.2333333333333333,0.026638320537780553,0.12998582693555694,0.12998582693555694
519326,Hunter Strickland,LAA,,Declared Free Agency,RHP Hunter Strickland elected free agency.,0.1,0.008936860106158528,0.05446843005307927,0.05446843005307927
592426,Luke Jackson,SEA,,Declared Free Agency,RHP Luke Jackson elected free agency.,0.13333333333333333,0.010552894918286343,0.07194311412580984,0.07194311412580984
664238,Dylan Moore,TEX,,Declared Free Agency,2B Dylan Moore elected free agency.,0.9333333333333332,0.17168512923799933,0.5525092312856663,0.5525092312856663
542881,Tyler Anderson,LAA,,Declared Free Agency,LHP Tyler Anderson elected free agency.,0.9,0.224512706637059,0.5622563533185295,0.5622563533185295
642397,Gregory Soto,NYM,,Declared Free Agency,LHP Gregory Soto elected free agency.,0.7000000000000001,0.0861879794154772,0.3930939897077386,0.3930939897077386
592773,Ryne Stanek,NYM,,Declared Free Agency,RHP Ryne Stanek elected free agency.,0.06666666666666667,0.007961841863878187,0.03731425426527243,0.03731425426527243
605135,Chris Bassitt,TOR,,Declared Free Agency,RHP Chris Bassitt elected free agency.,2.433333333333333,0.743871223592184,1.5886022784627585,1.5886022784627585
664208,Phil Maton,TEX,,Declared Free Agency,RHP Phil Maton elected free agency.,0.7333333333333334,0.110428845519681,0.4218810894265072,0.4218810894265072
664285,Framber Valdez,HOU,,Declared Free Agency,LHP Framber Valdez elected free agency.,4.033333333333334,1.2798367902074124,2.6565850617703735,2.6565850617703735
656811,Ryan O'Hearn,SD,,Declared Free Agency,1B Ryan O'Hearn elected free agency.,2.033333333333333,0.6197194719471947,1.326526402640264,1.326526402640264
527038,Wilmer Flores,SF,,Declared Free Agency,1B Wilmer Flores elected free agency.,0.4666666666666666,0.06300647589043493,0.26483657127855076,0.26483657127855076
650644,Aaron Civale,CHC,,Declared Free Agency,RHP Aaron Civale elected free agency.,1.4666666666666668,0.31871865259560467,0.8926926596311358,0.8926926596311358
641302,Tyler Alexander,CWS,,Declared Free Agency,LHP Tyler Alexander elected free agency.,0.46666666666666673,0.10145492691158696,0.2840607967891268,0.2840607967891268
640451,Hunter Harvey,KC,,Declared Free Agency,RHP Hunter Harvey elected free agency.,0.8333333333333334,0.06335652218230002,0.4483449277578167,0.4483449277578167
621112,Paul Blackburn,NYY,,Declared Free Agency,RHP Paul Blackburn elected free agency.,0.7333333333333334,0.0897636039250669,0.41154846862920014,0.41154846862920014
628452,Raisel Iglesias,ATL,,Declared Free Agency,RHP Raisel Iglesias elected free agency.,1.2,0.1672792469744509,0.6836396234872254,0.6836396234872254
666182,Bo Bichette,TOR,,Declared Free Agency,SS Bo Bichette elected free agency.,2.6666666666666665,0.8078958605243229,1.7372812635954946,1.7372812635954946
664034,Ty France,TOR,,Declared Free Agency,1B Ty France elected free agency.,0.4666666666666666,0.13597807958065286,0.3013223731236597,0.3013223731236597
612434,Miguel Castro,CWS,,Declared Free Agency,RHP Miguel Castro elected free agency.,0.06666666666666667,0.0027130866532687086,0.034689876659967686,0.034689876659967686
502054,Tommy Pham,PIT,,Declared Free Agency,LF Tommy Pham elected free agency.,0.6666666666666666,0.14699999999999996,0.40683333333333327,0.40683333333333327
642086,Dominic Smith,SF,,Declared Free Agency,1B Dominic Smith elected free agency.,0.16666666666666666,0.04626753461905534,0.106467100642861,0.106467100642861
605137,Josh Bell,WSH,,Declared Free Agency,1B Josh Bell elected free agency.,0.13333333333333333,0.03519004751187797,0.08426169042260565,0.08426169042260565
643396,Isiah Kiner-Falefa,TOR,,Declared Free Agency,SS Isiah Kiner-Falefa elected free agency.,1.1333333333333333,0.3097670613635597,0.7215501973484465,0.7215501973484465
502671,Paul Goldschmidt,NYY,,Declared Free Agency,1B Paul Goldschmidt elected free agency.,1.8,0.534912861544121,1.1674564307720605,1.1674564307720605
518876,Merrill Kelly,TEX,,Declared Free Agency,RHP Merrill Kelly elected free agency.,2.3000000000000003,0.6108403113094145,1.4554201556547075,1.4554201556547075
543294,Kyle Hendricks,LAA,,Declared Free Agency,RHP Kyle Hendricks elected free agency.,1.6333333333333335,0.4168365685915436,1.0250849509624387,1.0250849509624387
543877,Christian Vázquez,MIN,,Declared Free Agency,C Christian Vázquez elected free agency.,0.6,0.10652102650557273,0.35326051325278635,0.35326051325278635
516782,Starling Marte,NYM,,Declared Free Agency,LF Starling Marte elected free agency.,0.3333333333333333,0.09318165480554957,0.21325749406944144,0.21325749406944144
656775,Cedric Mullins,NYM,,Declared Free Agency,CF Cedric Mullins elected free agency.,1.7333333333333334,0.4887631063486577,1.1110482198409954,1.1110482198409954
643511,Tyler Rogers,NYM,,Declared Free Agency,RHP Tyler Rogers elected free agency.,0.8333333333333334,0.1391921154263143,0.4862627243798238,0.4862627243798238
663757,Trent Grisham,NYY,,Declared Free Agency,CF Trent Grisham elected free agency.,1.8,0.5254241139048773,1.1627120569524387,1.1627120569524387
553993,Eugenio Suárez,SEA,,Declared Free Agency,3B Eugenio Suárez elected free agency.,3.6999999999999997,1.3225276570967885,2.511263828548394,2.511263828548394
656629,Michael Kopech,LAD,,Declared Free Agency,RHP Michael Kopech elected free agency.,0.13333333333333333,0.017204066943683354,0.07526870013850834,0.07526870013850834
668678,Zac Gallen,AZ,,Declared Free Agency,RHP Zac Gallen elected free agency.,3.033333333333333,0.8411940227251026,1.9372636780292178,1.9372636780292178
543510,James McCann,AZ,,Declared Free Agency,C James McCann elected free agency.,0.39999999999999997,0.05956873315363882,0.2297843665768194,0.2297843665768194
605170,Victor Caratini,HOU,,Declared Free Agency,C Victor Caratini elected free agency.,1.3,0.25915451465606126,0.7795772573280306,0.7795772573280306
477132,Clayton Kershaw,LAD,,Declared Free Agency,LHP Clayton Kershaw elected free agency.,1.8666666666666665,0.3429807986926769,1.1048237326796717,1.1048237326796717
605447,Jordan Romano,PHI,,Declared Free Agency,RHP Jordan Romano elected free agency.,0.39999999999999997,0.025232788887192794,0.21261639444359637,0.21261639444359637
656302,Dylan Cease,SD,,Declared Free Agency,RHP Dylan Cease elected free agency.,3.9,1.1925691216521832,2.5462845608260913,2.5462845608260913
641482,Nestor Cortes,SD,,Declared Free Agency,LHP Nestor Cortes elected free agency.,1.3,0.2224388966679189,0.7612194483339595,0.7612194483339595
592454,Tommy Kahnle,DET,,Declared Free Agency,RHP Tommy Kahnle elected free agency.,0.13333333333333333,0.012115436804578985,0.07272438506895616,0.07272438506895616
571771,Enrique Hernández,LAD,,Declared Free Agency,1B Enrique Hernández elected free agency.,-0.20000000000000004,-0.027190739951711413,-0.11359536997585573,-0.11359536997585573
608385,Jesse Winker,NYM,,Declared Free Agency,LF Jesse Winker elected free agency.,0.16666666666666663,0.03909226532017443,0.10287946599342053,0.10287946599342053
543518,Scott McGough,ATH,,Declared Free Agency,RHP Scott McGough elected free agency.,0.0,0.0,0.0,0.0
455117,Martín Maldonado,SD,,Declared Free Agency,C Martín Maldonado elected free agency.,-0.7999999999999999,-0.1318727714431253,-0.4659363857215626,-0.4659363857215626
647336,Michael Soroka,CHC,,Declared Free Agency,RHP Michael Soroka elected free agency.,0.5,0.08982008328768414,0.29491004164384205,0.29491004164384205
641598,Mitch Garver,SEA,,Declared Free Agency,C Mitch Garver elected free agency.,0.6000000000000001,0.09412070386696772,0.3470603519334839,0.3470603519334839
643376,Danny Jansen,MIL,,Declared Free Agency,C Danny Jansen elected free agency.,1.2666666666666666,0.2584518340261066,0.7625592503463866,0.7625592503463866
605540,Brandon Woodruff,MIL,,Declared Free Agency,RHP Brandon Woodruff elected free agency.,1.6,0.23140784524449218,0.9157039226222461,0.9157039226222461
547179,Michael Lorenzen,KC,,Declared Free Agency,RHP Michael Lorenzen elected free agency.,1.2,0.3010230671970888,0.7505115335985444,0.7505115335985444
608596,Tom Murphy,SF,,Declared Free Agency,C Tom Murphy elected free agency.,0.15000000000000002,0.003980823695077769,0.0769904118475389,0.0769904118475389
668723,Ryan Vilade,CIN,TB,trade,Cincinnati Reds traded RF Ryan Vilade to Tampa Bay Rays for cash.,-0.25,-0.005983600798883972,-0.127991800399442,-0.127991800399442
622098,Drew Smith,NYM,,Declared Free Agency,RHP Drew Smith elected free agency.,0.2,0.015613578742879722,0.10780678937143987,0.10780678937143987
608337,Lucas Giolito,BOS,,Declared Free Agency,RHP Lucas Giolito elected free agency.,1.45,0.4528876220043329,0.9514438110021665,0.9514438110021665
624522,Keegan Thompson,,CIN,Signed as Free Agent,Cincinnati Reds signed free agent RHP Keegan Thompson.,0.15000000000000002,0.010720228191110055,0.08036011409555503,0.08036011409555503
656555,Rhys Hoskins,MIL,,Declared Free Agency,1B Rhys Hoskins elected free agency.,0.55,0.15051006341328924,0.3502550317066446,0.3502550317066446
624413,Pete Alonso,NYM,,Declared Free Agency,1B Pete Alonso elected free agency.,2.8333333333333335,1.0602713775937267,1.94680235546353,1.94680235546353
621242,Edwin Díaz,NYM,,Declared Free Agency,RHP Edwin Díaz elected free agency.,1.55,0.20980377959597418,0.8799018897979871,0.8799018897979871
664056,Harrison Bader,PHI,,Declared Free Agency,LF Harrison Bader elected free agency.,1.7666666666666666,0.5257704682076031,1.1462185674371348,1.1462185674371348
500779,Jose Quintana,MIL,,Declared Free Agency,LHP Jose Quintana elected free agency.,1.1333333333333335,0.26393429739075763,0.6986338153620456,0.6986338153620456
527048,Martín Pérez,CWS,,Declared Free Agency,LHP Martín Pérez elected free agency.,0.5333333333333333,0.11831855185650937,0.32582594259492137,0.32582594259492137
673490,Ha-Seong Kim,ATL,,Declared Free Agency,SS Ha-Seong Kim elected free agency.,2.3666666666666667,0.503446607021399,1.435056636844033,1.435056636844033
663158,Robert Suarez,SD,,Declared Free Agency,RHP Robert Suarez elected free agency.,0.9333333333333332,0.13678657336540562,0.5350599533493694,0.5350599533493694
641355,Cody Bellinger,NYY,,Declared Free Agency,LF Cody Bellinger elected free agency.,3.8000000000000003,1.2833980762116168,2.5416990381058087,2.5416990381058087
571657,Kyle Farmer,COL,,Declared Free Agency,2B Kyle Farmer elected free agency.,0.6,0.09447148817802502,0.3472357440890125,0.3472357440890125
608324,Alex Bregman,BOS,,Declared Free Agency,3B Alex Bregman elected free agency.,4.033333333333334,1.3173659052649462,2.67534961929914,2.67534961929914
684007,Shota Imanaga,CHC,,Declared Free Agency,LHP Shota Imanaga elected free agency.,2.0,0.5293914531278395,1.2646957265639198,1.2646957265639198
545341,Randal Grichuk,KC,,Declared Free Agency,RF Randal Grichuk elected free agency.,0.6,0.11218694501830305,0.3560934725091515,0.3560934725091515
660730,Elvin Rodríguez,AZ,,Declared Free Agency,RHP Elvin Rodríguez elected free agency.,0.1,0.0023893443862886884,0.051194672193144344,0.051194672193144344
606996,Kyle Hart,SD,,Declared Free Agency,LHP Kyle Hart elected free agency.,0.0,0.0,0.0,0.0
553869,Elias Díaz,SD,,Declared Free Agency,C Elias Díaz elected free agency.,0.26666666666666666,0.07212542781649554,0.1693960472415811,0.1693960472415811
521230,Liam Hendriks,BOS,,Declared Free Agency,RHP Liam Hendriks elected free agency.,0.0,0.0,0.0,0.0
686249,Nathan Wiles,ATL,,Released,Atlanta Braves released RHP Nathan Wiles.,0.0,0.0,0.0,0.0
680702,Joey Gerber,TB,NYM,trade,Tampa Bay Rays traded RHP Joey Gerber to New York Mets for cash.,0.0,0.0,0.0,0.0
552640,Andrew Kittredge,CHC,BAL,trade,Chicago Cubs traded RHP Andrew Kittredge to Baltimore Orioles for cash.,0.39999999999999997,0.0493657904846885,0.22468289524234422,0.22468289524234422
642528,Jonathan Loáisiga,NYY,,Declared Free Agency,RHP Jonathan Loáisiga elected free agency.,0.03333333333333333,0.0014201372267432584,0.017376735280038295,0.017376735280038295
669720,Austin Hays,CIN,,Declared Free Agency,LF Austin Hays elected free agency.,1.366666666666667,0.3103196513525715,0.8384931590096192,0.8384931590096192
593871,Jorge Polanco,SEA,,Declared Free Agency,2B Jorge Polanco elected free agency.,1.4000000000000001,0.418245503973233,0.9091227519866165,0.9091227519866165
608718,Brent Suter,CIN,,Declared Free Agency,LHP Brent Suter elected free agency.,0.5333333333333333,0.0621765017279016,0.29775491753061745,0.29775491753061745
605130,Scott Barlow,CIN,,Declared Free Agency,RHP Scott Barlow elected free agency.,0.3666666666666667,0.04007173450744302,0.20336920058705485,0.20336920058705485
666277,George Soriano,,BAL,Claimed Off Waivers,Baltimore Orioles claimed RHP George Soriano off waivers from Miami Marlins.,0.06666666666666667,0.004315300567251686,0.035490983616959175,0.035490983616959175
677961,Cole Wilcox,TB,SEA,trade,Tampa Bay Rays traded RHP Cole Wilcox to Seattle Mariners for cash.,0.0,0.0,0.0,0.0
