date,home,away,home_score,away_score,home_elo,away_elo,home_fip_adj,away_fip_adj,home_bp_adj,away_bp_adj,travel_penalty,home_win_prob,home_won,log_loss,brier
2025-03-30,TEX,BOS,3,2,1500.3,1496.4,0,0,0,0,0,0.5671,1,0.5672,0.1874
2025-03-30,AZ,CHC,10,6,1611.8,1580.5,0,0,0,0,0,0.5974,1,0.5152,0.1621
2025-03-30,SEA,ATH,2,1,1595.4,1478.3,0,0,0,0,0,0.6834,1,0.3807,0.1002
2025-03-30,SD,ATL,5,0,1677.5,1610.0,0,0,0,0,0,0.6354,1,0.4535,0.1329
2025-03-31,CWS,MIN,9,0,1386.9,1383.3,0,0,0,0,0,0.5669,1,0.5676,0.1876
2025-03-31,MIL,KC,1,11,1558.3,1519.9,0,0,0,0,0,0.605,0,0.9288,0.366
2025-03-31,BAL,BOS,8,5,1539.9,1490.7,0,0,0,0,0,0.6165,1,0.4837,0.1471
2025-03-31,PHI,COL,6,1,1590.6,1444.1,0,0,0,0,0,0.7091,1,0.3438,0.0846
2025-03-31,CIN,TEX,14,3,1493.6,1506.0,0,0,0,0,0,0.5488,1,0.6,0.2036
2025-03-31,MIA,NYM,4,10,1516.1,1627.2,0,0,0,0,0,0.436,0,0.5726,0.1901
2025-03-31,TB,PIT,6,1,1559.2,1473.8,0,0,0,0,0,0.6533,1,0.4257,0.1202
2025-03-31,TOR,WSH,5,2,1462.6,1465.7,0,0,0,0,0,0.5593,1,0.581,0.1942
2025-03-31,STL,LAA,4,5,1606.2,1350.6,0,0,0,0,0,0.7854,0,1.5388,0.6168
2025-03-31,HOU,SF,2,7,1619.5,1583.5,0,0,0,0,0,0.6024,0,0.9224,0.3629
2025-03-31,SD,CLE,7,2,1689.0,1579.4,0,0,0,0,0,0.6764,1,0.391,0.1047
2025-03-31,SEA,DET,6,9,1599.0,1565.3,0,0,0,0,0,0.5999,0,0.9161,0.3599
2025-03-31,ATH,CHC,3,18,1474.7,1568.5,0,0,0,0,0,0.4556,0,0.6081,0.2076
2025-03-31,LAD,ATL,6,1,1716.6,1598.5,0,0,0,0,0,0.6843,1,0.3794,0.0997
2025-04-01,CIN,TEX,0,1,1515.3,1484.3,0,0,0,0,0,0.597,0,0.9089,0.3565
2025-04-01,MIA,NYM,4,2,1500.5,1642.7,0,0,0,0,0,0.4016,1,0.9122,0.358
2025-04-01,TB,PIT,7,0,1569.8,1463.2,0,0,0,0,0,0.6737,1,0.3949,0.1065
2025-04-01,NYY,AZ,5,7,1606.0,1623.8,0,0,0,0,0,0.5426,0,0.7823,0.2945
2025-04-01,TOR,WSH,5,3,1474.4,1453.9,0,0,0,0,0,0.5856,1,0.5352,0.1718
2025-04-01,CWS,MIN,3,8,1406.0,1364.1,0,0,0,0,0,0.6088,0,0.9385,0.3706
2025-04-01,MIL,KC,5,0,1528.5,1549.7,0,0,0,0,0,0.5389,1,0.6183,0.2126
2025-04-01,STL,LAA,7,9,1595.5,1361.2,0,0,0,0,0,0.7728,0,1.4819,0.5972
2025-04-01,HOU,SF,1,3,1597.4,1605.7,0,0,0,0,0,0.5535,0,0.8062,0.3063
2025-04-01,SD,CLE,7,0,1698.5,1569.9,0,0,0,0,0,0.6937,1,0.3658,0.0938
2025-04-01,SEA,DET,1,4,1581.9,1582.4,0,0,0,0,0,0.5623,0,0.8262,0.3162
2025-04-01,ATH,CHC,4,7,1451.1,1592.1,0,0,0,0,0,0.403,0,0.5158,0.1624
2025-04-01,LAD,ATL,3,1,1725.8,1589.4,0,0,0,0,0,0.7005,1,0.356,0.0897
2025-04-02,CIN,TEX,0,1,1506.8,1492.8,0,0,0,0,0,0.5784,0,0.8638,0.3346
2025-04-02,TB,PIT,2,4,1581.1,1452.0,0,0,0,0,0,0.6941,0,1.1844,0.4818
2025-04-02,MIL,KC,3,2,1544.6,1533.7,0,0,0,0,0,0.575,1,0.5534,0.1806
2025-04-02,STL,LAA,12,5,1578.8,1377.9,0,0,0,0,0,0.7509,1,0.2865,0.0621
2025-04-02,CWS,MIN,1,6,1383.7,1386.5,0,0,0,0,0,0.5596,0,0.8202,0.3132
2025-04-02,TOR,WSH,4,2,1482.9,1445.3,0,0,0,0,0,0.6042,1,0.5039,0.1567
2025-04-02,ATH,CHC,2,10,1441.2,1602.0,0,0,0,0,0,0.3819,0,0.4811,0.1458
