team,name,position,il_type,mlb_id,fg_id,war,war_source,war_impact,is_pitcher
SEA,Bryce Miller,P,Injured 15-Day,682243,29837,0.0,current,0.0,True
SEA,Collin Snider,P,Injured 15-Day,676092,23307,0.2,current,0.2,True
SEA,Gregory Santos,P,Injured 60-Day,666619,21894,0.0,current,0.0,True
SEA,Ryan Bliss,2B,Injured 60-Day,669208,,,unknown,0.0,False
SEA,Victor Robles,RF,Injured 60-Day,645302,18363,-0.2,current,0.0,False
SF,Christian Koss,2B,Injured 10-Day,683766,,,unknown,0.0,False
SF,Erik Miller,P,Injured 15-Day,669062,26252,0.1,current,0.1,True
SF,Jerar Encarnacion,RF,Injured 10-Day,666464,21871,0.1,current,0.1,False
SF,Tom Murphy,C,Injured 60-Day,608596,13499,-0.5,prior_year,0.0,False
STL,Jordan Walker,RF,Injured 10-Day,691023,27475,-1.2,current,0.0,False
STL,Lars Nootbaar,LF,Injured 10-Day,663457,21454,0.8,current,0.8,False
STL,Zack Thompson,P,Injured 60-Day,668868,25918,0.0,prior_year,0.0,True
TB,Alex Faedo,P,Injured 60-Day,656412,19874,0.0,prior_year,0.0,True
TB,Brandon Lowe,2B,Injured 10-Day,664040,18882,1.7,current,1.7,False
TB,Hunter Bigge,P,Injured 15-Day,685801,,,unknown,0.0,True
TB,Jonny DeLuca,CF,Injured 60-Day,676356,26365,0.6,current,0.6,False
TB,Manuel Rodríguez,P,Injured 15-Day,655889,20794,0.7,current,0.7,True
TB,Nate Lavender,P,Injured 60-Day,681320,,,unknown,0.0,True
TB,Richie Palacios,LF,Injured 60-Day,680700,24589,0.1,current,0.1,False
TB,Shane McClanahan,P,Injured 60-Day,663556,21483,,unknown,0.0,True
TEX,Cody Bradford,P,Injured 60-Day,674003,27597,1.5,prior_year,1.5,True
TEX,Jake Burger,1B,Injured 10-Day,669394,22275,-0.1,current,0.0,False
TEX,Joc Pederson,1B,Injured 10-Day,592626,11899,-0.8,current,0.0,False
TEX,Jon Gray,P,Injured 60-Day,592351,14916,0.0,current,0.0,True
TEX,Josh Sborz,P,Injured 60-Day,622250,18323,0.4,prior_year,0.4,True
TEX,Sam Haggerty,CF,Injured 10-Day,664059,18054,0.2,current,0.2,False
TEX,Tyler Mahle,P,Injured 60-Day,641816,16358,1.9,current,1.9,True
TOR,Alek Manoah,P,Injured 60-Day,666201,26410,0.0,prior_year,0.0,True
TOR,Andrés Giménez,2B,Injured 10-Day,665926,19950,1.0,current,1.0,False
TOR,Angel Bastardo,P,Injured 60-Day,682785,,,unknown,0.0,True
TOR,Anthony Santander,RF,Injured 60-Day,623993,14551,-0.9,current,0.0,False
TOR,Bowden Francis,P,Injured 15-Day,670102,20548,0.0,current,0.0,True
TOR,Daulton Varsho,CF,Injured 10-Day,662139,19918,2.2,current,2.2,False
TOR,Nick Sandlin,P,Injured 15-Day,680704,20517,0.0,current,0.0,True
TOR,Paxton Schultz,P,Injured 15-Day,687606,,,unknown,0.0,True
TOR,Ryan Burr,P,Injured 60-Day,621114,17536,0.1,current,0.1,True
TOR,Yimi García,P,Injured 15-Day,554340,12095,0.1,current,0.1,True
WSH,DJ Herz,P,Injured 60-Day,687792,,,unknown,0.0,True
WSH,Derek Law,P,Injured 60-Day,571882,13133,1.1,prior_year,1.1,True
WSH,Dylan Crews,RF,Injured 10-Day,686611,,,unknown,0.0,False
WSH,Josiah Gray,P,Injured 60-Day,680686,24580,0.0,prior_year,0.0,True
WSH,Keibert Ruiz,C,Injured 7-Day,660688,19610,-1.0,current,0.0,False
WSH,Orlando Ribalta,P,Injured 15-Day,687377,,,unknown,0.0,True
WSH,Trevor Williams,P,Injured 60-Day,592866,16977,1.2,current,1.2,True
