"Date,Team,Name,Pos,Age,Service Time,Transaction Details,2025 WAR,Proj. WAR"
"15-Dec,NYM,Cristian Pache,OF,27,3.031,Agreed to Minor League contract (2026),,"
"15-Dec,PHI,Adolis García,RF,33,5.095,Agreed to one-year contract (2026),0.7,1.5"
"15-Dec,SFG,Buddy Kennedy,INF,27,1.006,Agreed to Minor League contract (2026),-0.5,"
"15-Dec,ATL,Ha-Seong Kim,SS,30,5,Agreed to one-year contract (2026),0.3,1.7"
"15-Dec,PIT,Davis Wendzel,INF,29,0.07,Agreed to Minor League contract (2026),,0"
"15-Dec,ATL,James Karinchak,RP,30,4.099,Agreed to Minor League contract (2026),,0"
"14-Dec,ARI,Merrill Kelly,SP,37,7,Agreed to two-year contract (2026-27),3.1,2.2"
"14-Dec,SFG,Caleb Kilian,SP/RP,29,0.153,Agreed to Minor League contract (2026),,"
"14-Dec,SFG,Jake Holton,1B,28,,Agreed to Minor League contract (2026),,"
"13-Dec,DET,Kenley Jansen,RP,38,15.073,Agreed to one-year contract (2026),0.6,0.3"
"13-Dec,NYM,Jorge Polanco,INF,32,9.024,Agreed to two-year contract (2026-27),2.6,2.3"
"13-Dec,NYY,Ernesto Martinez Jr.,1B/OF,27,,Agreed to Minor League contract (2026),,"
"13-Dec,NYY,Payton Henry,C,29,0.066,Agreed to Minor League contract (2026),,"
"13-Dec,STL,Dustin May,SP,28,6.059,Agreed to one-year contract (2026),0.8,1.6"
"13-Dec,LAA,Jose Gonzalez,SP/RP,24,,Agreed to Minor League contract (2026),,"
"12-Dec,KCR,Jose Cuas,RP,32,2.019,Agreed to Minor League contract (2026),,"
"12-Dec,KCR,Kevin Newman,INF,32,7.003,Agreed to Minor League contract (2026),-0.8,0"
"12-Dec,ATH,Brooks Kriske,RP,32,1.019,Agreed to Minor League contract (2026),0,"
"12-Dec,LAA,Donovan Walton,INF/OF,32,1.048,Agreed to Minor League contract (2026),-0.1,"
"12-Dec,TEX,Tyler Alexander,SP/RP,31,6.011,Agreed to one-year contract (2026),1.3,0.1"
"12-Dec,TEX,Danny Jansen,C,31,7.05,Agreed to two-year contract (2026-27),1.3,1.3"
"12-Dec,TOR,Tyler Rogers,RP,35,6.034,Agreed to three-year contract (2026-28),1.3,0.3"
"12-Dec,TEX,Alexis Díaz,RP,29,3.088,Agreed to one-year contract (2026),-0.6,0"
"12-Dec,NYY,Drake Fellows,SP/RP,28,,Agreed to Minor League contract (2026),,"
"12-Dec,MIA,Christopher Morel,1B/OF,27,3.117,Agreed to one-year contract (2026),-0.1,0.3"
"12-Dec,PHI,Bryse Wilson,SP/RP,28,4.123,Agreed to Minor League contract (2026),-0.5,0.1"
"12-Dec,NYY,Travis MacGregor,RP,28,,Agreed to Minor League contract (2026),,"
"12-Dec,NYY,Zack Short,INF/OF,31,2.07,Agreed to Minor League contract (2026),0,"
"12-Dec,CHC,Collin Snider,RP,30,2.086,Agreed to Minor League contract (2026),0.2,0"
"12-Dec,LAD,Carlos Duran,RP,24,0.003,Agreed to Minor League contract (2026),0,"
"12-Dec,ATH,Michael Stefanic,INF,30,1.092,Agreed to Minor League contract (2026),0,"
"11-Dec,CHC,Hoby Milner,RP,35,6.068,Agreed to one-year contract (2026),1,0.2"
"11-Dec,ATH,Mark Leiter Jr.,RP,35,5.031,Agreed to one-year contract (2026),0.6,0.6"
"11-Dec,KCR,Lane Thomas,OF,30,6.014,Agreed to one-year contract (2026),-0.5,0.5"
"11-Dec,ATL,Robert Suarez,RP,35,4,Agreed to three-year contract (2026-28),1.9,0.9"
"11-Dec,MIL,Akil Baddoo,OF,27,3.021,Agreed to one-year contract (2026),0,0"
"11-Dec,CLE,Colin Holderman,RP,30,3.12,Agreed to one-year contract (2026),-0.5,0"
"11-Dec,PHI,Trevor Richards,RP,33,6.088,Agreed to Minor League contract (2026),0.1,"
"11-Dec,NYY,Bradley Hanner,RP,27,,Agreed to Minor League contract (2026),,"
"10-Dec,ATL,Mike Yastrzemski,OF,35,6.128,Agreed to two-year contract (2026-27),2.3,1.5"
"10-Dec,BAL,Pete Alonso,1B,31,7,Agreed to five-year contract (2026-30),3.6,3.6"
"9-Dec,TBR,Steven Matz,SP/RP,35,10.099,Agreed to two-year contract (2026-27),1.1,2.1"
"9-Dec,LAD,Edwin Díaz,RP,32,9.121,Agreed to three-year contract (2026-28),2,1.7"
"9-Dec,PIT,Gregory Soto,RP,31,6.102,Agreed to one-year contract (2026),0.7,0.6"
"9-Dec,COL,Chad Stevens,INF,27,0.005,Agreed to Minor League contract (2026),-0.4,"
"8-Dec,NYM,Carl Edwards Jr.,RP,34,7.026,Agreed to Minor League contract (2026),0,"
"8-Dec,TEX,Andrew Velazquez,INF/OF,31,3.033,Agreed to Minor League contract (2026),,"
"8-Dec,TEX,Tyler Wade,INF/OF,31,6.01,Agreed to Minor League contract (2026),-0.3,0"
"8-Dec,ARI,Michael Soroka,SP/RP,28,7.009,Agreed to one-year contract (2026),1.1,0.7"
"8-Dec,NYM,Daniel Duarte,RP,29,2.087,Agreed to Minor League contract (2026),,"
"8-Dec,COL,Nicky Lopez,INF,31,6.021,Agreed to Minor League contract (2026),-0.3,0"
"8-Dec,SDP,Daison Acosta,RP,27,,Agreed to one-year contract (2026),,0"
"8-Dec,SDP,Evan Fitterer,SP,26,,Agreed to Minor League contract (2026),,"
"6-Dec,ATL,Ben Gamel,OF,34,6.152,Agreed to Minor League contract (2026),,"
"6-Dec,TOR,Michael Plassmeyer,SP/RP,29,0.005,Agreed to Minor League contract (2026),,"
"5-Dec,DET,Drew Anderson,SP/RP,32,0.114,Agreed to one-year contract (2026),,0.3"
"5-Dec,ARI,Isaiah Campbell,RP,28,1.029,Agreed to Minor League contract (2026),0,"
"5-Dec,ARI,Gerardo Carrillo,RP,27,0,Agreed to Minor League contract (2026),,"
"4-Dec,ARI,Jacob Amaya,INF,27,0.118,Agreed to Minor League contract (2026),-0.8,"
"4-Dec,SDP,Ty Adcock,RP,29,0.053,Agreed to one-year contract (2026),0,0"
"3-Dec,CLE,Connor Brogdon,RP,31,4.09,Agreed to one-year contract (2026),-0.3,0"
"3-Dec,CHW,Anthony Kay,SP,31,2.006,Agreed to two-year contract (2026-27),,1.4"
"3-Dec,TBR,Cedric Mullins,OF,31,6.078,Agreed to one-year contract (2026),1.3,1.4"
"2-Dec,TOR,Cody Ponce,SP,32,0.126,Agreed to three-year contract (2026-28),,2.1"
"2-Dec,ATL,Danny Young,RP,32,1.16,Agreed to one-year contract (2026),0.2,0"
"2-Dec,LAA,Alek Manoah,SP,28,4.063,Agreed to one-year contract (2026),,0.8"
"2-Dec,HOU,Ryan Weiss,SP,29,0,Agreed to one-year contract (2026),,0.7"
"2-Dec,TEX,Jonah Bride,INF,30,2.063,Agreed to Minor League contract (2026),-0.8,0"
"2-Dec,BAL,Andrew Magno,RP,28,,Agreed to Minor League contract (2026),,"
"2-Dec,MIN,Grant Hartwig,RP,28,0.115,Agreed to Minor League contract (2026),,"
"1-Dec,COL,John Brebbia,RP,36,8.004,Agreed to Minor League contract (2026),-0.2,0"
"1-Dec,NYM,Devin Williams,RP,31,6.056,Agreed to three-year contract (2026-28),1.4,1.3"
"30-Nov,SDP,Nick Schnell,OF,26,,Agreed to Minor League contract (2026),,"
"30-Nov,ATL,Austin Pope,RP,27,0.008,Agreed to Minor League contract (2026),0,"
"29-Nov,LAA,Angel Perdomo,RP,32,2.15,Agreed to Minor League contract (2026),0,0"
"29-Nov,BAL,Ryan Helsley,RP,31,6.105,Agreed to two-year contract (2026-27),0.2,1.1"
"28-Nov,HOU,Carlos Pérez,C,35,3.167,Agreed to Minor League contract (2026),,"
"28-Nov,LAA,Omar Martinez,C,24,,Agreed to Minor League contract (2026),,"
"28-Nov,HOU,Amos Willingham,RP,27,0.079,Agreed to Minor League contract (2026),,"
"27-Nov,SFG,Sam Hentges,RP,29,4.157,Agreed to one-year contract (2026),,0.2"
"26-Nov,NYM,Anderson Severino,RP,31,0.02,Agreed to Minor League contract (2026),,"
"26-Nov,TOR,Dylan Cease,SP,30,6.089,Agreed to seven-year contract (2026-32),3.4,3.9"
"26-Nov,WSN,Tyler Baum,RP,28,,Agreed to Minor League contract (2026),,"
"26-Nov,TOR,Tanner Andrews,RP,30,,Agreed to Minor League contract (2026),,"
"26-Nov,BOS,Vinny Capra,INF,29,1.014,Agreed to Minor League contract (2026),-1,"
"26-Nov,SDP,Sean Boyle,SP/RP,29,,Agreed to Minor League contract (2026),,"
"26-Nov,NYM,Jose Ramos,OF,25,,Agreed to Minor League contract (2026),,"
"26-Nov,SDP,Jase Bowen,OF,25,,Agreed to Minor League contract (2026),,"
"25-Nov,NYM,Robert Stock,SP/RP,36,2.039,Agreed to Minor League contract (2026),-0.1,"
"25-Nov,ATH,Nick Anderson,RP,35,5.131,Agreed to Minor League contract (2026),0,0"
"25-Nov,COL,Adam Laskey,SP/RP,28,,Agreed to Minor League contract (2026),,"
"25-Nov,ATL,Brewer Hicklen,OF,30,0.042,Agreed to Minor League contract (2026),0.2,"
"25-Nov,SDP,Carlos Rodríguez,OF,25,0,Agreed to Minor League contract (2026),,"
"24-Nov,STL,Scott Blewett,RP,30,1.097,Agreed to Minor League contract (2026),-0.5,0"
"22-Nov,ATH,Matt Krook,RP,31,0.055,Agreed to Minor League contract (2026),0.1,"
"21-Nov,NYM,Nick Burdi,RP,33,4.165,Agreed to Minor League contract (2026),0.1,0"
"21-Nov,COL,Parker Mushinski,RP,30,1.049,Agreed to Minor League contract (2026),,"
"21-Nov,LAA,Huascar Ynoa,SP/RP,28,3.117,Agreed to Minor League contract (2026),,"
"21-Nov,TBR,Jake Woodford,SP/RP,29,4.008,Agreed to Minor League contract (2026),0,"
"21-Nov,CHC,Phil Maton,RP,33,8.047,Agreed to two-year contract (2026-27),1.5,0.3"
"21-Nov,TOR,Carlos Mendoza,INF/OF,26,,Agreed to Minor League contract (2026),,"
"20-Nov,ATH,Wander Suero,RP,34,4.012,Agreed to Minor League contract (2026),-0.2,"
"20-Nov,KCR,Alex Lange,RP,30,3.145,Agreed to one-year contract (2026),0,0.1"
"20-Nov,ATH,Nick Hernandez,RP,31,0.104,Agreed to Minor League contract (2026),-0.2,"
"20-Nov,TBR,Raynel Delgado,INF/OF,26,,Agreed to Minor League contract (2026),,"
"20-Nov,TBR,John Rooney,RP,29,0.057,Agreed to Minor League contract (2026),-0.1,"
"19-Nov,ATH,Geoff Hartlieb,RP,32,2.003,Agreed to Minor League contract (2026),-0.2,"
"19-Nov,SFG,Wilkin Ramos,RP,25,,Agreed to Minor League contract (2026),,"
"19-Nov,MIA,Evan McKendry,SP/RP,28,,Agreed to Minor League contract (2026),,"
"18-Nov,ATL,Elieser Hernández,SP/RP,31,5.082,Agreed to Minor League contract (2026),,"
"18-Nov,CHC,Scott Kingery,INF/OF,32,3.108,Agreed to Minor League contract (2026),-0.4,"
"18-Nov,PHI,Liover Peguero,INF,25,1,Agreed to Minor League contract (2026),0.1,"
"18-Nov,BAL,Jeisson Cabrera,RP,27,,Agreed to Minor League contract (2026),,"
"17-Nov,LAD,Eliezer Alfonzo,C,26,,Agreed to Minor League contract (2026),,"
"17-Nov,BOS,Osvaldo Berrios,RP,26,,Agreed to Minor League contract (2026),,"
"17-Nov,SEA,Randy Dobnak,SP,31,3.059,Agreed to Minor League contract (2026),-0.1,0"
"16-Nov,SDP,Pablo Reyes,INF/OF,32,3.008,Agreed to Minor League contract (2026),-0.4,"
"16-Nov,WSN,Eddy Yean,RP,25,,Agreed to Minor League contract (2026),,"
"16-Nov,ARI,Matt O'Neill,C,28,,Agreed to Minor League contract (2026),,"
"14-Nov,ATH,Joey Meneses,1B,34,1.164,Agreed to Minor League contract (2026),,"
"14-Nov,PIT,Oddanier Mosqueda,RP,27,,Agreed to Minor League contract (2026),,"
"14-Nov,PIT,Noah Murdock,RP,27,0.047,Agreed to Minor League contract (2026),0,"
"14-Nov,NYY,Jonathan Ornelas,INF/OF,26,0.111,Agreed to Minor League contract (2026),-0.1,"
"14-Nov,LAD,Antoine Kelly,RP,26,0,Agreed to Minor League contract (2026),,"
"14-Nov,COL,Drew Avans,OF,30,0.016,Agreed to Minor League contract (2026),-0.3,"
"14-Nov,BAL,Richard Guasch,RP,28,,Agreed to Minor League contract (2026),,"
"14-Nov,HOU,Anthony Maldonado,RP,28,0.068,Agreed to Minor League contract (2026),-0.2,"
"13-Nov,ARI,Junior Fernández,RP,29,1.163,Agreed to Minor League contract (2026),,"
"13-Nov,PIT,Joe La Sorsa,RP,28,0.138,Agreed to Minor League contract (2026),-0.4,"
"13-Nov,NYM,Jackson Cluff,INF,29,,Agreed to Minor League contract (2026),,"
"11-Nov,MIL,Eddys Leonard,INF/OF,25,0,Agreed to Minor League contract (2026),,"
"10-Nov,BAL,Enoli Paredes,RP,30,2.06,Agreed to Minor League contract (2026),,"
"10-Nov,KCR,Connor Kaiser,INF,29,0.073,Agreed to Minor League contract (2026),-0.2,"
"10-Nov,NYM,Jose Rojas,OF/INF,33,0.136,Agreed to Minor League contract (2026),,"
"9-Nov,ATL,Chadwick Tromp,C,31,2.12,Agreed to Minor League contract (2026),-0.1,0"
"8-Nov,NYY,Yovanny Cruz,RP,26,,Agreed to Minor League contract (2026),,"
"6-Nov,PHI,Bryan De La Cruz,OF,29,3.078,Agreed to Minor League contract (2026),-0.4,"
"6-Nov,BAL,Leody Taveras,OF,27,4.031,Agreed to one-year contract (2026),-0.8,0.3"
"4-Nov,TEX,Declan Cronin,RP,28,1.066,Agreed to Minor League contract (2026-27),,"
"3-Nov,BAL,Jean Henriquez,RP,32,,Agreed to Minor League contract (2026),,"
"31-Oct,HOU,Peter Lambert,SP/RP,29,4.077,Agreed to Minor League contract (2026),,"
"27-Oct,BOS,Jason Delay,C,31,2.005,Agreed to Minor League contract (2026),,"
"20-Oct,NYM,Joe Jacques,RP,31,0.098,Agreed to Minor League contract (2026),,"
"17-Oct,HOU,Nate Pearson,SP/RP,29,4.042,Agreed to one-year contract (2026),-0.2,0"
"7-Oct,ATL,Sandy León,C,37,8.159,Agreed to Minor League contract (2026),-0.1,"
"16-Feb,SEA,Josh Simpson,RP,28,1.108,Acquired from Marlins for cash,-0.4,0"
"14-Feb,BAL,Jackson Kowar,RP,29,2.139,Acquired from Twins for cash,-0.2,0"
"13-Feb,TOR,Jesús Sánchez,OF,28,4.118,Acquired from Astros for OF/1B Joey Loperfido,1,1.3"
"13-Feb,HOU,Joey Loperfido,OF/1B,27,1.021,Acquired from Blue Jays for OF Jesus Sanchez,0.7,0.6"
"12-Feb,MIN,Anthony Banda,RP,32,4.135,Acquired from Dodgers for international bonus pool space,0.1,0"
"12-Feb,KCR,Mitch Spence,SP/RP,28,1.124,Acquired from Athletics for RP A.J. Causey,0,0"
"12-Feb,ATH,A.J. Causey,RP,23,,Acquired from Royals for SP Mitch Spence,,0"
"10-Feb,NYM,Bryan Hudson,RP,29,1.07,Acquired from White Sox for cash,-0.1,0"
"10-Feb,STL,George Soriano,RP,27,1.095,Acquired from Nationals for RP Andre Granillo,-0.7,-0.1"
"10-Feb,WSN,Andre Granillo,RP,26,0.076,Acquired from Cardinals for RP George Soriano,0,0"
"9-Feb,BOS,Andruw Monasterio,INF,29,2.099,""Acquired from Brewers with INF Caleb Durbin, INF/C Anthony Seigler, and 2026 Competitive Balance Round B draft pick for SP Kyle Harrison, INF David Hamilton, and SP Shane Drohan"",0.7,0.1"
"9-Feb,MIL,David Hamilton,INF,28,2.011,""Acquired from Red Sox with SP Kyle Harrison and SP Shane Drohan for INF Caleb Durbin, INF Andruw Monasterio, INF/C Anthony Seigler, and 2026 Competitive Balance Round B draft pick"",0.1,0.7"
"9-Feb,MIL,Shane Drohan,SP,27,0.076,""Acquired from Red Sox with SP Kyle Harrison and INF David Hamilton for INF Caleb Durbin, INF Andruw Monasterio, INF/C Anthony Seigler, and 2026 Competitive Balance Round B draft pick"",,0"
"9-Feb,BOS,Anthony Seigler,INF/C,27,0.09,""Acquired from Brewers with INF Caleb Durbin, INF Andruw Monasterio, and 2026 Competitive Balance Round B draft pick for SP Kyle Harrison, INF David Hamilton, and SP Shane Drohan"",-0.2,0"
"9-Feb,NYY,Max Schuemann,INF/OF,29,2,Acquired from Athletics for SP Luis Burgos,0.6,0"
"9-Feb,MIL,Kyle Harrison,SP,24,1.102,""Acquired from Red Sox with INF David Hamilton and SP Shane Drohan for INF Caleb Durbin, INF Andruw Monasterio, INF/C Anthony Seigler, and 2026 Competitive Balance Round B draft pick"",0.5,0.8"
"9-Feb,BOS,Caleb Durbin,INF,26,0.164,""Acquired from Brewers with INF Andruw Monasterio, INF/C Anthony Seigler, and 2026 Competitive Balance Round B draft pick for SP Kyle Harrison, INF David Hamilton, and SP Shane Drohan"",2.6,2.5"
"9-Feb,ATH,Luis Burgos,SP,20,,Acquired from Yankees for INF/OF Max Schuemann,,"
"6-Feb,TBR,Victor Mesa Jr.,OF,24,0.034,Acquired from Marlins for INF Angel Brachi,0,0"
"6-Feb,MIA,Angel Brachi,INF,19,,Acquired from Rays for OF Victor Mesa Jr.,,"
"5-Feb,ARI,Kade Strowd,RP,28,0.074,Acquired from Orioles with SP Wellington Aracena and INF Jose Mejia for INF/OF Blaze Alexander,0.2,-0.1"
"5-Feb,BAL,Blaze Alexander,INF/OF,27,1.053,""Acquired from Diamondbacks for RP Kade Strowd, SP Wellington Aracena, and INF Jose Mejia"",1,1"
"5-Feb,ARI,Wellington Aracena,SP,21,,Acquired from Orioles with RP Kade Strowd and INF Jose Mejia for INF/OF Blaze Alexander,,"
"5-Feb,ARI,José Mejía,INF,20,,Acquired from Orioles with RP Kade Strowd and SP Welington Aracena for INF/OF Blaze Alexander,,"
"2-Feb,SEA,Brendan Donovan,INF/OF,29,4,""Acquired from Cardinals as part of 3-team trade: Mariners traded INF Ben Williamson to Rays; OF Tai Peete, SP Jurrangelo Cijntje, and 2026 Competitive Balance Round B draft pick to Cardinals; Rays tra"",2.9,3"
"2-Feb,STL,Jurrangelo Cijntje,SP,23,,Acquired from Mariners with OF Tai Peete and 2026 Competitive Balance Round B draft pick as part of 3-team trade: Cardinals traded INF/OF Brendan Donovan to Mariners; Mariners traded INF Ben Williamso,,"
"2-Feb,STL,Tai Peete,OF,20,,Acquired from Mariners with SP Jurrangelo Cijntje and 2026 Competitive Balance Round B draft pick as part of 3-team trade: Cardinals traded INF/OF Brendan Donovan to Mariners; Mariners traded INF Ben,,"
"2-Feb,STL,Colton Ledbetter,OF,24,,Acquired from Rays with 2026 Competitive Balance Round B draft pick as part of 3-team trade: Cardinals traded INF/OF Brendan Donovan to Mariners; Mariners traded INF Ben Williamson to Rays; OF Tai Pee,,"
"2-Feb,TBR,Ben Williamson,INF,25,0.11,""Acquired from Mariners as part of 3-team trade: Cardinals traded INF/OF Brendan Donovan to Mariners; OF Tai Peete, SP Jurrangelo Cijntje, and 2026 Competitive Balance Round B draft pick to Cardinals;"",0.4,0.5"
"1-Feb,CHW,Jordan Hicks,RP,29,8,""Acquired from Red Sox with SP David Sandlin, 2 PTBNL, and cash for SP Gage Ziehl and PTBNL"",0.3,0.2"
"1-Feb,CHW,David Sandlin,SP,25,0,""Acquired from Red Sox with RP Jordan Hicks, 2 PTBNL, and cash for SP Gage Ziehl and PTBNL"",,0"
"1-Feb,BOS,Gage Ziehl,SP,23,,""Acquired from White Sox with PTBNL for RP Jordan Hicks, SP David Sandlin, 2 PTBNL, and cash"",,"
"30-Jan,HOU,Kai-Wei Teng,SP/RP,27,0.081,Acquired from Giants for UTL Jancel Villarroel and international bonus pool space,0.3,0.1"
"30-Jan,SFG,Jancel Villarroel,UTL,21,,Acquired from Astros with international bonus pool space for SP Kai-Wei Teng,,"
"29-Jan,LAA,Jayvien Sandridge,RP,27,0.005,Acquired from Yankees for cash,-0.1,0"
"28-Jan,COL,Edouard Julien,INF,27,2.009,Acquired from Twins with SP Pierson Ohl for SP Jace Kaminska and cash,-0.8,1.1"
"28-Jan,COL,T.J. Rumfield,1B,26,,Acquired from Yankees for RP Angel Chivilli,,0"
"28-Jan,NYY,Angel Chivilli,RP,23,1.036,Acquired from Rockies for 1B T.J. Rumfield,-0.7,0"
"28-Jan,MIN,Jace Kaminska,SP,24,,Acquired from Rockies with cash for INF Edouard Julien and SP Pierson Ohl,,"
"28-Jan,COL,Pierson Ohl,SP/RP,26,0.062,Acquired from Twins with INF Edouard Julien for SP Jace Kaminska and cash,0.1,0.1"
"27-Jan,SEA,Jhonny Pereda,C,30,0.14,Acquired from Twins for cash,0,0"
"23-Jan,SEA,Cooper Criswell,SP/RP,29,1.143,Acquired from Mets for cash,0,0.1"
"22-Jan,NYM,Vidal Bruján,INF/OF,28,3.014,Acquired from Twins for cash,0,0"
"22-Jan,TEX,MacKenzie Gore,SP,27,4,""Acquired from Nationals for 1B/OF Abimelec Ortiz, INF Gavin Fien, INF Devin Fitz-Gerald, OF Yeremy Cabrera, and SP Alejandro Rosario"",2.9,2.9"
"22-Jan,WSN,Alejandro Rosario,SP,24,,""Acquired from Rangers with 1B/OF Abimelec Ortiz, INF Gavin Fien, INF Devin Fitz-Gerald, and OF Yeremy Cabrera for SP MacKenzie Gore"",,"
"22-Jan,WSN,Abimelec Ortiz,1B/OF,24,0,""Acquired from Rangers with INF Gavin Fien, INF Devin Fitz-Gerald, OF Yeremy Cabrera, and SP Alejandro Rosario for SP MacKenzie Gore"",,0.1"
"22-Jan,WSN,Yeremy Cabrera,OF,20,,""Acquired from Rangers with 1B/OF Abimelec Ortiz, INF Gavin Fien, INF Devin Fitz-Gerald, and SP Alejandro Rosario for SP MacKenzie Gore"",,"
"22-Jan,WSN,Devin Fitz-Gerald,INF,20,,""Acquired from Rangers with 1B/OF Abimelec Ortiz, INF Gavin Fien, OF Yeremy Cabrera, and SP Alejandro Rosario for SP MacKenzie Gore"",,"
"22-Jan,WSN,Gavin Fien,INF,19,,""Acquired from Rangers with 1B/OF Abimelec Ortiz, INF Devin Fitz-Gerald, OF Yeremy Cabrera, and SP Alejandro Rosario for SP MacKenzie Gore"",,"
"21-Jan,NYM,Freddy Peralta,SP,30,7.09,Acquired from Brewers with SP Tobias Myers for INF/OF Jett Williams and SP Brandon Sproat,3.6,2.6"
"21-Jan,MIN,Tristan Gray,INF,30,0.123,Acquired from Red Sox for C Nate Baez,0.1,0.1"
"21-Jan,NYM,Tobias Myers,SP,27,1.109,Acquired from Brewers with SP Freddy Peralta for INF/OF Jett Williams and SP Brandon Sproat,0.4,0.2"
"21-Jan,BOS,Nate Baez,C,25,,Acquired from Twins for INF Tristan Gray,,"
"21-Jan,MIL,Brandon Sproat,SP,25,0.022,Acquired from Mets with INF/OF Jett Williams for SP Freddy Peralta and SP Tobias Myers,0.6,0.7"
"21-Jan,MIL,Jett Williams,INF/OF,22,,Acquired from Mets with SP Brandon Sproat for SP Freddy Peralta and SP Tobias Myers,,0.3"
"20-Jan,NYM,Luis Robert Jr.,OF,28,6,Acquired from White Sox for INF/OF Luisangel Acuña and SP Truman Pauley,1.3,2.3"
"20-Jan,CHW,Luisangel Acuña,INF/OF,24,0.156,Acquired from Mets with SP Truman Pauley for OF Luis Robert Jr.,0.4,0.8"
"20-Jan,MIA,Bradley Blalock,SP,25,0.134,Acquired from Rockies for SP Jake Brooks,-1,0"
"20-Jan,COL,Jake Brooks,SP,24,,Acquired from Marlins for SP Bradley Blalock,,"
"20-Jan,CHW,Truman Pauley,SP,22,,Acquired from Mets with INF/OF Luisangel Acuña for OF Luis Robert Jr.,,"
"15-Jan,CIN,Brock Burke,RP,29,5.045,Acquired from Angels as part of 3-team trade: Angels traded SP Chris Carter to Rays; Rays traded OF Josh Lowe to Angels; Reds traded INF Gavin Lux to Rays,0.3,0.3"
"15-Jan,LAA,Josh Lowe,OF,28,3.093,Acquired from Rays as part of 3-team trade: Angels traded RP Brock Burke to Reds and SP Chris Carter to Rays; Reds traded INF Gavin Lux to Rays,-0.1,1.3"
"15-Jan,TBR,Gavin Lux,INF,28,5.114,Acquired from Reds as part of 3-team trade: Angels traded RP Brock Burke to Reds and SP Chris Carter to Rays; Rays traded OF Josh Lowe to Angels,0.3,1.7"
"15-Jan,SEA,Yosver Zulueta,RP,28,0.071,Acquired from Reds for SP Dusty Revis,0,0"
"15-Jan,CLE,Franklin Gomez,SP,20,,Acquired from Mets for international bonus pool space,,"
"15-Jan,TBR,Chris Clark,SP,24,,Acquired from Angels as part of 3-team trade: Angels traded RP Brock Burke to Reds; Rays traded OF Josh Lowe to Angels; Reds traded INF Gavin Lux to Rays,,"
"15-Jan,CIN,Dusty Revis,SP,22,,Acquired from Mariners for RP Yosver Zulueta,,"
"13-Jan,ARI,Nolan Arenado,3B,35,12.155,Acquired from Cardinals with cash for SP Jack Martinez,0.9,2.1"
"13-Jan,PHI,Chase Shugart,RP,29,1.001,Acquired from Pirates for INF Francisco Loreto,-0.1,0"
"13-Jan,NYY,Ryan Weathers,SP,26,3.066,""Acquired from Marlins for INF Dylan Jasso, INF Juan Matheus, OF Brendan Jones, and OF Dillon Lewis"",0.2,1.2"
"13-Jan,MIA,Brendan Jones,OF,24,,""Acquired from Yankees with INF Dylan Jasso, INF Juan Matheus, and OF Dillon Lewis for SP Ryan Weathers"",,"
"13-Jan,MIA,Juan Matheus,INF,22,,""Acquired from Yankees with INF Dylan Jasso, OF Brendan Jones, and OF Dillon Lewis for SP Ryan Weathers"",,"
"13-Jan,MIA,Dylan Jasso,INF,23,,""Acquired from Yankees with INF Juan Matheus, OF Brendan Jones, and OF Dillon Lewis for SP Ryan Weathers"",,"
"13-Jan,PIT,Francisco Loreto,INF,19,,Acquired from Phillies for RP Chase Shugart,,"
"13-Jan,STL,Jack Martinez,SP,23,,Acquired from Diamondbacks for 3B Nolan Arenado and cash,,"
"13-Jan,MIA,Dillon Lewis,OF,23,,""Acquired from Yankees with INF Dylan Jasso, INF Juan Matheus, and OF Brendan Jones for SP Ryan Weathers"",,"
"12-Jan,TBR,Ken Waldichuk,SP,28,2.15,Acquired from Braves with INF/OF Brett Wisely for PTBNL or cash,,0"
"10-Jan,COL,Jake McCarthy,OF,28,3.074,Acquired from Diamondbacks for SP Josh Grosz,-0.1,0.9"
"10-Jan,ARI,Josh Grosz,SP,23,,Acquired from Rockies for OF Jake McCarthy,,"
"7-Jan,CHC,Edward Cabrera,SP,28,3.147,""Acquired from Marlins for OF Owen Caissie, 1B/3B Edgardo De Leon, and INF Cristian Hernandez"",2,1.8"
"7-Jan,MIA,Owen Caissie,OF,23,0.034,Acquired from Cubs with 1B/3B Edgardo De Leon and INF Cristian Hernandez for SP Edward Cabrera,0,1"
"7-Jan,MIA,Cristian Hernandez,INF,22,,Acquired from Cubs with OF Owen Caissie and 1B/3B Edgardo De Leon for SP Edward Cabrera,,"
"7-Jan,MIA,Edgardo De Leon,1B/3B,19,,Acquired from Cubs with OF Owen Caissie and INF Cristian Hernandez for SP Edward Cabrera,,"
"6-Jan,TBR,Justyn-Henry Malloy,OF,26,1.04,Acquired from Tigers for cash,0,0.6"
"6-Jan,STL,Justin Bruihl,RP,29,1.112,Acquired from Guardians for cash,0,0"
"2-Jan,MIN,Eric Wagaman,INF/OF,28,1.02,Acquired from Marlins for RP Kade Bragg,-0.4,0.2"
"2-Jan,MIA,Kade Bragg,RP,24,,Acquired from Twins for INF/OF Eric Wagaman,,"
"29-Dec,MIA,Esteury Ruiz,OF,27,2.064,Acquired from Dodgers for SP Adriano Marrero,0,0.3"
"29-Dec,LAD,Adriano Marrero,SP,18,,Acquired from Marlins for OF Esteury Ruiz,,"
"27-Dec,CIN,Dane Myers,OF,30,2.037,Acquired from Marlins for OF Ethan O'Donnell,0,0.3"
