"Date,Team,Name,Pos,Age,Service Time,Transaction Details,2025 WAR,Proj. WAR"
"10-Feb,DET,Austin Slater,OF,33,7.147,Agreed to Minor League contract (2026),0,0"
"10-Feb,COL,Tomoyuki Sugano,SP,36,1,Agreed to one-year contract (2026),0.1,0.8"
"10-Feb,ATL,Jonah Heim,C,31,5.097,Agreed to one-year contract (2026),-0.5,0.1"
"10-Feb,ATH,Aaron Civale,SP,31,6.058,Agreed to one-year contract (2026),0.9,1.4"
"10-Feb,SEA,Connor Joe,1B/OF,33,4.068,Agreed to Minor League contract (2026),-0.8,"
"10-Feb,CHC,Kyle Wright,SP,30,4.151,Agreed to Minor League contract (2026),,0"
"9-Feb,PIT,Marcell Ozuna,DH,35,12.124,Agreed to one-year contract (2026),1.2,1.4"
"9-Feb,MIN,Gio Urshela,INF,34,8.099,Agreed to Minor League contract (2026),-0.4,0.1"
"9-Feb,LAD,Jordan Weems,RP,33,3.047,Agreed to Minor League contract (2026),0,"
"9-Feb,CHW,Erick Fedde,SP,33,6.099,Agreed to one-year contract (2026),-0.2,0.6"
"9-Feb,TBR,Nick Martinez,SP,35,7.002,Agreed to one-year contract (2026),2.1,1.5"
"9-Feb,MIL,Peter Strzelecki,RP,31,1.029,Agreed to Minor League contract (2026),,"
"9-Feb,DET,Konnor Pilkington,RP,28,0.152,Agreed to Minor League contract (2026),-0.5,0"
"9-Feb,MIA,Chris Paddack,SP,30,7,Agreed to one-year contract (2026),0.7,0.9"
"9-Feb,LAD,Seby Zavala,C,32,2.146,Agreed to Minor League contract (2026),,0"
"9-Feb,MIN,David Bañuelos,C,29,0.017,Agreed to Minor League contract (2026),0,"
"8-Feb,NYM,MJ Melendez,OF,27,3.015,Agreed to one-year contract (2026),-0.6,0"
"6-Feb,TEX,Ryan Brasier,RP,38,8.094,Agreed to Minor League contract (2026),0.3,0"
"6-Feb,ATL,Kyle Farmer,INF,35,7.129,Agreed to Minor League contract (2026),-1.1,0"
"6-Feb,ATH,Scott Barlow,RP,33,7.026,Agreed to one-year contract (2026),0.1,0.2"
"6-Feb,LAA,Brent Suter,RP,36,8.161,Agreed to one-year contract (2026),0.1,0"
"5-Feb,BOS,Vinny Nittoli,RP,35,0.096,Agreed to Minor League contract (2026),,0"
"5-Feb,BOS,Brendan Rodgers,INF,29,6.075,Agreed to Minor League contract (2026),-0.3,0"
"5-Feb,PIT,José Urquidy,SP,31,6.049,Agreed to one-year contract (2026),0,0.3"
"4-Feb,SDP,Marco Gonzales,SP,34,7.102,Agreed to Minor League contract (2026),,0"
"4-Feb,PIT,Mike Clevinger,SP/RP,35,8.031,Agreed to Minor League contract (2026),-0.1,0"
"4-Feb,SFG,Michael Fulmer,RP,33,8,Agreed to Minor League contract (2026),0,"
"4-Feb,SDP,Miguel Andujar,INF/OF,31,6.053,Agreed to one-year contract (2026),1.1,0.6"
"4-Feb,BOS,Isiah Kiner-Falefa,INF,31,8,Agreed to one-year contract (2026),0.7,0.1"
"4-Feb,DET,Framber Valdez,SP,32,6.163,Agreed to three-year contract (2026-28),4,3.6"
"4-Feb,CHW,Austin Hays,OF,30,6.057,Agreed to one-year contract (2026),1.2,0.9"
"4-Feb,TOR,Josh Fleming,RP,30,3.069,Agreed to Minor League contract (2026),,0"
"4-Feb,SDP,Justin Yeager,RP,28,,Agreed to Minor League contract (2026),,"
"3-Feb,ARI,Carlos Santana,1B,40,15.115,Agreed to one-year contract (2026),0.3,0.3"
"3-Feb,CHC,Vince Velasquez,SP/RP,34,8.086,Agreed to Minor League contract (2026),,"
"3-Feb,LAA,Jeimer Candelario,1B/3B,32,7.133,Agreed to Minor League contract (2026),-0.7,0"
"3-Feb,LAD,Cole Irvin,SP,32,4.078,Agreed to Minor League contract (2026),,"
"3-Feb,BOS,Matt Thaiss,C,31,3.169,Agreed to Minor League contract (2026),0.7,0"
"3-Feb,BOS,Kyle Keller,RP,33,0.164,Agreed to Minor League contract (2026),,-0.1"
"3-Feb,NYM,Grae Kessinger,INF,28,1.054,Agreed to Minor League contract (2026),,0"
"2-Feb,COL,Kyle McCann,C,28,1,Agreed to Minor League contract (2026),,"
"2-Feb,COL,Valente Bellozo,SP/RP,26,1.05,Agreed to Minor League contract (2026),-0.2,0"
"1-Feb,CIN,Eugenio Suárez,3B,34,11.061,Agreed to one-year contract (2026),3.8,1.6"
"1-Feb,LAA,Jose Siri,OF,30,4.015,Agreed to Minor League contract (2026),-0.4,0.1"
"31-Jan,SFG,Luis Arraez,INF,29,6.121,Agreed to one-year contract (2026),0.9,2.1"
"30-Jan,ATL,Martín Pérez,SP,35,13.038,Agreed to Minor League contract (2026),0.8,0.3"
"30-Jan,CHW,Lucas Sims,RP,32,6.058,Agreed to Minor League contract (2026),-0.5,0"
"30-Jan,SEA,Brian O'Keefe,C,32,0.053,Agreed to Minor League contract (2026),,"
"30-Jan,PHI,Dylan Moore,INF/OF,33,7,Agreed to Minor League contract (2026),-0.1,0.1"
"30-Jan,TEX,Nick Pratto,1B/OF,27,1.07,Agreed to Minor League contract (2026),,"
"29-Jan,NYM,Craig Kimbrel,RP,38,14.031,Agreed to Minor League contract (2026),0,0"
"29-Jan,ARI,Derek Law,RP,35,6.081,Agreed to Minor League contract (2026),,0"
"29-Jan,TEX,Austin Gomber,SP,32,6.088,Agreed to Minor League contract (2026),-0.4,0.1"
"29-Jan,NYM,Austin Barnes,C,36,8.162,Agreed to Minor League contract (2026),-0.3,0"
"29-Jan,MIL,Jacob Waguespack,RP,32,2.096,Agreed to Minor League contract (2026),,"
"29-Jan,CHW,LaMonte Wade Jr.,1B/OF,32,5.163,Agreed to Minor League contract (2026),-1.6,"
"29-Jan,KCR,Eli Morgan,RP,30,4.091,Agreed to Minor League contract (2026),-0.3,0"
"29-Jan,HOU,Tom Cosgrove,RP,30,1.092,Agreed to Minor League contract (2026),0.1,0"
"29-Jan,MIA,Stephen Jones,RP,28,,Agreed to Minor League contract (2026),,"
"28-Jan,MIL,Reese McGuire,C,31,5.11,Agreed to Minor League contract (2026),0.7,0"
"28-Jan,WSN,Sergio Alcántara,INF,29,2.016,Agreed to Minor League contract (2026),-0.1,0"
"28-Jan,LAD,Ryder Ryan,RP,31,0.061,Agreed to Minor League contract (2026),,0"
"28-Jan,CIN,Darren McCaughan,SP/RP,30,0.078,Agreed to Minor League contract (2026),0.1,"
"27-Jan,TBR,Cam Booser,RP,34,1.105,Agreed to Minor League contract (2026),-0.6,0"
"27-Jan,KCR,Aaron Sanchez,SP/RP,33,6.113,Agreed to Minor League contract (2026),,"
"26-Jan,KCR,Héctor Neris,RP,37,10.004,Agreed to Minor League contract (2026),-0.1,0"
"26-Jan,MIN,Matt Bowman,RP,35,5.035,Agreed to Minor League contract (2026),0,0"
"26-Jan,TOR,Connor Seabold,SP/RP,30,1.054,Agreed to Minor League contract (2026),0,"
"26-Jan,SFG,Harrison Bader,OF,32,8.03,Agreed to two-year contract (2026-27),3.2,2"
"26-Jan,CHC,Dylan Carlson,OF,27,5.067,Agreed to Minor League contract (2026),-0.4,0"
"26-Jan,SEA,Will Wilson,INF,27,0.074,Agreed to Minor League contract (2026),-0.5,"
"26-Jan,STL,Nelson Velázquez,OF,27,1.101,Agreed to Minor League contract (2026),,"
"26-Jan,CHC,Chas McCormick,OF,31,4.161,Agreed to Minor League contract (2026),-0.2,0.2"
"24-Jan,LAA,Trey Mancini,1B/OF,34,6.141,Agreed to Minor League contract (2026),,0"
"24-Jan,SEA,Jakson Reetz,C,30,0.043,Agreed to Minor League contract (2026),,"
"24-Jan,SDP,Samad Taylor,INF/OF,27,0.078,Agreed to Minor League contract (2026),-0.1,0"
"24-Jan,LAA,Nick Sandlin,RP,29,4.157,Agreed to Minor League contract (2026),0,0"
"23-Jan,CHW,Seranthony Domínguez,RP,31,7.131,Agreed to two-year contract (2026-27),0.9,0.8"
"23-Jan,CIN,Yunior Marte,RP,31,1.165,Agreed to Minor League contract (2026),,0"
"23-Jan,WSN,Bryce Montes de Oca,RP,30,1.033,Agreed to Minor League contract (2026),,"
"23-Jan,CHC,Trent Thornton,RP,32,5.148,Agreed to Minor League contract (2026),-0.3,0"
"23-Jan,CIN,Anthony Misiewicz,RP,31,3.082,Agreed to Minor League contract (2026),-0.2,"
"22-Jan,MIN,Taylor Rogers,RP,35,9.145,Agreed to one-year contract (2026),0.2,0.4"
"22-Jan,SEA,Dane Dunning,SP/RP,31,4.138,Agreed to Minor League contract (2026),-0.1,0.1"
"22-Jan,WSN,Tres Barrera,C,31,1.032,Agreed to Minor League contract (2026),,"
"21-Jan,NYM,Luis García,RP,39,10.007,Agreed to one-year contract (2026),0.7,0.2"
"20-Jan,SEA,Patrick Wisdom,INF/OF,34,4.058,Agreed to Minor League contract (2026),,0"
"20-Jan,TOR,C.J. Stubbs,C,29,0.005,Agreed to Minor League contract (2026),-0.1,"
"20-Jan,BAL,Hans Crouse,RP,27,1.002,Agreed to Minor League contract (2026),,"
"20-Jan,WSN,Zach Penrod,RP,29,0.016,Agreed to Minor League contract (2026),,"
"19-Jan,ATL,Jorge Mateo,INF/OF,31,6,Agreed to one-year contract (2026),-0.6,0.2"
"18-Jan,ATH,Chad Wallach,C,34,4.024,Agreed to Minor League contract (2026),0,"
"18-Jan,TEX,Jakob Junis,RP,33,8.002,Agreed to one-year contract (2026),0.6,0.4"
"18-Jan,CHW,Ryan Borucki,RP,32,6.168,Agreed to Minor League contract (2026),0,0"
"18-Jan,NYY,Seth Brown,OF/1B,33,5.005,Agreed to Minor League contract (2026),-0.4,"
"17-Jan,WSN,Trevor Gott,RP,33,6.057,Agreed to Minor League contract (2026),,"
"17-Jan,NYY,Dylan Coleman,RP,29,1.078,Agreed to Minor League contract (2026),,0"
"16-Jan,MIN,Victor Caratini,C/1B,32,8.051,Agreed to two-year contract (2026-27),0.8,1.2"
"16-Jan,SFG,Eric Haase,C,33,4.114,Agreed to Minor League contract (2026),0.3,0"
"16-Jan,NYM,Bo Bichette,INF,28,6.063,Agreed to three-year contract (2026-28),3.8,4.4"
"16-Jan,DET,Corey Julks,OF,30,1.123,Agreed to Minor League contract (2026),0,"
"15-Jan,COL,Willi Castro,INF/OF,29,6.017,Agreed to two-year contract (2026-27),0.6,1.2"
"15-Jan,LAD,Kyle Tucker,OF,29,6.079,Agreed to four-year contract (2026-29),4.5,4.9"
"15-Jan,ARI,Taylor Clarke,RP,33,5.148,Agreed to one-year contract (2026),0.3,0"
"15-Jan,CHW,Tyson Miller,RP,30,1.085,Agreed to Minor League contract (2026),,"
"15-Jan,BAL,Sam Huff,C,28,2.057,Agreed to Minor League contract (2026),-0.2,"
"14-Jan,BOS,Ranger Suárez,SP,30,6.112,Agreed to five-year contract (2026-30),4,3.4"
"14-Jan,TOR,Rafael Lantigua,INF/OF,28,0.013,Agreed to Minor League contract (2026),,"
"13-Jan,DET,Phil Bickford,RP,30,2.162,Agreed to Minor League contract (2026),,"
"13-Jan,CLE,Carter Kieboom,INF,28,3.009,Agreed to Minor League contract (2026),-0.2,"
"13-Jan,HOU,Kellen Strahm,OF,29,,Agreed to Minor League contract (2026),,"
"12-Jan,HOU,Riley Unroe,INF/OF,30,,Agreed to Minor League contract (2026),,"
"12-Jan,ARI,Jonathan Loáisiga,RP,31,7.022,Agreed to Minor League contract (2026),-0.5,0"
"12-Jan,SFG,Nick Margevicius,SP/RP,30,2.1,Agreed to Minor League contract (2026),,"
"11-Jan,CIN,Pierce Johnson,RP,35,6.137,Agreed to one-year contract (2026),0.3,0.2"
