team,bullpen_fip,bullpen_ip,num_relievers
Aguilas Cibaenas,4.67,7.0,1
Arizona Diamondbacks,5.61,149.7,4
Athletics,4.82,84.4,4
Atlanta Braves,4.45,131.6,5
Baltimore Orioles,4.48,174.3,5
Boston Red Sox,3.33,35.6,2
Charlotte Knights,5.04,9.3,1
Chicago Cubs,5.17,134.7,4
Chicago White Sox,4.04,288.7,5
Cincinnati Reds,4.91,148.0,4
Cleveland Guardians,3.04,74.0,1
Colorado Rockies,3.67,81.7,2
Columbus Clippers,3.5,65.0,1
Criollos de Caguas,4.0,6.7,1
Detroit Tigers,4.6,162.0,4
Durham Bulls,10.58,12.3,1
Gigantes del Cibao,3.79,134.7,2
Gwinnett Stripers,7.14,56.0,2
Houston Astros,3.31,123.1,4
Indianapolis Indians,3.46,16.7,1
Iowa Cubs,4.85,51.0,1
Kansas City Royals,5.08,76.7,2
Los Angeles Angels,4.86,205.1,5
Los Angeles Dodgers,3.71,214.4,4
Louisville Bats,5.68,23.3,2
Memphis Redbirds,5.09,66.0,3
Miami Marlins,4.04,203.4,3
Milwaukee Brewers,3.5,218.5,6
Minnesota Twins,3.72,165.7,3
New Hampshire Fisher Cats,4.36,73.0,1
New York Mets,3.52,79.0,2
New York Yankees,4.72,48.3,2
Norfolk Tides,2.16,11.7,1
Oklahoma City Comets,5.12,29.7,1
Omaha Storm Chasers,5.8,6.3,1
Philadelphia Phillies,3.72,161.7,3
Pittsburgh Pirates,3.88,40.0,2
Round Rock Express,4.74,25.0,1
Sacramento River Cats,5.17,15.0,1
San Diego Padres,4.3,74.3,2
San Francisco Giants,4.25,182.4,6
Seattle Mariners,4.56,67.4,2
St. Louis Cardinals,3.01,88.0,1
Syracuse Mets,4.51,31.3,1
Tampa Bay Rays,3.18,186.0,3
Texas Rangers,3.27,43.0,1
Toledo Mud Hens,3.01,10.3,1
Toronto Blue Jays,2.98,136.7,3
Washington Nationals,5.31,63.4,2
