date,gamePk,status,homeTeam,awayTeam,homeScore,awayScore,venueName,homeStartingPitcherId,homeStartingPitcherName,awayStartingPitcherId,awayStartingPitcherName
2025-03-18,778563,Final,CHC,LAD,1,4,Tokyo Dome,684007,Shota Imanaga,808967,Yoshinobu Yamamoto
2025-03-19,778564,Final,CHC,LAD,3,6,Tokyo Dome,657006,Justin Steele,808963,Roki Sasaki
2025-03-27,778557,Final,NYY,MIL,4,2,Yankee Stadium,607074,Carlos Rodón,642547,Freddy Peralta
2025-03-27,778556,Final,TOR,BAL,2,12,Rogers Centre,621244,José Berríos,621107,Zach Eflin
2025-03-27,778553,Final,TEX,BOS,2,5,Globe Life Field,543135,Nathan Eovaldi,676979,Garrett Crochet
2025-03-27,778555,Final,WSH,PHI,3,7,Nationals Park,669022,MacKenzie Gore,554430,Zack Wheeler
2025-03-27,778558,Final,KC,CLE,4,7,Kauffman Stadium,666142,Cole Ragans,594902,Ben Lively
2025-03-27,778559,Final,HOU,NYM,3,1,Daikin Park,664285,Framber Valdez,605280,Clay Holmes
2025-03-27,778561,Final,CIN,SF,4,6,Great American Ball Park,668881,Hunter Greene,657277,Logan Webb
2025-03-27,778545,Final,SD,ATL,7,4,Petco Park,650633,Michael King,519242,Chris Sale
2025-03-27,778554,Final,CWS,LAA,8,1,Rate Field,680732,Sean Burke,579328,Yusei Kikuchi
2025-03-27,778562,Final,MIA,PIT,5,4,loanDepot park,645261,Sandy Alcantara,694973,Paul Skenes
2025-03-27,778551,Final,STL,MIN,5,3,Busch Stadium,543243,Sonny Gray,641154,Pablo López
2025-03-27,778546,Final,LAD,DET,5,4,Dodger Stadium,605483,Blake Snell,669373,Tarik Skubal
2025-03-27,778552,Final,AZ,CHC,6,10,Chase Field,668678,Zac Gallen,657006,Justin Steele
2025-03-27,778547,Final,SEA,ATH,4,2,T-Mobile Park,669302,Logan Gilbert,622663,Luis Severino
2025-03-28,778560,Final,TB,COL,3,2,George M. Steinbrenner Field,686752,Ryan Pepiot,607536,Kyle Freeland
2025-03-28,778549,Final,TOR,BAL,8,2,Rogers Centre,592332,Kevin Gausman,450203,Charlie Morton
2025-03-28,778548,Final,MIA,PIT,3,4,loanDepot park,687362,Connor Gillispie,656605,Mitch Keller
2025-03-28,778550,Final,TEX,BOS,4,1,Globe Life Field,683004,Jack Leiter,656557,Tanner Houck
