pitcher_id,date,rolling_fip,starts_in_window
425794,2023-05-12,1.27,1
425794,2023-05-18,5.07,2
425794,2023-05-23,4.86,3
425794,2023-05-29,5.0,4
425794,2023-06-05,4.45,5
425794,2023-06-11,4.25,6
425794,2023-06-17,4.42,7
425794,2023-06-24,5.31,7
425794,2023-06-29,5.45,7
425794,2023-07-04,5.72,7
425794,2023-07-24,6.47,7
425794,2023-07-29,6.66,7
425794,2023-08-04,7.53,7
425794,2023-08-11,7.36,7
425794,2023-08-17,8.31,7
425794,2023-08-22,7.31,7
425794,2023-08-28,6.99,7
425794,2023-09-07,5.98,7
425794,2023-09-12,7.57,7
425794,2023-09-18,6.88,7
425844,2023-04-05,2.33,1
425844,2023-04-10,2.39,2
425844,2023-04-16,4.06,3
425844,2023-04-22,4.03,4
425844,2023-04-27,4.7,5
425844,2023-05-03,5.37,6
425844,2023-05-08,4.91,7
425844,2023-05-13,5.36,7
425844,2023-05-19,5.73,7
425844,2023-05-24,4.82,7
425844,2023-05-30,4.93,7
425844,2023-06-06,4.04,7
425844,2023-06-12,3.49,7
425844,2023-06-18,3.8,7
425844,2023-06-23,4.15,7
425844,2023-06-29,4.28,7
425844,2023-07-04,4.67,7
425844,2023-07-20,5.5,7
425844,2023-07-25,5.95,7
425844,2023-08-01,6.38,7
425844,2023-08-06,6.44,7
425844,2023-08-28,6.36,7
425844,2023-09-15,6.12,7
425844,2023-09-20,6.34,7
425844,2023-09-26,4.89,7
425844,2023-10-01,4.46,7
434378,2023-05-10,7.07,1
434378,2023-05-16,4.19,2
434378,2023-05-21,5.45,3
434378,2023-05-27,4.87,4
434378,2023-06-02,4.57,5
434378,2023-06-08,4.52,6
434378,2023-06-14,4.91,7
434378,2023-06-20,4.09,7
434378,2023-06-26,4.37,7
434378,2023-07-01,3.69,7
434378,2023-07-07,3.4,7
434378,2023-07-14,3.54,7
434378,2023-07-19,3.55,7
434378,2023-07-25,3.13,7
434378,2023-07-30,3.41,7
434378,2023-08-05,3.17,7
434378,2023-08-11,3.45,7
434378,2023-08-16,3.64,7
434378,2023-08-22,3.58,7
434378,2023-08-27,3.15,7
434378,2023-09-01,3.12,7
434378,2023-09-06,4.34,7
