pitcher_id,name,team,ip,era,fip,k,bb,hbp,hr,games_started
669456,Shane Bieber,Toronto Blue Jays,12.0,0.0,0.09,20,1,0,0,2
679156,Walter Pennington,Chesapeake Baysox,0.7,0.0,0.17,1,0,0,0,0
669308,Sean Reynolds,San Diego Padres,11.0,0.82,0.99,21,5,1,0,0
681870,Erik Sabrowski,Cleveland Guardians,12.7,0.0,1.12,19,4,0,0,0
622065,Alex Young,Louisville Bats,2.0,0.0,1.17,2,0,0,0,0
687847,Marc Church,Texas Rangers,1.0,0.0,1.17,1,0,0,0,0
682254,Mason Montgomery,Pittsburgh Pirates,9.7,1.86,1.21,17,5,0,0,0
690925,Clayton Beeter,Washington Nationals,3.7,4.91,1.26,5,1,0,0,0
656876,Drew Rasmussen,Tampa Bay Rays,28.7,2.83,1.36,35,6,0,0,4
671922,Cade Smith,Cleveland Guardians,75.3,1.91,1.41,103,17,3,1,0
623437,Justin Topa,Minnesota Twins,2.3,0.0,1.46,2,0,0,0,0
668970,Gavin Hollowell,Chicago Cubs,1.3,0.0,1.67,1,0,0,0,0
670955,Edwin Uceta,Tampa Bay Rays,41.7,1.51,1.71,57,8,1,2,0
676508,Ben Casparius,Los Angeles Dodgers,8.3,2.16,1.73,12,4,0,0,0
674444,Steven Cruz,Kansas City Royals,5.7,0.0,1.76,4,0,0,0,0
656793,Nick Nelson,Lehigh Valley IronPigs,5.3,5.06,1.86,8,2,1,0,0
548384,Brooks Raley,New York Mets,7.0,0.0,1.89,9,3,0,0,0
686993,Justin Sterner,Athletics,4.0,2.25,1.92,4,1,0,0,0
643377,Griffin Jax,Tampa Bay Rays,71.0,2.03,1.95,95,15,2,4,0
663460,Kris Bubic,Kansas City Royals,30.3,2.67,1.95,39,5,0,2,0
680739,Josh Winder,Reno Aces,9.0,3.0,1.95,10,1,2,0,0
683618,Edgardo Henriquez,Tiburones de La Guaira,3.3,2.7,1.97,5,2,0,0,0
685801,Hunter Bigge,Tampa Bay Rays,3.3,2.7,1.97,5,2,0,0,0
692285,Luis Guerrero,Durham Bulls,10.0,0.0,1.97,9,2,0,0,0
642207,Devin Williams,New York Mets,21.7,1.25,2.06,38,11,2,1,0
669093,Jeremiah Estrada,San Diego Padres,61.0,2.95,2.07,94,23,0,4,0
660813,Brusdar Graterol,Los Angeles Dodgers,7.3,2.45,2.08,7,2,0,0,0
519242,Chris Sale,Atlanta Braves,177.7,2.38,2.09,225,39,8,9,29
694361,Will Klein,Los Angeles Dodgers,5.7,6.35,2.11,6,2,0,0,0
678226,Daysbel Hernández,Atlanta Braves,18.0,2.5,2.12,26,10,1,0,0
643410,Mark Leiter,Athletics,36.3,4.21,2.13,53,13,1,2,0
664351,Luis Contreras,Cardenales de Lara,6.0,9.0,2.17,6,2,0,0,0
676568,Ricky Vanasco,Toledo Mud Hens,2.0,13.5,2.17,1,0,0,0,0
695243,Mason Miller,San Diego Padres,65.0,2.49,2.19,104,21,1,6,0
607481,Aaron Bummer,Atlanta Braves,55.3,3.58,2.23,69,18,2,2,0
661403,Emmanuel Clase,Cleveland Guardians,74.3,0.61,2.23,66,10,2,2,0
673380,Dedniel Núñez,New York Mets,35.0,2.31,2.23,48,8,0,3,0
641312,Shaun Anderson,Salt Lake Bees,3.3,5.4,2.27,3,1,0,0,0
689690,Alek Jacob,San Diego Padres,14.7,2.45,2.28,19,2,2,1,0
621381,Matt Strahm,Kansas City Royals,62.7,1.87,2.29,79,11,6,4,0
594798,Jacob deGrom,Texas Rangers,10.7,1.69,2.33,14,1,1,1,3
641729,Joe Jiménez,Atlanta Braves,68.7,2.62,2.34,82,23,4,2,0
666619,Gregory Santos,Sacramento River Cats,7.3,4.91,2.35,6,1,1,0,0
687922,Easton Lucas,Toronto Blue Jays,3.7,14.73,2.35,6,3,0,0,0
676395,Robert Garcia,Texas Rangers,59.7,4.22,2.38,75,16,1,4,0
642528,Jonathan Loáisiga,Reno Aces,4.0,0.0,2.42,3,1,0,0,0
664854,Ryan Helsley,Baltimore Orioles,66.3,2.04,2.42,79,23,0,3,0
605483,Blake Snell,Los Angeles Dodgers,104.0,3.12,2.43,145,44,1,6,20
689147,Orion Kerkering,Philadelphia Phillies,63.0,2.29,2.43,74,17,8,2,2
694973,Paul Skenes,Pittsburgh Pirates,133.0,1.96,2.45,170,32,6,10,23
666171,Ryan Zeferjahn,Los Angeles Angels,17.0,2.12,2.47,18,6,2,0,0
669373,Tarik Skubal,Detroit Tigers,192.0,2.39,2.5,228,35,9,15,31
676534,Calvin Faucher,Miami Marlins,53.7,3.19,2.5,63,26,4,0,0
489446,Kirby Yates,Los Angeles Angels,61.7,1.17,2.51,85,28,2,3,0
680694,Kyle Bradish,Baltimore Orioles,39.3,2.75,2.51,53,15,3,2,8
573009,Joe Mantiply,Buffalo Bisons,59.7,3.92,2.52,53,18,0,1,2
656546,Jeff Hoffman,Toronto Blue Jays,66.3,2.17,2.52,89,16,3,6,0
676254,Ryan Walker,San Francisco Giants,80.0,1.91,2.52,99,18,9,5,1
605177,Andrew Chafin,Los Angeles Angels,37.0,3.16,2.55,50,16,1,2,0
700241,Michael McGreevy,St. Louis Cardinals,23.0,1.96,2.56,18,2,1,1,3
682175,Joe Jacques,Syracuse Mets,1.7,5.4,2.57,2,0,1,0,0
679885,Justin Martinez,Arizona Diamondbacks,72.7,2.48,2.59,91,36,2,2,0
686539,Declan Cronin,Round Rock Express,70.3,4.35,2.59,72,25,5,1,0
674944,Sean Guenther,Toledo Mud Hens,21.0,0.86,2.6,12,2,2,0,0
678821,Luis Peralta,Colorado Rockies,12.3,0.73,2.6,14,5,2,0,0
686580,Justin Slaten,Boston Red Sox,55.3,2.93,2.61,58,9,2,4,0
622250,Josh Sborz,Round Rock Express,16.3,3.86,2.62,17,4,0,1,0
683232,Nick Mears,Kansas City Royals,45.3,5.56,2.62,57,21,0,2,0
808967,Yoshinobu Yamamoto,Los Angeles Dodgers,90.0,3.0,2.62,105,22,1,7,18
571670,Dylan Floro,Las Vegas Aviators,52.3,2.06,2.64,40,13,0,1,0
663485,Cole Sands,Minnesota Twins,71.3,3.28,2.64,85,12,6,6,0
623211,Huascar Brazobán,Gigantes del Cibao,30.7,2.93,2.65,34,11,2,1,0
628452,Raisel Iglesias,Atlanta Braves,69.3,1.95,2.65,68,13,3,4,0
642239,Rob Zastryzny,Milwaukee Brewers,7.7,1.17,2.65,5,1,1,0,3
502085,David Robertson,Philadelphia Phillies,72.0,3.0,2.66,99,27,5,5,0
554340,Yimi García,Toronto Blue Jays,30.0,2.7,2.67,42,8,2,3,0
685107,Anthony Veneziano,Round Rock Express,2.0,4.5,2.67,2,1,0,0,0
689266,Dylan Dodd,Atlanta Braves,2.0,9.0,2.67,2,1,0,0,0
676979,Garrett Crochet,Boston Red Sox,146.0,3.58,2.69,209,33,5,18,32
660825,Eduard Bazardo,Seattle Mariners,27.7,4.88,2.7,33,9,0,2,0
700363,AJ Smith-Shawver,Atlanta Braves,4.3,0.0,2.71,4,2,0,0,1
669165,Kyle Hurt,Los Angeles Dodgers,6.7,1.35,2.72,3,1,0,0,1
687911,Bryan King,Houston Astros,26.3,2.39,2.72,32,10,3,1,0
671305,Michel Otañez,Texas Rangers,34.0,3.44,2.73,55,20,3,2,0
663574,Tony Santillan,Cincinnati Reds,30.0,3.0,2.74,46,9,0,4,1
687863,Porter Hodge,Chicago Cubs,43.0,1.88,2.75,52,19,1,2,0
678606,Jose A. Ferrer,Seattle Mariners,32.0,3.38,2.77,25,6,2,1,0
455119,Chris Martin,Texas Rangers,44.3,3.45,2.79,50,3,3,5,0
670970,Adrian Morejon,San Diego Padres,63.7,2.83,2.79,71,21,1,4,0
592866,Trevor Williams,Washington Nationals,66.7,2.03,2.8,59,18,0,3,13
656887,Sean Reid-Foley,Gwinnett Stripers,21.7,1.66,2.8,25,14,0,0,0
676879,Aaron Ashby,Milwaukee Brewers,28.3,2.86,2.82,33,10,0,2,2
683769,Hunter Gaddis,Cleveland Guardians,74.7,1.57,2.82,66,14,4,4,0
