team,bullpen_fip,bullpen_ip,num_relievers
ACL Cubs,5.03,18.7,1
ACL White Sox,4.38,61.0,1
Aguilas Cibaenas,6.06,98.7,5
Aguilas de Mexicali,4.76,55.0,1
Albuquerque Isotopes,5.44,81.0,3
Algodoneros de Guasave,5.53,9.3,1
Arizona Diamondbacks,4.46,350.4,11
Arkansas Travelers,7.66,15.7,1
Athletics,4.02,296.6,10
Atlanta Braves,3.86,543.0,15
Baltimore Orioles,2.9,232.5,7
Binghamton Rumble Ponies,8.22,9.3,1
Boston Red Sox,4.24,138.6,7
Bravos de Leon,5.21,42.7,3
Bravos de Margarita,3.16,9.0,1
Buffalo Bisons,4.7,202.2,6
Caneros de los Mochis,5.86,31.7,1
Cangrejeros de Santurce,4.3,39.7,1
Cardenales de Lara,5.41,29.0,2
Caribes de Anzoategui,5.33,57.3,2
Charlotte Knights,4.46,162.6,5
Chicago Cubs,4.27,487.4,13
Chicago White Sox,4.18,222.4,8
Cincinnati Reds,4.04,283.7,6
Cleveland Guardians,3.88,245.1,7
Colorado Rockies,5.21,108.8,6
Columbus Clingstones,5.69,25.6,2
Columbus Clippers,4.25,163.7,4
Criollos de Caguas,4.2,83.9,3
Detroit Tigers,3.77,463.6,11
Diablos Rojos del Mexico,4.43,14.7,1
Dominican Republic,3.87,63.7,2
Durham Bulls,3.8,35.7,1
El Paso Chihuahuas,5.08,42.4,3
Estrellas Orientales,5.36,17.7,1
Gigantes de Carolina,3.35,60.7,1
Gigantes del Cibao,4.68,119.0,3
Guerreros de Oaxaca,11.19,7.7,1
Gwinnett Stripers,4.01,227.7,9
Houston Astros,3.98,364.0,8
Indianapolis Indians,5.87,45.0,2
Indios de Mayaguez,5.93,35.3,1
Iowa Cubs,5.6,104.0,6
Jacksonville Jumbo Shrimp,5.7,124.4,5
Kansas City Royals,3.98,510.6,13
Knoxville Smokies,4.6,48.0,1
Las Vegas Aviators,4.04,101.4,4
Lehigh Valley IronPigs,3.06,90.3,3
Leones de Yucatan,5.92,45.7,3
Leones del Caracas,3.03,64.0,1
Leones del Escogido,5.25,59.1,3
Los Angeles Angels,4.15,606.6,15
Los Angeles Dodgers,3.57,408.7,10
Louisville Bats,4.62,310.1,12
Memphis Redbirds,5.31,18.6,2
Mexico Rojo,6.36,9.7,1
Miami Marlins,3.92,141.3,5
Milwaukee Brewers,3.7,252.5,9
Minnesota Twins,3.96,182.4,5
Nashville Sounds,3.92,90.4,3
Navegantes del Magallanes,4.84,21.0,2
New York Mets,3.7,401.2,9
New York Yankees,3.81,475.2,11
Norfolk Tides,5.44,126.3,4
Oakland Athletics,5.83,64.7,2
Oklahoma City Comets,3.67,119.0,3
Olmecas de Tabasco,6.76,12.3,1
Omaha Storm Chasers,4.6,139.3,5
Philadelphia Phillies,4.05,435.4,9
Pittsburgh Pirates,4.18,239.3,7
Reading Fightin Phils,5.47,20.0,2
Reno Aces,4.29,220.8,7
Rochester Red Wings,4.11,81.0,3
Round Rock Express,4.65,161.6,5
Sacramento River Cats,3.57,157.6,4
Salt Lake Bees,6.62,30.7,2
San Diego Padres,4.86,151.0,7
San Francisco Giants,3.41,227.0,5
Scranton/Wilkes-Barre RailRiders,7.63,34.6,3
Seattle Mariners,3.69,334.1,9
Somerset Patriots,3.34,13.7,1
St. Louis Cardinals,4.3,324.7,10
St. Paul Saints,4.54,184.3,5
Sugar Land Space Cowboys,4.87,116.7,3
Sultanes de Monterrey,3.77,6.0,1
Syracuse Mets,4.27,253.7,7
Tacoma Rainiers,5.27,169.6,5
Tampa Bay Rays,4.08,400.9,10
Tecos de los Dos Laredos,2.95,40.7,1
Texas Rangers,3.67,332.8,8
Tiburones de La Guaira,4.97,5.3,1
Tigres del Licey,4.05,154.3,4
Toledo Mud Hens,4.56,107.0,3
Tomateros de Culiacan,3.84,43.4,2
Toronto Blue Jays,3.8,385.7,9
Toros de Tijuana,4.83,71.1,3
Toros del Este,4.61,126.7,6
Washington Nationals,5.13,104.0,4
Worcester Red Sox,3.76,61.3,2
