fip_weight,bullpen_weight,park_scale,prob_shrinkage,season,games,accuracy,log_loss,brier
40,20,1.0,0.12,2025,2430,0.560082304526749,0.6876312030073175,0.2470047865707228
50,20,0.0,0.14,2025,2430,0.5539094650205761,0.6876314017755638,0.2470347375148905
50,20,0.5,0.14,2025,2430,0.5534979423868313,0.6876414334259554,0.24703971234541033
50,20,1.0,0.14,2025,2430,0.5539094650205761,0.6876555921831046,0.24704635328150706
25,25,0.0,0.1,2025,2430,0.5621399176954732,0.6877739039726961,0.24702514006626491
25,25,0.5,0.1,2025,2430,0.5621399176954732,0.687787355308576,0.24703115676887383
25,25,1.0,0.1,2025,2430,0.5625514403292181,0.6878029865391534,0.2470380902372627
35,0,0.0,0.1,2025,2430,0.5530864197530864,0.6879522370297279,0.24718435870894762
30,20,0.0,0.1,2025,2430,0.5609053497942387,0.6879553508332089,0.24711570353292364
35,0,0.5,0.1,2025,2430,0.5547325102880658,0.6879554799874922,0.2471869064101758
35,0,1.0,0.1,2025,2430,0.5539094650205761,0.6879618413885262,0.24719069630879437
30,20,0.5,0.1,2025,2430,0.5609053497942387,0.6879666033834467,0.24712101166870426
30,20,1.0,0.1,2025,2430,0.5604938271604938,0.6879805009781021,0.24712740917683784
50,25,0.0,0.14,2025,2430,0.5559670781893004,0.6880091047081164,0.2471846604877362
50,25,0.5,0.14,2025,2430,0.5559670781893004,0.6880199114916516,0.24718993661338035
35,5,0.0,0.1,2025,2430,0.5567901234567901,0.6880252449978373,0.24719840343715552
35,5,0.5,0.1,2025,2430,0.5563786008230452,0.6880302949545283,0.247201575134991
50,25,1.0,0.14,2025,2430,0.5555555555555556,0.688034907836576,0.24719689631747896
35,5,1.0,0.1,2025,2430,0.5567901234567901,0.6880384610205802,0.2472059949569466
45,0,0.0,0.12,2025,2430,0.5584362139917696,0.6880495514160004,0.24725223915186065
45,0,0.5,0.12,2025,2430,0.5592592592592592,0.6880530361469727,0.2472549193228088
45,0,1.0,0.12,2025,2430,0.5584362139917696,0.6880604891518872,0.2472591687020428
40,25,0.0,0.12,2025,2430,0.5584362139917696,0.6880682379241203,0.2471768793470977
40,25,0.5,0.12,2025,2430,0.5584362139917696,0.6880793891150896,0.24718226182321174
40,25,1.0,0.12,2025,2430,0.5576131687242798,0.6880941759953596,0.24718911297961862
45,5,0.0,0.12,2025,2430,0.5604938271604938,0.6881000199027341,0.24725853955569768
45,5,0.5,0.12,2025,2430,0.5604938271604938,0.6881049188848413,0.2472616953952497
45,5,1.0,0.12,2025,2430,0.5613168724279836,0.6881137894712869,0.24726642760849102
35,10,0.0,0.1,2025,2430,0.5596707818930041,0.6882172311713138,0.24726319738620436
35,10,0.5,0.1,2025,2430,0.5592592592592592,0.6882239601217478,0.24726695855895184
35,10,1.0,0.1,2025,2430,0.5596707818930041,0.6882338345184893,0.2472719830581494
45,10,0.0,0.12,2025,2430,0.5580246913580247,0.6882524811384079,0.2473084075049358
45,10,0.5,0.12,2025,2430,0.5588477366255145,0.6882587102140648,0.2473120262768969
45,10,1.0,0.12,2025,2430,0.560082304526749,0.6882689340691748,0.24731723287810614
25,0,0.0,0.08,2025,2430,0.5588477366255145,0.6883865726147819,0.2473503749963331
25,0,0.5,0.08,2025,2430,0.5580246913580247,0.6883902186411257,0.24735286415779506
25,0,1.0,0.08,2025,2430,0.5580246913580247,0.6883958712264927,0.24735616380326045
25,5,0.0,0.08,2025,2430,0.5588477366255145,0.688481135595169,0.24737168363195136
25,5,0.5,0.08,2025,2430,0.5576131687242798,0.6884870337470557,0.2473749772544649
25,5,1.0,0.08,2025,2430,0.5576131687242798,0.6884949335231545,0.2473790859667119
30,25,0.0,0.1,2025,2430,0.5609053497942387,0.6885039080893582,0.24733463516536897
45,15,0.0,0.12,2025,2430,0.5584362139917696,0.6885062958039925,0.24740152122350437
45,15,0.5,0.12,2025,2430,0.5580246913580247,0.6885137524723113,0.247405579133153
30,25,0.5,0.1,2025,2430,0.5613168724279836,0.6885163017565727,0.2473403390631959
45,15,1.0,0.12,2025,2430,0.5588477366255145,0.6885252479443722,0.24741124115325955
35,15,0.0,0.1,2025,2430,0.562962962962963,0.6885274795526678,0.24737834446654894
30,25,1.0,0.1,2025,2430,0.5609053497942387,0.6885314835085415,0.24734718690028243
35,15,0.5,0.1,2025,2430,0.5625514403292181,0.6885357391136615,0.24738264749793534
35,15,1.0,0.1,2025,2430,0.5621399176954732,0.688547206173016,0.24738823897881285
25,10,0.0,0.08,2025,2430,0.5592592592592592,0.6887126860377228,0.24745129481889452
25,10,0.5,0.08,2025,2430,0.5592592592592592,0.6887206608834234,0.24745533059723826
25,10,1.0,0.08,2025,2430,0.5592592592592592,0.6887306770902785,0.24746020145066855
45,20,0.0,0.12,2025,2430,0.557201646090535,0.6888606433590823,0.24753745480570993
45,20,0.5,0.12,2025,2430,0.5576131687242798,0.6888692076228952,0.2475419172351078
45,20,1.0,0.12,2025,2430,0.5580246913580247,0.6888818763304596,0.24754800535705837
35,20,0.0,0.1,2025,2430,0.5592592592592592,0.6889550701683356,0.24754332027365727
35,20,0.5,0.1,2025,2430,0.5596707818930041,0.6889646926941199,0.24754810499830246
35,20,1.0,0.1,2025,2430,0.5604938271604938,0.6889776182078793,0.24755421374393882
25,15,0.0,0.08,2025,2430,0.5617283950617284,0.6890804588242679,0.24758873628356642
25,15,0.5,0.08,2025,2430,0.5621399176954732,0.6890903128262702,0.24759343642616768
25,15,1.0,0.08,2025,2430,0.5621399176954732,0.68910229362544,0.24759900773998011
40,0,0.0,0.1,2025,2430,0.5576131687242798,0.6892101619513872,0.24772656819138134
40,0,0.5,0.1,2025,2430,0.557201646090535,0.689211351681813,0.24772849916775458
40,0,1.0,0.1,2025,2430,0.5567901234567901,0.6892163388342089,0.24773190245472793
40,5,0.0,0.1,2025,2430,0.5576131687242798,0.6892849529044098,0.2477404764040643
40,5,0.5,0.1,2025,2430,0.5576131687242798,0.6892879278959626,0.24774300244870262
40,5,1.0,0.1,2025,2430,0.5567901234567901,0.6892947006108947,0.24774700830958937
30,0,0.0,0.08,2025,2430,0.5534979423868313,0.6892958037030097,0.24773534955105433
30,0,0.5,0.08,2025,2430,0.5530864197530864,0.6892975857577842,0.24773735878739372
30,0,1.0,0.08,2025,2430,0.5530864197530864,0.6893021006904119,0.24774044131788556
45,25,0.0,0.12,2025,2430,0.5567901234567901,0.6893145264106606,0.24771568158092097
45,25,0.5,0.12,2025,2430,0.5567901234567901,0.6893240617732591,0.2477205034581955
45,25,1.0,0.12,2025,2430,0.5584362139917696,0.6893377893517758,0.2477269783130217
30,5,0.0,0.08,2025,2430,0.5559670781893004,0.6893941001227402,0.24775717954515372
30,5,0.5,0.08,2025,2430,0.5555555555555556,0.6893981212657379,0.24775995700397685
30,5,1.0,0.08,2025,2430,0.5551440329218107,0.6894048701547173,0.24776381366222788
40,10,0.0,0.1,2025,2430,0.560082304526749,0.6894767670798865,0.24780378982337442
40,10,0.5,0.1,2025,2430,0.5596707818930041,0.6894814131958419,0.2478068865447109
40,10,1.0,0.1,2025,2430,0.5580246913580247,0.689489885064534,0.24781147754594574
35,25,0.0,0.1,2025,2430,0.5588477366255145,0.6894988836317557,0.2477574764352121
35,25,0.5,0.1,2025,2430,0.5584362139917696,0.6895096834892884,0.24776267084649073
50,0,0.0,0.12,2025,2430,0.5567901234567901,0.689515775976853,0.24788891575625355
50,0,0.5,0.12,2025,2430,0.5559670781893004,0.6895173680433374,0.24789097762947931
50,0,1.0,0.12,2025,2430,0.5551440329218107,0.6895234661676792,0.2478947811592551
35,25,1.0,0.1,2025,2430,0.5588477366255145,0.6895239156517502,0.24776923569345768
50,5,0.0,0.12,2025,2430,0.557201646090535,0.6895664590314254,0.24789465657354542
50,5,0.5,0.12,2025,2430,0.5588477366255145,0.6895694478410822,0.24789717280401197
50,5,1.0,0.12,2025,2430,0.5588477366255145,0.6895769496648516,0.247901439326573
25,20,0.0,0.08,2025,2430,0.5654320987654321,0.6895834677183778,0.24778338150406692
25,20,0.5,0.08,2025,2430,0.5662551440329218,0.6895949825562782,0.24778865371237843
25,20,1.0,0.08,2025,2430,0.5662551440329218,0.6896087559567323,0.24779484983654748
30,10,0.0,0.08,2025,2430,0.5576131687242798,0.6896277029364465,0.2478360418922749
30,10,0.5,0.08,2025,2430,0.5563786008230452,0.6896338015477791,0.24783953706875061
30,10,1.0,0.08,2025,2430,0.5555555555555556,0.6896426635929653,0.2478441300981669
50,10,0.0,0.12,2025,2430,0.5592592592592592,0.6897170291233112,0.24794263299349184
50,10,0.5,0.12,2025,2430,0.560082304526749,0.6897213434686247,0.24794559887747383
50,10,1.0,0.12,2025,2430,0.5596707818930041,0.6897301939148843,0.24795032604595896
40,15,0.0,0.1,2025,2430,0.5592592592592592,0.6897848965676348,0.24791612796232573
40,15,0.5,0.1,2025,2430,0.5596707818930041,0.6897910796856134,0.24791975831009136
40,15,1.0,0.1,2025,2430,0.5596707818930041,0.6898011453748618,0.24792490498338524
50,15,0.0,0.12,2025,2430,0.5592592592592592,0.6899668612155058,0.2480325390372975
50,15,0.5,0.12,2025,2430,0.5580246913580247,0.6899724119222317,0.24803593918760497
50,15,1.0,0.12,2025,2430,0.5576131687242798,0.6899825389509825,0.24804111447609523
30,15,0.0,0.08,2025,2430,0.5596707818930041,0.6899958478251099,0.24797147738276257
30,15,0.5,0.08,2025,2430,0.5596707818930041,0.6900038405543355,0.2479756248364923
30,15,1.0,0.08,2025,2430,0.560082304526749,0.6900146742865996,0.24798090227231934
40,20,0.0,0.1,2025,2430,0.5588477366255145,0.6902084350651635,0.24807698867776365
40,20,0.5,0.1,2025,2430,0.5604938271604938,0.690216002094244,0.24808110335144393
25,25,0.0,0.08,2025,2430,0.5621399176954732,0.6902205098456812,0.24803445512905928
40,20,1.0,0.1,2025,2430,0.560082304526749,0.6902275380690128,0.24808676451044395
25,25,0.5,0.08,2025,2430,0.5621399176954732,0.6902334479015719,0.24804019377206357
25,25,1.0,0.08,2025,2430,0.5625514403292181,0.6902488228387984,0.24804692605047082
