team,elo
ATH,1466.12
ATL,1678.2
AZ,1549.23
BAL,1524.61
BOS,1515.92
CHC,1540.24
CIN,1374.1
CLE,1635.94
COL,1442.41
CWS,1467.76
DET,1499.01
HOU,1681.14
KC,1478.17
LAA,1537.34
LAD,1667.4
MIA,1504.57
MIL,1541.28
MIN,1482.32
NYM,1594.4
NYY,1646.1
PHI,1551.31
PIT,1460.47
SD,1571.43
SEA,1584.43
SF,1575.63
STL,1574.72
TB,1554.81
TEX,1450.66
TOR,1652.73
WSH,1395.97
