team,elo
ATH,1435.1
ATL,1629.97
AZ,1624.62
BAL,1536.3
BOS,1499.27
CHC,1591.06
CIN,1510.3
CLE,1552.9
COL,1444.05
CWS,1389.95
DET,1583.45
HOU,1616.6
KC,1546.47
LAA,1347.5
LAD,1675.04
MIA,1508.88
MIL,1610.83
MIN,1399.61
NYM,1630.12
NYY,1553.43
PHI,1584.48
PIT,1481.03
SD,1657.52
SEA,1638.64
SF,1566.87
STL,1589.84
TB,1559.23
TEX,1497.41
TOR,1466.13
WSH,1471.83
